datetime,open,high,low,close,volume
1569504600000,14.49,14.54,14.44,14.5,22298
1569505500000,14.51,14.55,14.51,14.55,2505
1569506400000,14.55,14.58,14.55,14.5564,2893
1569507300000,14.55,14.55,14.42,14.45,10846
1569508200000,14.45,14.49,14.45,14.45,5858
1569509100000,14.48,14.48,14.41,14.44,7238
1569510000000,14.45,14.45,14.35,14.35,13045
1569510900000,14.38,14.38,14.35,14.35,1121
1569511800000,14.37,14.4174,14.37,14.4174,9908
1569512700000,14.4104,14.43,14.41,14.43,9203
1569513600000,14.445,14.5,14.445,14.49,5680
1569514500000,14.48,14.5,14.48,14.48,2000
1569515400000,14.4815,14.4815,14.46,14.469,2515
1569516300000,14.46,14.4845,14.46,14.475,4927
1569517200000,14.4703,14.58,14.46,14.58,19218
1569518100000,14.5779,14.59,14.56,14.5811,16394
1569519000000,14.59,14.61,14.574,14.5946,5513
1569519900000,14.595,14.62,14.58,14.62,2936
1569520800000,14.6,14.64,14.6,14.64,5537
1569521700000,14.635,14.66,14.63,14.63,8764
1569522600000,14.62,14.62,14.6,14.62,5222
1569523500000,14.6082,14.61,14.6,14.605,5386
1569524400000,14.61,14.625,14.61,14.62,4634
1569525300000,14.62,14.62,14.57,14.6,11816
1569526200000,14.61,14.625,14.53,14.54,14601
1569527100000,14.535,14.61,14.535,14.59,33347
1569591000000,14.44,14.58,14.41,14.55,24518
1569591900000,14.55,14.56,14.5,14.5,3162
1569592800000,14.54,14.55,14.52,14.55,2580
1569593700000,14.58,14.58,14.48,14.5,5202
1569594600000,14.5,14.5,14.4456,14.49,5341
1569595500000,14.48,14.52,14.43,14.45,8852
1569596400000,14.45,14.45,14.4,14.425,3272
1569597300000,14.42,14.54,14.42,14.54,2124
1569598200000,14.525,14.57,14.44,14.47,3842
1569599100000,14.4568,14.52,14.44,14.44,7259
1569600000000,14.44,14.4447,14.38,14.42,5286
1569600900000,14.4,14.43,14.39,14.43,2000
1569601800000,14.41,14.43,14.37,14.37,3361
1569602700000,14.37,14.37,14.35,14.35,19726
1569603600000,14.35,14.41,14.35,14.41,5259
1569604500000,14.41,14.41,14.35,14.3741,11043
1569605400000,14.365,14.38,14.36,14.38,3063
1569606300000,14.36,14.42,14.35,14.42,3825
1569607200000,14.445,14.45,14.43,14.43,2197
1569608100000,14.44,14.45,14.43,14.43,3219
1569609000000,14.43,14.44,14.4118,14.4118,3013
1569609900000,14.4194,14.43,14.383,14.383,8732
1569610800000,14.41,14.45,14.41,14.42,6283
1569611700000,14.42,14.46,14.42,14.43,1573
1569612600000,14.45,14.45,14.38,14.43,9415
1569613500000,14.44,14.49,14.43,14.48,35668
1569850200000,14.52,14.6,14.45,14.6,16218
1569851100000,14.5769,14.6014,14.5769,14.58,3842
1569852000000,14.551,14.551,14.49,14.52,3327
1569852900000,14.52,14.52,14.42,14.42,9404
1569853800000,14.43,14.44,14.4,14.44,7805
1569854700000,14.44,14.47,14.4205,14.44,3805
1569855600000,14.45,14.48,14.42,14.48,3103
1569856500000,14.48,14.48,14.4218,14.445,5420
1569857400000,14.42,14.465,14.36,14.465,8172
1569859200000,14.4716,14.5,14.47,14.48,3776
1569860100000,14.48,14.51,14.48,14.5,4097
1569861000000,14.5,14.51,14.46,14.48,7916
1569861900000,14.46,14.475,14.44,14.46,2459
1569862800000,14.46,14.465,14.44,14.46,4405
1569863700000,14.455,14.46,14.43,14.445,6610
1569864600000,14.44,14.44,14.38,14.41,3280
1569865500000,14.38,14.43,14.37,14.4,5675
1569866400000,14.4,14.45,14.4,14.445,2242
1569867300000,14.46,14.46,14.38,14.41,6219
1569868200000,14.405,14.43,14.405,14.42,1586
1569869100000,14.41,14.43,14.39,14.43,4728
1569870000000,14.42,14.47,14.4181,14.46,5623
1569870900000,14.46,14.46,14.38,14.41,14281
1569871800000,14.41,14.48,14.38,14.475,16041
1569872700000,14.47,14.49,14.45,14.47,63499
1569936600000,14.57,14.57,14.48,14.52,5041
1569937500000,14.475,14.51,14.45,14.49,3650
1569938400000,14.49,14.49,14.36,14.372,9483
1569939300000,14.36,14.36,14.26,14.28,19492
1569940200000,14.3,14.35,14.27,14.3137,10471
1569941100000,14.3,14.32,14.28,14.3,1900
1569942000000,14.31,14.37,14.3,14.37,2240
1569942900000,14.37,14.48,14.355,14.48,5837
1569943800000,14.49,14.49,14.42,14.42,11222
1569944700000,14.42,14.43,14.4034,14.43,2229
1569945600000,14.4,14.43,14.37,14.37,2455
1569946500000,14.4,14.42,14.395,14.395,2656
1569947400000,14.4,14.42,14.3806,14.39,4083
1569948300000,14.4088,14.43,14.39,14.4023,2630
1569949200000,14.38,14.38,14.35,14.35,1427
1569950100000,14.35,14.37,14.33,14.3396,2568
1569951000000,14.34,14.34,14.25,14.28,34449
1569951900000,14.26,14.3,14.26,14.29,4868
1569952800000,14.29,14.29,14.26,14.265,1454
1569953700000,14.285,14.285,14.25,14.27,3765
1569954600000,14.27,14.3,14.26,14.29,6530
1569955500000,14.29,14.31,14.2553,14.2615,6306
1569956400000,14.2699,14.2699,14.24,14.24,6758
1569957300000,14.25,14.2756,14.24,14.25,6703
1569958200000,14.26,14.26,14.21,14.2201,7907
1569959100000,14.23,14.24,14.2,14.21,15030
1570023000000,14.11,14.1664,14.03,14.14,15533
1570023900000,14.14,14.14,14.02,14.02,2014
1570024800000,14.02,14.0327,13.94,13.95,32146
1570025700000,13.98,14.05,13.98,13.98,9116
1570026600000,13.98,13.98,13.65,13.8,124759
1570027500000,13.805,13.805,13.36,13.72,141005
1570028400000,13.7033,13.75,13.42,13.67,134722
1570029300000,13.67,13.81,13.65,13.81,16578
1570030200000,13.78,13.81,13.66,13.68,14677
1570031100000,13.675,13.77,13.673,13.7504,12631
1570032000000,13.7501,13.7502,13.68,13.7,17743
1570032900000,13.72,13.75,13.69,13.75,6168
1570033800000,13.75,13.75,13.71,13.71,6717
1570034700000,13.72,13.8186,13.71,13.8,17958
1570035600000,13.8,13.84,13.8,13.83,2550
1570036500000,13.83,13.84,13.78,13.795,4208
1570037400000,13.795,13.81,13.73,13.75,7088
1570038300000,13.74,13.77,13.68,13.7,24840
1570039200000,13.725,13.74,13.68,13.72,10952
1570040100000,13.71,13.77,13.71,13.77,2944
1570041000000,13.76,13.79,13.75,13.79,5573
1570041900000,13.79,13.82,13.78,13.805,3920
1570042800000,13.805,13.825,13.77,13.81,5664
1570043700000,13.83,13.88,13.8,13.865,12011
1570044600000,13.88,13.9,13.87,13.9,6845
1570045500000,13.9,13.9,13.84,13.88,28521
1570109400000,13.95,13.96,13.91,13.91,6821
1570110300000,13.935,13.965,13.91,13.925,48491
1570111200000,13.908,13.908,13.8,13.8,800
1570112100000,13.76,13.87,13.75,13.86,4054
1570113000000,13.85,13.8588,13.75,13.79,8007
1570113900000,13.8296,13.8296,13.735,13.75,9314
1570114800000,13.78,13.92,13.74,13.92,4631
1570115700000,13.895,13.9389,13.89,13.92,14974
1570116600000,13.895,13.895,13.7486,13.79,7047
1570117500000,13.79,13.79,13.74,13.77,1300
1570118400000,13.8,13.85,13.77,13.79,15342
1570119300000,13.79,13.81,13.77,13.81,3599
1570120200000,13.82,13.86,13.82,13.821,9920
1570121100000,13.821,13.8412,13.81,13.82,10204
1570122000000,13.82,13.84,13.75,13.75,7600
1570122900000,13.75,13.76,13.74,13.75,5746
1570123800000,13.75,13.76,13.67,13.74,20712
1570124700000,13.76,13.85,13.76,13.85,8771
1570125600000,13.85,13.86,13.83,13.86,2490
1570126500000,13.86,13.86,13.84,13.86,2353
1570127400000,13.86,13.86,13.83,13.86,7279
1570128300000,13.85,13.87,13.82,13.83,6692
1570129200000,13.84,13.88,13.82,13.825,7579
1570130100000,13.84,13.87,13.83,13.87,5110
1570131000000,13.8698,13.88,13.82,13.83,10118
1570131900000,13.83,13.9,13.82,13.89,56450
1570195800000,13.94,13.97,13.94,13.97,3578
1570196700000,13.945,13.95,13.91,13.92,2180
1570197600000,13.9536,13.9536,13.81,13.81,28568
1570198500000,13.84,13.88,13.8,13.88,13693
1570199400000,13.8615,13.92,13.8615,13.905,573
1570200300000,13.9262,13.94,13.89,13.89,2518
1570201200000,13.89,13.89,13.82,13.86,4752
1570202100000,13.8612,13.94,13.8605,13.94,6488
1570203000000,13.945,13.99,13.9325,13.97,3600
1570203900000,13.97,14.01,13.95,13.95,11080
1570204800000,13.9337,13.97,13.9337,13.95,3379
1570205700000,13.96,13.99,13.96,13.99,1922
1570206600000,13.98,14.0,13.95,13.955,1196
1570207500000,13.945,13.95,13.91,13.94,7516
1570208400000,13.96,13.97,13.94,13.97,800
1570209300000,13.95,13.97,13.85,13.9,8934
1570210200000,13.92,13.96,13.88,13.96,4803
1570211100000,13.9321,13.9321,13.9321,13.9321,1900
1570212000000,13.96,13.96,13.8804,13.8804,8128
1570212900000,13.895,13.91,13.835,13.835,7959
1570213800000,13.85,13.9225,13.82,13.9225,9127
1570214700000,13.91,13.92,13.87,13.875,15918
1570215600000,13.89,13.97,13.8628,13.97,3113
1570216500000,13.95,13.99,13.93,13.97,6822
1570217400000,13.96,13.96,13.94,13.955,9621
1570218300000,13.97,14.03,13.96,14.02,46391
1570455000000,14.0,14.0,13.93,13.93,4682
1570455900000,13.975,13.98,13.93,13.98,803
1570456800000,13.97,14.0,13.94,13.94,4531
1570457700000,13.94,14.025,13.94,13.97,7419
1570458600000,13.97,13.98,13.97,13.98,998
1570459500000,13.99,13.99,13.93,13.94,3046
1570460400000,13.93,13.9765,13.93,13.97,2695
1570461300000,13.98,13.98,13.94,13.945,1799
1570462200000,13.95,13.96,13.94,13.96,601
1570463100000,13.942,13.96,13.93,13.9396,5670
1570464000000,13.94,13.94,13.87,13.875,11796
1570464900000,13.8657,13.9021,13.8657,13.875,6032
1570465800000,13.875,13.875,13.82,13.86,5620
1570466700000,13.86,13.8778,13.85,13.87,2950
1570467600000,13.86,13.87,13.86,13.865,5223
1570468500000,13.86,13.86,13.8,13.82,6832
1570469400000,13.83,13.96,13.83,13.94,4744
1570470300000,13.92,13.9271,13.87,13.89,6805
1570471200000,13.9,13.9,13.83,13.835,4427
1570472100000,13.85,13.89,13.85,13.89,7433
1570473000000,13.88,13.89,13.85,13.86,3474
1570473900000,13.88,13.92,13.855,13.92,7908
1570474800000,13.9048,13.92,13.85,13.88,10415
1570475700000,13.89,13.93,13.8538,13.93,12216
