datetime,open,high,low,close,volume
1569504600000,5.8,5.895,5.8,5.87,173425
1569505500000,5.865,5.87,5.84,5.87,137602
1569506400000,5.875,5.89,5.854,5.865,153411
1569507300000,5.865,5.865,5.82,5.82,98088
1569508200000,5.825,5.84,5.82,5.835,38961
1569509100000,5.835,5.84,5.82,5.83,46174
1569510000000,5.83,5.84,5.825,5.835,33714
1569510900000,5.835,5.86,5.83,5.855,135798
1569511800000,5.86,5.88,5.86,5.875,69043
1569512700000,5.88,5.91,5.87,5.905,112323
1569513600000,5.905,5.92,5.87,5.885,235925
1569514500000,5.885,5.905,5.875,5.895,214963
1569515400000,5.895,5.9,5.87,5.875,47394
1569516300000,5.87,5.88,5.87,5.875,23166
1569517200000,5.88,5.9,5.875,5.9,79957
1569518100000,5.9,5.91,5.885,5.9,100297
1569519000000,5.9017,5.91,5.89,5.905,71983
1569519900000,5.91,5.92,5.89,5.915,293018
1569520800000,5.915,5.94,5.91,5.94,57247
1569521700000,5.935,5.95,5.93,5.945,71714
1569522600000,5.95,5.95,5.93,5.93,58549
1569523500000,5.935,5.94,5.92,5.93,146946
1569524400000,5.94,5.955,5.93,5.955,213792
1569525300000,5.955,5.97,5.94,5.955,258183
1569526200000,5.955,5.97,5.955,5.965,130965
1569527100000,5.97,5.98,5.96,5.98,408072
1569591000000,5.87,5.93,5.82,5.915,106369
1569591900000,5.91,5.9331,5.84,5.85,132643
1569592800000,5.85,5.89,5.835,5.875,351435
1569593700000,5.875,5.875,5.835,5.855,197388
1569594600000,5.855,5.88,5.85,5.8635,308496
1569595500000,5.86,5.86,5.81,5.845,170328
1569596400000,5.85,5.87,5.835,5.87,53495
1569597300000,5.87,5.87,5.855,5.86,27416
1569598200000,5.865,5.87,5.84,5.84,78884
1569599100000,5.84,5.87,5.84,5.85,55601
1569600000000,5.85,5.85,5.83,5.83,49086
1569600900000,5.835,5.84,5.815,5.82,33414
1569601800000,5.82,5.85,5.805,5.84,102950
1569602700000,5.845,5.85,5.83,5.83,223909
1569603600000,5.83,5.865,5.82,5.865,63698
1569604500000,5.865,5.87,5.84,5.845,49437
1569605400000,5.845,5.89,5.8442,5.89,172702
1569606300000,5.885,5.9,5.873,5.9,88213
1569607200000,5.9,5.9,5.845,5.865,84939
1569608100000,5.87,5.89,5.86,5.88,104232
1569609000000,5.88,5.89,5.865,5.865,96737
1569609900000,5.865,5.87,5.85,5.87,83617
1569610800000,5.87,5.875,5.85,5.855,78014
1569611700000,5.855,5.87,5.8512,5.865,103288
1569612600000,5.865,5.89,5.86,5.875,169237
1569613500000,5.875,5.9,5.87,5.9,256240
1569850200000,6.0,6.14,5.98,6.055,687736
1569851100000,6.05,6.05,5.95,5.965,399119
1569852000000,5.96,5.98,5.93,5.94,595895
1569852900000,5.94,5.94,5.89,5.93,293673
1569853800000,5.93,5.945,5.91,5.935,280582
1569854700000,5.9356,5.945,5.92,5.925,307318
1569855600000,5.93,5.93,5.86,5.87,238165
1569856500000,5.87,5.91,5.86,5.895,133870
1569857400000,5.895,5.9,5.88,5.88,140832
1569858300000,5.88,5.88,5.85,5.855,81247
1569859200000,5.855,5.88,5.855,5.875,21520
1569860100000,5.875,5.92,5.87,5.915,205757
1569861000000,5.92,5.92,5.9,5.92,385641
1569861900000,5.91,5.92,5.89,5.905,224556
1569862800000,5.905,5.91,5.9,5.905,23627
1569863700000,5.905,5.91,5.9,5.905,39355
1569864600000,5.905,5.91,5.9,5.905,88999
1569865500000,5.91,5.92,5.9,5.92,63943
1569866400000,5.9143,5.92,5.9,5.915,155430
1569867300000,5.91,5.92,5.91,5.915,23497
1569868200000,5.915,5.92,5.9,5.91,317145
1569869100000,5.9,5.92,5.89,5.915,1126989
1569870000000,5.92,5.99,5.91,5.985,275651
1569870900000,5.985,6.04,5.97,6.015,443688
1569871800000,6.01,6.03,5.995,6.025,237486
1569872700000,6.025,6.03,5.99,6.02,927020
1569936600000,5.99,6.015,5.94,5.96,135653
