datetime,open,high,low,close,volume
1591968600000,6.8,6.95,6.72,6.876,266684
1591969500000,6.875,6.89,6.7301,6.835,149159
1591970400000,6.84,6.88,6.799,6.81,133992
1591971300000,6.81,6.82,6.67,6.6712,205034
1591972200000,6.67,6.7192,6.59,6.643,138138
1591973100000,6.64,6.69,6.535,6.54,182038
1591974000000,6.5399,6.62,6.42,6.53,269074
1591974900000,6.52,6.5697,6.435,6.54,173876
1591975800000,6.53,6.63,6.5239,6.5746,119828
1591976700000,6.58,6.69,6.58,6.68,69754
1591977600000,6.68,6.68,6.5813,6.605,40343
1591978500000,6.605,6.69,6.605,6.6399,60945
1591979400000,6.63,6.66,6.6,6.64,54053
1591980300000,6.635,6.69,6.59,6.68,69796
1591981200000,6.68,6.705,6.645,6.7,57062
1591982100000,6.69,6.695,6.63,6.6576,28022
1591983000000,6.66,6.66,6.57,6.59,61009
1591983900000,6.5913,6.5913,6.4865,6.51,112659
1591984800000,6.51,6.6,6.49,6.58,77923
1591985700000,6.57,6.66,6.56,6.6418,46072
1591986600000,6.64,6.66,6.57,6.61,80189
1591987500000,6.61,6.6799,6.61,6.67,68435
1591988400000,6.68,6.71,6.67,6.7,45907
1591989300000,6.6999,6.7,6.625,6.65,73540
1591990200000,6.66,6.73,6.64,6.72,80774
1591991100000,6.72,6.77,6.71,6.76,306571
