datetime,open,high,low,close,volume
1569504600000,6.21,6.2298,6.2,6.22,6321
1569505500000,6.22,6.22,6.185,6.19,5532
1569506400000,6.19,6.21,6.19,6.2,5363
1569507300000,6.21,6.21,6.17,6.18,4812
1569508200000,6.18,6.19,6.17,6.1739,20559
1569509100000,6.18,6.18,6.165,6.17,3662
1569510000000,6.18,6.19,6.17,6.19,10409
1569510900000,6.2,6.21,6.19,6.2,17402
1569511800000,6.195,6.21,6.19,6.2028,3940
1569512700000,6.2,6.2,6.19,6.2,7810
1569513600000,6.19,6.2,6.17,6.18,5764
1569514500000,6.17,6.17,6.15,6.165,7000
1569515400000,6.16,6.18,6.16,6.17,4410
1569516300000,6.165,6.17,6.15,6.15,3412
1569517200000,6.16,6.16,6.13,6.15,12480
1569518100000,6.14,6.15,6.13,6.135,5390
1569519000000,6.14,6.15,6.13,6.14,8212
1569519900000,6.13,6.14,6.12,6.13,3812
1569520800000,6.12,6.13,6.12,6.13,2841
1569521700000,6.13,6.145,6.13,6.14,3663
1569522600000,6.145,6.15,6.14,6.15,3809
1569523500000,6.145,6.15,6.14,6.14,2790
1569524400000,6.145,6.15,6.14,6.15,5200
1569525300000,6.15,6.15,6.13,6.13,9736
1569526200000,6.13,6.13,6.12,6.125,7482
1569527100000,6.12,6.14,6.12,6.14,18092
1569591000000,6.13,6.22,6.13,6.19,21908
1569591900000,6.2,6.22,6.17,6.175,28317
1569592800000,6.17,6.17,6.15,6.17,2255
1569593700000,6.18,6.19,6.17,6.19,500
1569594600000,6.18,6.18,6.18,6.18,500
1569595500000,6.1865,6.21,6.185,6.19,12182
1569596400000,6.19,6.2,6.19,6.2,3787
1569597300000,6.205,6.21,6.19,6.19,7065
1569598200000,6.2,6.2,6.12,6.15,7705
1569599100000,6.15,6.17,6.14,6.17,3100
1569600000000,6.15,6.16,6.13,6.16,1825
1569600900000,6.16,6.16,6.16,6.16,400
1569601800000,6.16,6.17,6.15,6.15,2431
1569602700000,6.13,6.14,6.1265,6.13,1831
1569603600000,6.14,6.15,6.13,6.15,1817
1569604500000,6.145,6.15,6.135,6.15,2197
1569605400000,6.14,6.16,6.14,6.15,1000
1569606300000,6.14,6.15,6.13,6.14,4312
1569607200000,6.15,6.16,6.15,6.1564,3535
1569608100000,6.16,6.17,6.15,6.155,10723
1569609000000,6.1501,6.16,6.15,6.155,1405
1569609900000,6.155,6.16,6.14,6.16,7194
1569610800000,6.165,6.165,6.145,6.145,7421
1569611700000,6.15,6.17,6.15,6.16,4266
1569612600000,6.17,6.17,6.16,6.165,5100
1569613500000,6.17,6.17,6.15,6.16,18093
1569850200000,6.15,6.19,6.14,6.14,11302
1569851100000,6.15,6.15,6.115,6.1215,3164
1569852000000,6.1275,6.1275,6.1275,6.1275,4500
1569853800000,6.12,6.12,6.08,6.08,16637
1569854700000,6.08,6.0899,6.06,6.0899,6496
1569855600000,6.0893,6.0956,6.0748,6.09,9707
1569856500000,6.09,6.09,6.08,6.08,906
1569857400000,6.085,6.085,6.085,6.085,600
1569858300000,6.09,6.09,6.05,6.06,2897
1569859200000,6.07,6.07,6.06,6.06,4505
1569860100000,6.055,6.085,6.055,6.085,38661
1569861000000,6.085,6.09,6.07,6.09,40985
1569861900000,6.09,6.1,6.085,6.09,5772
1569862800000,6.09,6.1,6.08,6.09,4053
1569863700000,6.095,6.1,6.085,6.0863,3500
1569864600000,6.08,6.09,6.07,6.07,3706
1569865500000,6.08,6.085,6.07,6.08,27025
1569866400000,6.07,6.085,6.07,6.085,7195
1569867300000,6.08,6.09,6.07,6.07,11809
1569868200000,6.075,6.08,6.06,6.08,16508
1569869100000,6.08,6.1,6.08,6.09,6750
1569870000000,6.1,6.11,6.08,6.09,16552
1569870900000,6.09,6.1,6.09,6.1,4200
1569871800000,6.095,6.1,6.07,6.07,20011
1569872700000,6.07,6.09,6.06,6.06,59433
1569936600000,6.09,6.1718,6.09,6.17,10505
1569937500000,6.165,6.19,6.15,6.1532,13404
1569938400000,6.15,6.15,6.08,6.13,24945
1569939300000,6.125,6.16,6.125,6.14,10066
1569940200000,6.145,6.15,6.14,6.14,11664
1569941100000,6.145,6.16,6.125,6.16,32010
1569942000000,6.15,6.15,6.13,6.13,9986
1569942900000,6.13,6.15,6.12,6.15,6530
1569943800000,6.14,6.15,6.13,6.1382,7186
1569944700000,6.14,6.14,6.125,6.13,6138
1569945600000,6.125,6.14,6.125,6.13,13478
1569946500000,6.125,6.14,6.11,6.11,17541
1569947400000,6.115,6.12,6.11,6.11,10296
1569948300000,6.115,6.12,6.095,6.1,7651
1569949200000,6.09,6.09,6.07,6.07,9338
1569950100000,6.07,6.07,6.05,6.05,6550
1569951000000,6.05,6.05,6.02,6.02,9988
1569951900000,6.02,6.03,6.01,6.01,2518
1569952800000,6.0146,6.02,5.99,6.005,16051
1569953700000,6.01,6.01,5.99,5.99,3668
1569954600000,5.99,6.0,5.99,6.0,900
1569955500000,5.99,6.0,5.98,5.99,6765
1569956400000,5.99,5.99,5.95,5.9646,13000
1569957300000,5.965,5.9781,5.96,5.9781,4577
1569958200000,5.97,5.98,5.965,5.97,4650
1569959100000,5.97,5.97,5.95,5.95,15919
1570023000000,5.94,5.97,5.9078,5.97,8144
1570023900000,5.97,6.01,5.96,5.96,18665
1570024800000,5.95,6.02,5.94,6.0,22106
1570025700000,6.01,6.07,6.0059,6.07,22274
1570026600000,6.06,6.065,6.0,6.03,20701
1570027500000,6.03,6.03,6.01,6.03,3873
1570028400000,6.03,6.04,6.02,6.02,5407
1570029300000,6.025,6.025,5.98,5.985,12802
1570030200000,5.98,5.99,5.98,5.985,1300
1570031100000,5.99,5.99,5.98,5.99,2100
1570032000000,5.99,5.99,5.96,5.96,6151
1570032900000,5.97,5.98,5.97,5.98,2250
1570033800000,5.97,5.98,5.97,5.98,3214
1570034700000,5.98,5.98,5.95,5.95,5165
1570035600000,5.96,5.98,5.955,5.98,12505
1570036500000,5.98,5.99,5.98,5.99,1800
1570037400000,5.98,5.99,5.93,5.95,137445
1570038300000,5.94,5.955,5.94,5.95,5044
1570039200000,5.95,5.96,5.94,5.945,4605
1570040100000,5.945,5.95,5.94,5.95,5797
1570041000000,5.955,5.96,5.94,5.945,3918
1570041900000,5.94,5.95,5.92,5.93,4693
1570042800000,5.925,5.93,5.91,5.92,5262
1570043700000,5.92,5.92,5.91,5.91,4979
1570044600000,5.915,5.925,5.91,5.91,6610
1570045500000,5.915,5.92,5.9,5.92,33131
1570109400000,5.91,5.94,5.89,5.91,9811
1570110300000,5.91,5.9279,5.9,5.91,5914
1570111200000,5.9,5.9,5.84,5.895,16245
1570112100000,5.895,5.92,5.89,5.92,1800
1570113000000,5.9146,5.93,5.9146,5.92,4863
1570113900000,5.92,5.92,5.87,5.91,8708
1570114800000,5.915,5.96,5.915,5.96,40024
1570115700000,5.96,5.985,5.95,5.95,9586
1570116600000,5.95,5.96,5.95,5.95,6458
1570117500000,5.945,5.95,5.93,5.94,3600
1570118400000,5.94,5.98,5.94,5.98,3978
1570119300000,5.96,5.97,5.9506,5.97,6856
1570120200000,5.98,6.007,5.98,6.007,3272
1570121100000,6.01,6.02,6.004,6.01,5113
1570122000000,6.01,6.02,6.0039,6.005,5000
1570122900000,6.01,6.01,6.0,6.0067,2366
1570123800000,6.01,6.03,6.0,6.02,7450
1570124700000,6.02,6.03,6.01,6.02,6063
1570125600000,6.01,6.02,6.0,6.01,4626
1570126500000,6.01,6.025,6.0,6.0,3087
1570127400000,6.01,6.01,5.98,5.995,3261
1570128300000,5.99,5.99,5.97,5.97,1300
1570129200000,5.98,5.99,5.97,5.985,4700
1570130100000,5.98,5.98,5.97,5.97,3643
1570131000000,5.975,5.98,5.95,5.975,13020
1570131900000,5.97,5.98,5.96,5.97,13249
1570195800000,5.96,6.07,5.96,6.06,31342
1570196700000,6.06,6.09,6.01,6.08,35068
1570197600000,6.0985,6.0985,6.035,6.04,5493
1570198500000,6.04,6.04,6.02,6.02,3366
1570199400000,6.01,6.02,6.01,6.015,1200
1570200300000,6.01,6.03,6.01,6.03,3646
1570201200000,6.02,6.04,6.02,6.04,3840
1570202100000,6.04,6.06,6.035,6.055,3171
1570203000000,6.06,6.08,6.06,6.08,4444
1570203900000,6.08,6.08,6.065,6.07,4501
1570204800000,6.08,6.09,6.08,6.08,2601
1570205700000,6.07,6.075,6.06,6.0633,2438
1570206600000,6.07,6.08,6.07,6.08,2250
1570207500000,6.075,6.08,6.07,6.08,4382
1570208400000,6.07,6.08,6.07,6.07,2465
1570209300000,6.08,6.08,6.06,6.06,5056
1570210200000,6.06,6.08,6.06,6.08,2703
1570211100000,6.075,6.075,6.06,6.06,3061
1570212000000,6.065,6.07,6.0614,6.07,1399
1570212900000,6.07,6.075,6.065,6.075,1110
1570213800000,6.075,6.08,6.07,6.075,3100
1570214700000,6.075,6.08,6.07,6.075,2391
1570215600000,6.075,6.09,6.07,6.085,2400
1570216500000,6.09,6.09,6.08,6.085,1776
1570217400000,6.09,6.09,6.085,6.085,3500
1570218300000,6.09,6.12,6.0828,6.12,34023
1570455000000,6.05,6.15,6.05,6.125,9741
1570455900000,6.125,6.23,6.125,6.22,34567
1570456800000,6.23,6.24,6.2,6.2,31054
1570457700000,6.195,6.21,6.17,6.2061,9133
1570458600000,6.205,6.22,6.2,6.21,6656
1570459500000,6.21,6.21,6.2,6.21,1400
1570460400000,6.205,6.24,6.205,6.215,7179
1570461300000,6.22,6.23,6.21,6.23,2714
1570462200000,6.23,6.23,6.22,6.225,5600
1570463100000,6.22,6.225,6.2,6.21,4981
1570464000000,6.21,6.22,6.21,6.22,2850
1570464900000,6.22,6.23,6.22,6.23,1728
1570465800000,6.23,6.24,6.22,6.24,3682
1570466700000,6.235,6.24,6.235,6.235,1100
1570467600000,6.24,6.24,6.22,6.23,1300
1570468500000,6.22,6.2225,6.21,6.22,3031
1570469400000,6.23,6.26,6.23,6.245,5411
1570470300000,6.24,6.25,6.24,6.25,1200
1570471200000,6.24,6.25,6.225,6.25,7005
1570472100000,6.245,6.25,6.24,6.24,900
1570473000000,6.24,6.25,6.21,6.21,12298
1570473900000,6.21,6.22,6.21,6.22,6823
1570474800000,6.23,6.24,6.22,6.235,5464
1570475700000,6.24,6.24,6.22,6.22,6830
1570476600000,6.22,6.2216,6.19,6.205,16716
1570477500000,6.2,6.205,6.19,6.19,33982
1570541400000,6.11,6.17,6.1,6.14,9968
1570542300000,6.1498,6.17,6.125,6.13,11597
1570543200000,6.12,6.14,6.09,6.13,16906
1570544100000,6.13,6.14,6.11,6.11,20586
1570545000000,6.11,6.11,6.0899,6.09,9503
1570545900000,6.09,6.115,6.09,6.115,4707
1570546800000,6.11,6.115,6.1,6.1089,6993
1570547700000,6.11,6.115,6.09,6.09,21112
1570548600000,6.09,6.1,6.06,6.0643,13061
1570549500000,6.06,6.09,6.06,6.08,8586
1570550400000,6.09,6.09,6.08,6.08,1600
1570551300000,6.08,6.1,6.08,6.095,1800
1570552200000,6.095,6.1,6.09,6.1,2414
1570553100000,6.11,6.1201,6.1077,6.12,7673
1570554000000,6.115,6.12,6.11,6.11,1507
1570554900000,6.11,6.135,6.11,6.13,4500
1570555800000,6.13,6.1363,6.11,6.11,7486
1570556700000,6.11,6.12,6.11,6.11,1699
1570557600000,6.11,6.12,6.11,6.12,2100
1570558500000,6.115,6.12,6.11,6.12,2300
1570559400000,6.12,6.15,6.11,6.12,16774
1570560300000,6.12,6.14,6.115,6.1199,7366
1570561200000,6.12,6.125,6.11,6.11,2295
1570562100000,6.115,6.115,6.1,6.1019,8359
1570563000000,6.11,6.11,6.08,6.085,7763
1570563900000,6.09,6.09,6.075,6.08,36469
1570627800000,6.16,6.2,6.159,6.18,10679
1570628700000,6.18,6.18,6.155,6.18,4250
1570629600000,6.17,6.1763,6.1474,6.15,17998
1570630500000,6.15,6.1745,6.1499,6.165,5341
1570631400000,6.17,6.18,6.16,6.165,5585
1570632300000,6.17,6.18,6.165,6.17,5120
1570633200000,6.17,6.17,6.15,6.16,5808
1570634100000,6.16,6.17,6.16,6.17,708
1570635000000,6.165,6.17,6.15,6.17,2790
1570635900000,6.17,6.17,6.16,6.16,1600
1570636800000,6.16,6.16,6.1563,6.16,900
1570637700000,6.16,6.16,6.155,6.16,1100
1570638600000,6.16,6.16,6.14,6.15,3128
1570639500000,6.1456,6.155,6.145,6.15,3438
1570640400000,6.155,6.16,6.1422,6.16,3582
1570641300000,6.15,6.16,6.13,6.155,17757
1570642200000,6.16,6.197,6.16,6.19,9913
1570643100000,6.195,6.2,6.18,6.185,3450
1570644000000,6.18,6.195,6.18,6.19,8519
1570644900000,6.19,6.21,6.18,6.2,9534
1570645800000,6.195,6.21,6.195,6.21,13100
1570646700000,6.21,6.22,6.21,6.22,5171
1570647600000,6.23,6.2358,6.215,6.23,10953
1570648500000,6.235,6.24,6.2301,6.24,5185
1570649400000,6.235,6.24,6.23,6.235,6300
1570650300000,6.23,6.235,6.22,6.22,21414
1570714200000,6.23,6.265,6.23,6.25,4654
1570715100000,6.26,6.32,6.26,6.32,6012
1570716000000,6.31,6.34,6.29,6.34,9820
1570716900000,6.34,6.35,6.333,6.35,2500
1570717800000,6.34,6.36,6.34,6.3563,2609
1570718700000,6.35,6.38,6.35,6.38,3555
1570719600000,6.38,6.38,6.36,6.37,3092
1570720500000,6.375,6.39,6.37,6.38,4427
1570721400000,6.38,6.38,6.3764,6.38,1204
1570722300000,6.385,6.39,6.38,6.39,1514
1570723200000,6.3866,6.39,6.375,6.38,3186
1570724100000,6.37,6.38,6.37,6.38,2100
1570725000000,6.3863,6.4,6.3863,6.4,4362
1570725900000,6.395,6.41,6.395,6.41,1874
1570726800000,6.41,6.41,6.405,6.41,800
1570727700000,6.41,6.41,6.405,6.41,1806
1570728600000,6.4,6.41,6.398,6.41,3175
1570729500000,6.41,6.46,6.41,6.46,7126
1570730400000,6.46,6.46,6.44,6.46,7764
1570731300000,6.455,6.4699,6.455,6.4628,990
1570732200000,6.47,6.47,6.455,6.46,3019
1570733100000,6.455,6.48,6.455,6.48,7447
1570734000000,6.475,6.485,6.47,6.48,4389
1570734900000,6.49,6.49,6.48,6.49,2320
1570735800000,6.49,6.49,6.475,6.475,6664
1570736700000,6.475,6.49,6.47,6.47,41653
1570800600000,6.55,6.65,6.55,6.65,67979
1570801500000,6.6443,6.65,6.62,6.65,25102
1570802400000,6.65,6.68,6.64,6.68,39331
1570803300000,6.68,6.68,6.6,6.61,17760
1570804200000,6.61,6.64,6.605,6.635,9157
1570805100000,6.64,6.66,6.64,6.655,5231
1570806000000,6.66,6.67,6.64,6.64,12972
1570806900000,6.63,6.65,6.63,6.65,5155
1570807800000,6.645,6.65,6.64,6.65,7500
1570808700000,6.64,6.65,6.63,6.65,13705
1570809600000,6.6445,6.645,6.63,6.635,4857
1570810500000,6.64,6.65,6.6336,6.65,1998
1570811400000,6.65,6.65,6.64,6.65,9171
1570812300000,6.6439,6.65,6.64,6.65,1720
1570813200000,6.65,6.65,6.62,6.62,7686
1570814100000,6.625,6.63,6.62,6.63,6085
1570815000000,6.625,6.63,6.61,6.63,21342
1570815900000,6.63,6.64,6.63,6.64,2200
1570816800000,6.64,6.645,6.625,6.625,14129
1570817700000,6.62,6.64,6.62,6.64,6958
1570818600000,6.64,6.645,6.64,6.64,6929
1570819500000,6.64,6.65,6.635,6.64,10766
1570820400000,6.64,6.64,6.635,6.635,2400
1570821300000,6.635,6.64,6.63,6.635,3307
1570822200000,6.64,6.65,6.625,6.63,24534
1570823100000,6.625,6.63,6.6,6.6,24839
1571059800000,6.51,6.59,6.5,6.58,28312
1571060700000,6.57,6.59,6.53,6.53,13813
1571061600000,6.52,6.6,6.5,6.6,23988
1571062500000,6.59,6.62,6.56,6.59,24912
1571063400000,6.59,6.6056,6.58,6.59,5515
1571064300000,6.6,6.62,6.5987,6.62,8857
1571065200000,6.63,6.64,6.62,6.64,2700
1571066100000,6.64,6.64,6.6,6.64,13329
1571067000000,6.64,6.64,6.64,6.64,3656
