datetime,open,high,low,close,volume
1569504600000,5.98,6.01,5.89,5.98,22008
1569505500000,5.98,5.99,5.89,5.92,7824
1569506400000,5.91,5.96,5.9,5.96,20453
1569507300000,5.97,5.97,5.89,5.91,8522
1569508200000,5.91,5.92,5.9025,5.91,5600
1569509100000,5.9,5.96,5.9,5.95,15192
1569510000000,5.955,5.955,5.94,5.945,5100
1569510900000,5.95,5.96,5.91,5.92,10051
1569511800000,5.92,5.97,5.92,5.97,7825
1569512700000,5.99,6.02,5.97,6.01,11960
1569513600000,6.0,6.02,5.99,6.0,7654
1569514500000,5.99,6.01,5.99,6.0,4300
1569515400000,6.0,6.01,5.99,5.99,5235
1569516300000,5.99,5.995,5.96,5.96,3307
1569517200000,5.97,5.97,5.93,5.935,3813
1569518100000,5.92,5.92,5.9,5.92,2489
1569519000000,5.91,5.925,5.91,5.91,3533
1569519900000,5.91,5.91,5.87,5.91,4936
1569520800000,5.9,5.91,5.87,5.87,15076
1569521700000,5.88,5.91,5.87,5.87,4852
1569522600000,5.865,5.885,5.865,5.88,6368
1569523500000,5.88,5.89,5.875,5.88,3854
1569524400000,5.88,5.895,5.88,5.88,4366
1569525300000,5.88,5.885,5.86,5.885,11756
1569526200000,5.885,5.885,5.87,5.87,7497
1569527100000,5.875,5.88,5.87,5.88,21671
1569591000000,5.88,5.92,5.83,5.9,10873
1569591900000,5.9,5.97,5.89,5.9,9958
1569592800000,5.92,5.93,5.89,5.93,14304
1569593700000,5.91,5.92,5.89,5.9,2791
1569594600000,5.92,5.95,5.92,5.95,3924
1569595500000,5.95,5.95,5.94,5.95,900
1569596400000,5.94,5.96,5.895,5.9,15029
1569597300000,5.9,5.97,5.9,5.97,11143
1569598200000,5.96,5.97,5.92,5.95,17584
1569599100000,5.95,5.975,5.93,5.975,3243
1569600000000,5.97,6.0,5.96,6.0,3900
1569600900000,5.96,6.0,5.96,5.97,1200
1569601800000,5.96,5.98,5.96,5.97,1800
1569602700000,5.97,5.97,5.94,5.965,10445
1569603600000,5.96,5.98,5.95,5.95,9128
1569604500000,5.95,5.95,5.93,5.935,3940
1569605400000,5.935,5.95,5.935,5.945,2853
1569606300000,5.94,5.96,5.94,5.955,5062
1569607200000,5.955,5.97,5.95,5.955,26658
