datetime,open,high,low,close,volume
1569504600000,4.76,4.87,4.705,4.72,29054
1569505500000,4.72,4.78,4.65,4.715,41752
1569506400000,4.715,4.73,4.67,4.69,11539
1569507300000,4.695,4.7,4.63,4.66,15923
1569508200000,4.655,4.66,4.6,4.61,20733
1569509100000,4.6,4.62,4.54,4.61,96292
1569510000000,4.61,4.64,4.58,4.64,22597
1569510900000,4.63,4.645,4.61,4.62,14956
1569511800000,4.62,4.64,4.62,4.63,4791
1569512700000,4.64,4.66,4.63,4.64,7958
1569513600000,4.64,4.71,4.6332,4.71,41608
1569514500000,4.71,4.77,4.7,4.76,31557
1569515400000,4.765,4.79,4.7519,4.755,26727
1569516300000,4.755,4.79,4.755,4.78,16821
1569517200000,4.78,4.79,4.725,4.725,15483
1569518100000,4.73,4.73,4.69,4.7,9683
1569519000000,4.7,4.73,4.7,4.73,9550
1569519900000,4.73,4.73,4.715,4.73,9566
1569520800000,4.73,4.77,4.715,4.77,20716
1569521700000,4.77,4.77,4.735,4.74,16910
1569522600000,4.74,4.74,4.73,4.74,5750
1569523500000,4.74,4.76,4.74,4.745,11935
1569524400000,4.75,4.76,4.74,4.75,16823
1569525300000,4.75,4.755,4.725,4.7367,22298
1569526200000,4.735,4.745,4.71,4.72,16442
1569527100000,4.715,4.76,4.715,4.73,71599
1569591000000,4.72,4.85,4.6591,4.85,39735
1569591900000,4.84,4.91,4.8016,4.81,48448
1569592800000,4.8,4.8,4.74,4.79,45190
1569593700000,4.78,4.8,4.705,4.71,21411
1569594600000,4.705,4.73,4.66,4.68,64092
1569595500000,4.693,4.693,4.64,4.655,26965
1569596400000,4.66,4.69,4.6528,4.685,13428
1569597300000,4.685,4.7,4.68,4.695,6210
1569598200000,4.69,4.69,4.63,4.655,18909
1569599100000,4.65,4.69,4.64,4.66,13499
1569600000000,4.665,4.665,4.64,4.655,17882
1569600900000,4.655,4.66,4.6429,4.645,9427
1569601800000,4.64,4.645,4.625,4.63,9821
1569602700000,4.625,4.63,4.59,4.605,16258
1569603600000,4.6,4.63,4.59,4.6224,9582
1569604500000,4.6291,4.63,4.59,4.625,22110
1569605400000,4.63,4.68,4.63,4.675,18603
1569606300000,4.67,4.72,4.65,4.71,30180
1569607200000,4.72,4.72,4.6924,4.7,9549
1569608100000,4.69,4.7,4.67,4.67,22189
1569609000000,4.67,4.69,4.67,4.675,10761
1569609900000,4.675,4.69,4.66,4.685,13314
1569610800000,4.69,4.69,4.64,4.64,14564
1569611700000,4.64,4.68,4.64,4.665,11800
1569612600000,4.665,4.72,4.66,4.72,38038
1569613500000,4.72,4.76,4.715,4.76,129237
1569850200000,4.77,4.8,4.73,4.76,24432
1569851100000,4.765,4.77,4.73,4.75,11605
1569852000000,4.74,4.75,4.71,4.725,10730
1569852900000,4.72,4.7395,4.695,4.71,14135
1569853800000,4.715,4.73,4.67,4.72,20896
1569854700000,4.72,4.73,4.68,4.685,37088
1569855600000,4.685,4.69,4.64,4.64,15406
1569856500000,4.635,4.65,4.6132,4.62,11407
1569857400000,4.615,4.65,4.615,4.645,19375
1569858300000,4.64,4.64,4.6,4.61,10414
1569859200000,4.6135,4.63,4.61,4.61,7327
1569860100000,4.615,4.645,4.61,4.645,7304
1569861000000,4.65,4.65,4.62,4.64,8063
1569861900000,4.64,4.65,4.625,4.65,13076
1569862800000,4.65,4.78,4.65,4.78,139017
1569863700000,4.775,4.78,4.74,4.77,51675
1569864600000,4.77,4.78,4.745,4.775,19283
1569865500000,4.775,4.8,4.77,4.785,18379
1569866400000,4.785,4.82,4.78,4.815,22945
1569867300000,4.8101,4.84,4.805,4.83,42202
1569868200000,4.825,4.85,4.825,4.845,16891
1569869100000,4.84,4.85,4.81,4.81,41645
1569870000000,4.81,4.81,4.7838,4.785,26957
1569870900000,4.785,4.785,4.75,4.755,16783
1569871800000,4.755,4.78,4.755,4.765,25442
1569872700000,4.765,4.8,4.76,4.76,138015
1569936600000,4.77,4.835,4.77,4.83,14355
1569937500000,4.84,4.845,4.81,4.81,13917
1569938400000,4.81,4.81,4.7,4.7,18274
1569939300000,4.695,4.72,4.68,4.72,7532
