datetime,open,high,low,close,volume
1591968600000,8.31,8.44,8.286,8.42,10513
1591969500000,8.41,8.42,8.2907,8.3,9192
1591970400000,8.305,8.37,8.28,8.3,13668
1591971300000,8.3,8.37,8.3,8.3,22554
1591972200000,8.3,8.3,8.16,8.19,5059
1591973100000,8.18,8.238,8.17,8.17,6766
1591974000000,8.16,8.18,8.07,8.08,11540
1591974900000,8.07,8.14,8.01,8.14,19405
1591975800000,8.11,8.21,8.11,8.17,7255
1591976700000,8.178,8.2,8.12,8.155,13668
1591977600000,8.15,8.152,8.07,8.07,5031
1591978500000,8.085,8.12,8.085,8.09,2911
1591979400000,8.0999,8.14,8.07,8.09,6482
1591980300000,8.09,8.13,8.07,8.07,5004
1591981200000,8.08,8.095,8.07,8.095,1900
1591982100000,8.08,8.12,8.07,8.11,4541
1591983000000,8.09,8.11,8.01,8.01,5621
1591983900000,8.01,8.01,7.95,7.95,7264
1591984800000,7.9501,8.01,7.94,7.98,5891
1591985700000,7.9625,8.05,7.96,8.02,8977
1591986600000,7.99,8.1,7.99,8.055,4130
1591987500000,8.07,8.15,8.05,8.05,5918
1591988400000,8.05,8.0725,8.05,8.05,4397
1591989300000,8.05,8.07,8.05,8.06,8882
1591990200000,8.07,8.12,8.07,8.08,7230
1591991100000,8.08,8.14,8.02,8.04,23985
