datetime,open,high,low,close,volume
1569504600000,19.59,19.6293,19.4937,19.5928,5667
1569505500000,19.54,19.65,19.54,19.62,2950
1569506400000,19.64,19.71,19.64,19.66,2500
1569507300000,19.66,19.69,19.62,19.645,3340
1569508200000,19.67,19.71,19.63,19.677,8015
1569509100000,19.6305,19.68,19.6206,19.68,2218
1569510000000,19.7,19.7,19.65,19.7,1200
1569510900000,19.6987,19.71,19.67,19.7,2756
1569511800000,19.72,19.72,19.69,19.69,4162
1569512700000,19.676,19.68,19.65,19.65,2850
1569513600000,19.66,19.67,19.63,19.64,4792
1569514500000,19.65,19.65,19.58,19.611,910
1569515400000,19.64,19.65,19.6038,19.6269,3365
1569516300000,19.63,19.67,19.63,19.67,2587
1569517200000,19.67,19.68,19.63,19.6708,1180
1569518100000,19.65,19.7,19.65,19.69,700
1569519000000,19.69,19.71,19.68,19.68,3605
1569519900000,19.67,19.6769,19.65,19.67,3520
1569520800000,19.679,19.7,19.67,19.6802,4861
1569521700000,19.7,19.7,19.67,19.7,2610
1569522600000,19.685,19.7,19.67,19.7,2050
1569523500000,19.685,19.71,19.62,19.63,8400
1569524400000,19.6,19.62,19.56,19.57,4262
1569525300000,19.56,19.61,19.55,19.6,3875
1569526200000,19.61,19.65,19.6,19.6057,4599
1569527100000,19.6088,19.65,19.58,19.6,12199
1569591000000,19.71,19.73,19.6101,19.6754,12081
1569591900000,19.65,19.7,19.64,19.64,2059
1569592800000,19.65,19.73,19.61,19.65,7072
1569593700000,19.65,19.68,19.62,19.65,2651
1569594600000,19.71,19.79,19.7043,19.79,10142
1569595500000,19.79,19.83,19.79,19.82,3944
1569596400000,19.82,19.82,19.78,19.7891,1483
1569597300000,19.8,19.84,19.8,19.84,1468
1569598200000,19.84,19.84,19.715,19.75,5948
1569599100000,19.79,19.82,19.7456,19.76,3675
1569600000000,19.81,19.81,19.7814,19.8,1005
1569600900000,19.8,19.8,19.74,19.74,3711
1569601800000,19.71,19.77,19.71,19.77,1900
1569602700000,19.77,19.776,19.6515,19.6627,6898
1569603600000,19.62,19.7,19.6103,19.7,1964
1569604500000,19.7,19.76,19.6851,19.7,15023
1569605400000,19.72,19.72,19.68,19.68,900
1569606300000,19.71,19.73,19.68,19.6996,2468
1569607200000,19.73,19.73,19.67,19.67,1120
1569608100000,19.71,19.71,19.67,19.685,1521
1569609000000,19.7,19.7,19.62,19.62,2600
1569609900000,19.61,19.6253,19.5,19.515,34968
1569610800000,19.5433,19.59,19.54,19.59,1000
1569611700000,19.61,19.63,19.58,19.595,2900
1569612600000,19.58,19.67,19.58,19.67,3977
1569613500000,19.67,19.75,19.65,19.72,17648
1569850200000,19.79,19.79,19.57,19.57,3831
1569851100000,19.5233,19.5792,19.5233,19.54,2850
1569852000000,19.5479,19.5645,19.52,19.52,4140
1569852900000,19.565,19.57,19.53,19.5368,6459
1569853800000,19.5246,19.5246,19.51,19.52,2000
1569854700000,19.5,19.58,19.5,19.55,9500
1569855600000,19.57,19.59,19.57,19.58,1519
1569856500000,19.575,19.61,19.5643,19.6,5037
1569857400000,19.615,19.67,19.615,19.6483,2911
1569858300000,19.63,19.705,19.63,19.705,2366
1569859200000,19.72,19.74,19.71,19.7332,3076
1569860100000,19.72,19.75,19.72,19.74,3533
1569861000000,19.73,19.74,19.7199,19.7299,4234
1569861900000,19.755,19.79,19.755,19.79,4300
1569862800000,19.79,19.8,19.77,19.77,10471
1569863700000,19.78,19.8,19.78,19.785,2430
1569864600000,19.785,19.7884,19.77,19.785,5783
1569865500000,19.8,19.8,19.77,19.7905,1400
1569866400000,19.77,19.79,19.77,19.78,12198
1569867300000,19.78,19.8,19.78,19.8,5205
1569868200000,19.7995,19.84,19.7995,19.84,9373
1569869100000,19.84,19.85,19.84,19.8458,2900
1569870000000,19.86,19.92,19.85,19.9009,3239
1569870900000,19.8999,19.94,19.88,19.93,8557
1569871800000,19.9,19.92,19.89,19.9005,5386
1569872700000,19.905,19.92,19.7,19.71,20063
1569936600000,19.79,19.79,19.75,19.75,2109
1569938400000,19.81,19.81,19.68,19.7,3871
1569939300000,19.68,19.704,19.6709,19.6709,800
1569940200000,19.64,19.64,19.61,19.61,200
1569941100000,19.62,19.67,19.62,19.6567,2752
1569942000000,19.6604,19.67,19.65,19.6558,3096
1569942900000,19.64,19.65,19.6,19.63,3041
1569943800000,19.62,19.629,19.55,19.55,2226
1569944700000,19.5129,19.5279,19.5129,19.5218,491
1569945600000,19.54,19.55,19.5,19.5,689
1569946500000,19.49,19.5224,19.49,19.5102,3259
1569947400000,19.5195,19.5246,19.48,19.49,2055
1569948300000,19.49,19.52,19.48,19.48,800
1569949200000,19.43,19.4499,19.405,19.42,4452
1569950100000,19.42,19.43,19.4001,19.42,7463
1569951000000,19.42,19.475,19.41,19.46,37050
1569951900000,19.445,19.46,19.425,19.425,17400
1569952800000,19.425,19.44,19.39,19.43,10171
1569953700000,19.415,19.44,19.38,19.39,3400
1569954600000,19.41,19.415,19.41,19.415,200
1569955500000,19.42,19.4571,19.41,19.445,5110
1569956400000,19.46,19.53,19.43,19.47,6620
1569957300000,19.4651,19.5,19.46,19.46,2687
1569958200000,19.51,19.7,19.5,19.69,21466
1569959100000,19.69,19.82,19.69,19.76,56813
1570023000000,19.73,19.79,19.7,19.7569,3816
1570023900000,19.72,19.79,19.61,19.61,1500
1570024800000,19.6045,19.72,19.585,19.7,2700
1570025700000,19.75,19.75,19.62,19.62,2200
1570026600000,19.62,19.69,19.55,19.55,5220
1570027500000,19.5703,19.5703,19.54,19.54,1500
1570028400000,19.545,19.57,19.46,19.4702,4651
1570029300000,19.42,19.42,19.21,19.26,20184
1570030200000,19.2968,19.2968,19.26,19.2921,974
1570031100000,19.3133,19.41,19.3072,19.41,2150
1570032000000,19.36,19.4,19.35,19.3622,1800
1570032900000,19.3758,19.39,19.33,19.39,600
1570033800000,19.3684,19.3684,19.31,19.31,1069
1570034700000,19.31,19.31,19.26,19.31,4405
1570035600000,19.27,19.31,19.27,19.31,600
1570036500000,19.3155,19.3288,19.2701,19.2701,3028
1570037400000,19.2617,19.2617,19.05,19.05,11756
1570038300000,19.0747,19.0861,19.05,19.05,6133
1570039200000,19.05,19.0819,19.04,19.04,3753
1570040100000,19.055,19.14,19.04,19.1,6351
1570041000000,19.07,19.1385,19.07,19.1385,1091
1570041900000,19.1719,19.18,19.1,19.1,3531
1570042800000,19.15,19.15,19.1314,19.15,3129
1570043700000,19.145,19.145,19.13,19.13,300
1570044600000,19.1471,19.2,19.1471,19.155,4090
1570045500000,19.14,19.19,19.1,19.11,10818
1570109400000,19.06,19.1622,19.06,19.1622,3060
1570110300000,19.1925,19.2,19.15,19.1786,3256
1570111200000,19.14,19.14,19.0301,19.1199,8562
1570112100000,19.0906,19.135,19.045,19.09,9912
1570113000000,19.12,19.18,19.08,19.105,16904
1570113900000,19.105,19.12,19.09,19.11,4072
1570114800000,19.2,19.27,19.2,19.27,409
1570115700000,19.235,19.235,19.21,19.235,300
1570116600000,19.26,19.26,19.14,19.19,5596
1570117500000,19.165,19.2077,19.15,19.18,2300
1570118400000,19.1571,19.18,19.145,19.155,3400
1570119300000,19.13,19.14,19.125,19.125,500
1570120200000,19.14,19.2028,19.14,19.195,6242
1570121100000,19.21,19.2356,19.21,19.21,1100
1570122000000,19.21,19.22,19.19,19.2128,1967
1570122900000,19.2,19.22,19.19,19.205,3050
1570123800000,19.2066,19.23,19.19,19.21,2822
1570124700000,19.23,19.26,19.23,19.23,2059
1570125600000,19.23,19.23,19.2194,19.2194,1056
1570126500000,19.2,19.26,19.2,19.26,4100
1570127400000,19.23,19.23,19.2,19.206,1811
1570128300000,19.19,19.19,19.16,19.17,1310
1570129200000,19.19,19.2,19.1852,19.1902,2416
1570130100000,19.19,19.19,19.151,19.18,5965
1570131000000,19.17,19.18,19.1683,19.1683,1429
1570131900000,19.16,19.2,19.1499,19.1893,3825
1570195800000,19.35,19.37,19.27,19.305,4983
1570196700000,19.36,19.47,19.2993,19.42,12155
1570197600000,19.4191,19.4191,19.4191,19.4191,120
1570198500000,19.3885,19.445,19.3885,19.4,1200
1570199400000,19.445,19.45,19.32,19.32,4507
1570200300000,19.3007,19.37,19.3007,19.36,300
1570201200000,19.3368,19.3368,19.32,19.32,325
1570202100000,19.36,19.36,19.3337,19.3337,850
1570203000000,19.3249,19.36,19.3249,19.3335,964
1570203900000,19.36,19.3939,19.355,19.3939,2400
1570204800000,19.41,19.42,19.37,19.37,908
1570206600000,19.3932,19.4429,19.3932,19.4429,2835
1570207500000,19.42,19.4479,19.36,19.3797,3270
1570208400000,19.35,19.37,19.35,19.3564,900
1570209300000,19.3689,19.38,19.3599,19.37,1501
1570210200000,19.37,19.37,19.37,19.37,559
