datetime,open,high,low,close,volume
1569504600000,37.34,37.34,37.1,37.18,4416
1569505500000,37.18,37.335,37.12,37.13,3900
1569506400000,37.16,37.28,36.99,36.99,5200
1569507300000,37.02,37.1,36.97,37.0,4500
1569508200000,36.98,37.07,36.93,37.06,2900
1569509100000,37.05,37.119,36.98,37.0475,5377
1569510000000,37.01,37.05,36.97,36.98,3000
1569510900000,36.98,36.98,36.88,36.88,1900
1569511800000,36.88,37.0,36.84,37.0,2491
1569512700000,36.99,36.99,36.94,36.94,5370
1569513600000,36.93,37.05,36.92,37.0,2300
1569514500000,37.02,37.04,36.94,37.01,2671
1569515400000,37.03,37.055,37.02,37.02,1100
1569516300000,37.02,37.02,36.97,36.99,3109
1569517200000,36.99,36.99,36.89,36.89,1300
1569518100000,36.88,36.9,36.77,36.7861,3176
1569519000000,36.81,36.85,36.77,36.84,2850
1569519900000,36.84,36.84,36.78,36.82,3700
1569520800000,36.84,36.89,36.84,36.88,1711
1569521700000,36.905,36.91,36.82,36.83,4146
1569522600000,36.83,36.88,36.83,36.86,2200
1569523500000,36.86,36.9,36.82,36.82,3462
1569524400000,36.79,36.859,36.79,36.845,2607
1569525300000,36.83,36.84,36.77,36.8,7174
1569526200000,36.81,36.93,36.8,36.89,9037
1569527100000,36.9,36.92,36.79,36.86,28439
1569591000000,37.24,37.57,37.24,37.57,3961
1569591900000,37.505,37.635,37.48,37.48,4100
1569592800000,37.26,37.34,37.21,37.21,3113
1569593700000,37.22,37.31,37.22,37.31,900
1569594600000,37.32,37.35,37.22,37.25,1900
1569595500000,37.24,37.25,37.16,37.23,14208
1569596400000,37.23,37.25,37.12,37.12,2049
1569597300000,37.11,37.16,37.11,37.16,300
1569598200000,37.24,37.24,36.97,37.065,3699
1569599100000,37.073,37.17,37.04,37.15,1765
1569600000000,37.09,37.16,37.09,37.16,1300
1569600900000,37.12,37.15,37.04,37.08,1300
1569601800000,37.06,37.1,37.01,37.08,700
1569602700000,37.05,37.06,37.03,37.04,600
1569603600000,37.0,37.13,36.99,37.1,4676
1569604500000,37.105,37.15,37.085,37.14,6538
1569605400000,37.14,37.15,37.13,37.15,6620
1569606300000,37.14,37.1599,37.0,37.13,17299
1569607200000,37.1,37.13,37.04,37.06,2680
1569608100000,37.035,37.13,37.035,37.08,2779
1569609000000,37.02,37.04,36.99,37.0,12400
1569609900000,37.02,37.03,36.96,36.96,7012
1569610800000,36.99,36.99,36.9,36.96,2900
1569611700000,37.0,37.08,36.99,37.07,3762
1569612600000,37.05,37.12,37.05,37.09,19643
1569613500000,37.06,37.1,37.03,37.1,19078
1569850200000,37.22,37.25,37.01,37.16,1545
1569851100000,37.08,37.16,36.975,37.16,2974
1569852000000,37.05,37.09,37.005,37.075,3171
1569852900000,37.16,37.165,36.99,36.99,2200
1569853800000,37.035,37.09,36.92,36.92,2400
1569854700000,36.92,37.08,36.89,37.03,2600
1569855600000,37.04,37.07,36.97,37.07,3000
1569856500000,37.03,37.08,36.98,36.98,2707
1569857400000,37.025,37.04,36.96,37.03,2400
1569858300000,36.99,37.0,36.9,36.91,2200
1569859200000,36.92,36.99,36.92,36.97,2700
1569860100000,36.91,37.05,36.91,37.0437,2041
1569861000000,37.05,37.07,37.0078,37.01,6346
1569861900000,37.0,37.02,36.96,37.0,4748
1569862800000,37.0,37.03,36.99,37.03,2264
1569863700000,37.02,37.05,37.0,37.05,2166
1569864600000,37.01,37.03,37.01,37.025,1107
1569865500000,37.04,37.13,37.01,37.07,4447
1569866400000,37.05,37.07,37.03,37.07,1500
1569867300000,37.07,37.07,37.005,37.005,700
1569868200000,37.0,37.05,37.0,37.03,2200
1569869100000,37.04,37.07,37.02,37.06,1900
1569870000000,37.1,37.15,37.07,37.12,3162
1569870900000,37.11,37.15,37.04,37.07,3217
1569871800000,37.065,37.08,37.01,37.01,4991
1569872700000,37.01,37.07,36.87,36.87,36599
1569936600000,37.03,37.26,36.67,37.0,22021
1569937500000,37.07,37.1494,36.98,37.055,4180
1569938400000,36.98,36.98,36.511,36.59,3072
1569939300000,36.5,36.52,36.395,36.44,3186
1569940200000,36.45,36.55,36.45,36.49,1300
1569941100000,36.51,36.53,36.445,36.53,5000
1569942000000,36.555,36.72,36.535,36.675,12755
1569942900000,36.615,36.71,36.615,36.71,1800
1569943800000,36.725,36.76,36.64,36.68,5517
1569944700000,36.69,36.69,36.58,36.635,3690
1569945600000,36.63,36.715,36.605,36.605,18522
1569946500000,36.61,36.65,36.52,36.52,4280
1569947400000,36.54,36.585,36.54,36.57,1200
1569948300000,36.54,36.54,36.45,36.45,1500
1569949200000,36.415,36.42,36.3,36.3,4820
1569950100000,36.28,36.32,36.21,36.26,4600
1569951000000,36.28,36.29,36.1,36.15,4600
1569951900000,36.15,36.15,36.02,36.02,3420
1569952800000,35.97,36.02,35.85,35.93,2495
1569953700000,35.93,35.935,35.82,35.85,2275
1569954600000,35.94,35.99,35.9,35.97,2600
1569955500000,36.0,36.065,35.91,35.93,2000
1569956400000,35.86,36.01,35.86,35.93,4784
1569957300000,35.9,36.0,35.9,35.96,4126
1569958200000,35.985,36.0,35.86,35.98,5800
1569959100000,35.98,36.19,35.9,36.03,56993
1570023000000,35.79,35.79,35.485,35.58,5861
1570023900000,35.61,35.61,35.37,35.47,8807
1570024800000,35.5,35.74,35.46,35.73,6404
1570025700000,35.74,35.82,35.73,35.73,2000
1570026600000,35.66,35.67,35.53,35.63,4600
1570027500000,35.63,35.71,35.59,35.64,3138
1570028400000,35.67,35.75,35.63,35.68,3400
1570029300000,35.67,35.73,35.65,35.66,3630
1570030200000,35.675,35.675,35.48,35.48,2900
1570031100000,35.53,35.535,35.48,35.495,9588
1570032000000,35.49,35.51,35.42,35.42,6314
1570032900000,35.44,35.44,35.34,35.43,2400
1570033800000,35.41,35.41,35.29,35.2904,4301
1570034700000,35.33,35.42,35.3,35.42,2461
1570035600000,35.4,35.54,35.39,35.48,3300
1570036500000,35.48,35.56,35.48,35.56,1975
1570037400000,35.48,35.49,35.47,35.48,1500
1570038300000,35.45,35.47,35.43,35.43,2700
1570039200000,35.41,35.445,35.36,35.37,2813
1570040100000,35.4,35.55,35.4,35.55,2600
1570041000000,35.53,35.58,35.5,35.57,2600
1570041900000,35.58,35.66,35.58,35.6,3316
1570042800000,35.63,35.67,35.55,35.66,4000
1570043700000,35.64,35.7,35.6,35.68,4505
1570044600000,35.67,35.72,35.63,35.64,8240
1570045500000,35.64,35.7,35.58,35.67,38709
1570109400000,35.65,35.65,35.545,35.56,2666
1570110300000,35.69,35.86,35.61,35.71,4841
