datetime,open,high,low,close,volume
1591968600000,10.0,10.35,9.76,9.85,155405
1591969500000,9.85,9.86,9.6,9.65,165022
1591970400000,9.6683,9.86,9.6683,9.71,83074
1591971300000,9.71,9.745,9.59,9.59,76168
1591972200000,9.58,9.62,9.455,9.5,109552
1591973100000,9.4901,9.55,9.36,9.39,90006
1591974000000,9.38,9.5,9.35,9.37,96297
1591974900000,9.38,9.46,9.32,9.42,101567
1591975800000,9.43,9.55,9.41,9.485,76892
1591976700000,9.49,9.61,9.485,9.61,39195
1591977600000,9.61,9.68,9.59,9.62,42905
1591978500000,9.62,9.63,9.51,9.55,41866
1591979400000,9.54,9.56,9.47,9.54,74676
1591980300000,9.53,9.6,9.48,9.57,36736
1591981200000,9.57,9.57,9.475,9.48,26913
1591982100000,9.48,9.49,9.42,9.44,30398
1591983000000,9.435,9.45,9.365,9.38,53333
1591983900000,9.38,9.39,9.29,9.31,96213
1591984800000,9.31,9.46,9.31,9.405,93944
1591985700000,9.41,9.44,9.38,9.42,44260
1591986600000,9.43,9.495,9.4,9.445,57387
1591987500000,9.45,9.5125,9.45,9.5,63365
1591988400000,9.5,9.63,9.5,9.615,49180
1591989300000,9.62,9.62,9.49,9.535,65802
1591990200000,9.535,9.59,9.52,9.56,103549
1591991100000,9.57,9.7,9.56,9.665,234831
