datetime,open,high,low,close,volume
1569504600000,11.11,11.17,11.075,11.08,15086
1569505500000,11.09,11.15,10.99,10.99,20481
1569506400000,11.02,11.07,10.92,11.015,5400
1569507300000,11.0,11.0,10.93,10.935,1900
1569508200000,10.93,10.96,10.91,10.93,15157
1569509100000,10.94,10.96,10.89,10.9,5221
1569510000000,10.9,10.92,10.85,10.855,5610
1569510900000,10.85,10.87,10.815,10.86,8476
1569511800000,10.86,10.89,10.85,10.88,6961
1569512700000,10.87,10.8753,10.84,10.855,13446
1569513600000,10.85,10.91,10.845,10.91,4674
1569514500000,10.9,10.915,10.89,10.915,3334
1569515400000,10.915,10.945,10.915,10.92,3479
1569516300000,10.91,10.91,10.89,10.9,1900
1569517200000,10.9,10.9,10.87,10.87,1800
1569518100000,10.86,10.86,10.85,10.86,3600
1569519000000,10.855,10.86,10.85,10.86,5649
1569519900000,10.865,10.865,10.85,10.86,2212
1569520800000,10.86,10.91,10.86,10.91,2900
1569521700000,10.9,10.95,10.88,10.89,16053
1569522600000,10.87,10.88,10.855,10.855,5610
1569523500000,10.85,10.86,10.84,10.85,39480
1569524400000,10.85,10.86,10.85,10.86,4500
1569525300000,10.85,10.905,10.85,10.905,15245
1569526200000,10.9,10.92,10.89,10.91,10978
1569527100000,10.905,10.92,10.89,10.91,61316
1569591000000,10.93,11.1,10.93,11.04,13256
1569591900000,11.02,11.075,11.02,11.04,15199
1569592800000,11.04,11.08,11.01,11.05,6862
1569593700000,11.03,11.11,11.03,11.11,3925
1569594600000,11.115,11.13,11.09,11.09,8376
1569595500000,11.09,11.11,11.03,11.03,12628
1569596400000,11.025,11.03,10.99,11.005,75910
1569597300000,11.005,11.09,11.0,11.07,28447
1569598200000,11.07,11.08,10.97,11.03,63432
1569599100000,11.03,11.03,10.97,10.975,10083
1569600000000,10.975,10.99,10.96,10.99,6836
1569600900000,11.0,11.015,10.9802,10.985,16951
1569601800000,10.985,10.99,10.97,10.98,10684
1569602700000,10.985,10.985,10.955,10.955,12553
1569603600000,10.955,10.995,10.93,10.995,8620
1569604500000,10.995,11.01,10.99,10.99,6562
1569605400000,10.99,10.995,10.905,10.905,7376
1569606300000,10.89,10.925,10.88,10.92,6502
1569607200000,10.92,10.92,10.91,10.91,1000
1569608100000,10.92,10.955,10.9,10.92,10113
1569609000000,10.92,10.92,10.86,10.87,22093
1569609900000,10.88,10.88,10.83,10.84,10864
1569610800000,10.845,10.88,10.82,10.825,18473
1569611700000,10.83,10.85,10.815,10.815,11693
1569612600000,10.815,10.84,10.81,10.815,11754
1569613500000,10.81,10.83,10.8,10.82,33614
1569850200000,10.83,10.84,10.65,10.67,26529
1569851100000,10.6755,10.69,10.66,10.69,11379
1569852000000,10.68,10.71,10.66,10.71,7311
1569852900000,10.7138,10.72,10.68,10.68,3929
1569853800000,10.66,10.68,10.66,10.67,15949
1569854700000,10.67,10.71,10.67,10.68,4833
1569855600000,10.66,10.69,10.66,10.68,12199
1569856500000,10.68,10.68,10.66,10.68,7343
1569857400000,10.67,10.6811,10.66,10.68,5327
1569858300000,10.67,10.68,10.66,10.68,8364
1569859200000,10.68,10.69,10.66,10.66,8787
1569860100000,10.6653,10.7,10.6653,10.685,6895
1569861000000,10.685,10.695,10.68,10.685,3148
1569861900000,10.68,10.72,10.67,10.68,17328
1569862800000,10.675,10.7,10.66,10.69,5001
1569863700000,10.695,10.7,10.67,10.69,6918
1569864600000,10.69,10.69,10.68,10.68,2568
1569865500000,10.69,10.73,10.69,10.7001,5094
1569866400000,10.705,10.73,10.7,10.72,4215
1569867300000,10.73,10.73,10.69,10.69,4832
1569868200000,10.6956,10.75,10.6956,10.75,4619
1569869100000,10.745,10.75,10.72,10.73,5618
1569870000000,10.725,10.725,10.69,10.71,9882
1569870900000,10.715,10.715,10.68,10.68,8439
1569871800000,10.685,10.705,10.665,10.67,25625
1569872700000,10.665,10.68,10.62,10.62,68403
1569936600000,10.63,10.76,10.63,10.735,26574
1569937500000,10.75,10.77,10.7,10.725,16929
1569938400000,10.72,10.75,10.585,10.585,14147
