datetime,open,high,low,close,volume
1569504600000,4.53,4.66,4.45,4.475,976237
1569505500000,4.475,4.48,4.41,4.43,1341625
1569506400000,4.43,4.48,4.395,4.42,1670045
1569507300000,4.42,4.43,4.39,4.42,348649
1569508200000,4.415,4.42,4.355,4.36,491876
1569509100000,4.36,4.375,4.335,4.35,254871
1569510000000,4.35,4.35,4.31,4.31,376930
1569510900000,4.315,4.365,4.3101,4.365,379293
1569511800000,4.36,4.425,4.36,4.41,356581
1569512700000,4.41,4.41,4.36,4.37,276980
1569513600000,4.37,4.39,4.355,4.375,223256
1569514500000,4.38,4.39,4.35,4.38,161986
1569515400000,4.375,4.41,4.37,4.395,169510
1569516300000,4.4,4.41,4.36,4.37,183704
1569517200000,4.36,4.38,4.33,4.34,302142
1569518100000,4.335,4.34,4.32,4.33,335067
1569519000000,4.33,4.36,4.31,4.36,545693
1569519900000,4.36,4.4,4.35,4.4,214652
1569520800000,4.395,4.45,4.38,4.445,523666
1569521700000,4.445,4.485,4.445,4.455,553427
1569522600000,4.45,4.47,4.44,4.465,309205
1569523500000,4.47,4.53,4.465,4.515,1080682
1569524400000,4.515,4.545,4.49,4.54,901849
1569525300000,4.54,4.56,4.52,4.555,834354
1569526200000,4.5575,4.58,4.52,4.54,994612
1569527100000,4.535,4.565,4.53,4.55,1584759
1569591000000,4.45,4.52,4.41,4.495,711434
1569591900000,4.495,4.56,4.495,4.51,736599
1569592800000,4.505,4.53,4.465,4.505,314543
1569593700000,4.51,4.555,4.5,4.54,248457
1569594600000,4.535,4.58,4.53,4.55,363879
1569595500000,4.55,4.56,4.52,4.525,339655
1569596400000,4.52,4.58,4.52,4.545,357873
1569597300000,4.55,4.56,4.5,4.525,579393
1569598200000,4.52,4.54,4.45,4.46,391579
1569599100000,4.455,4.48,4.44,4.45,332494
1569600000000,4.45,4.48,4.44,4.47,270188
1569600900000,4.47,4.47,4.435,4.445,183491
1569601800000,4.45,4.46,4.43,4.445,637735
1569602700000,4.445,4.445,4.39,4.395,373858
1569603600000,4.395,4.43,4.39,4.42,276983
1569604500000,4.415,4.425,4.4,4.415,225980
1569605400000,4.41,4.42,4.38,4.38,255826
1569606300000,4.38,4.41,4.37,4.405,166877
1569607200000,4.405,4.42,4.4,4.41,205722
1569608100000,4.41,4.43,4.4,4.41,175810
1569609000000,4.41,4.41,4.39,4.4,178777
1569609900000,4.405,4.405,4.37,4.375,204643
1569610800000,4.375,4.4,4.35,4.39,676743
1569611700000,4.395,4.45,4.385,4.445,959350
1569612600000,4.445,4.47,4.44,4.455,696545
1569613500000,4.455,4.46,4.42,4.46,1219836
1569850200000,4.41,4.415,4.27,4.29,472626
1569851100000,4.28,4.32,4.26,4.3167,394022
1569852000000,4.32,4.345,4.28,4.34,274833
1569852900000,4.34,4.36,4.325,4.33,249622
1569853800000,4.34,4.37,4.33,4.34,173659
1569854700000,4.34,4.37,4.34,4.36,239967
1569855600000,4.36,4.365,4.33,4.34,292029
1569856500000,4.34,4.35,4.27,4.28,396475
