datetime,open,high,low,close,volume
1591968600000,1.82,1.82,1.74,1.8185,186132
1591969500000,1.81,1.81,1.76,1.798,247990
1591970400000,1.7985,1.825,1.7985,1.815,64989
1591971300000,1.82,1.82,1.78,1.7815,76208
1591972200000,1.78,1.78,1.74,1.7631,68560
1591973100000,1.76,1.77,1.71,1.7145,72013
1591974000000,1.72,1.74,1.7001,1.7285,41761
1591974900000,1.7291,1.7291,1.7,1.725,44454
1591975800000,1.73,1.75,1.72,1.735,71678
1591976700000,1.74,1.77,1.73,1.76,174580
1591977600000,1.76,1.77,1.735,1.75,313780
1591978500000,1.755,1.76,1.735,1.745,160697
1591979400000,1.74,1.75,1.74,1.75,36182
1591980300000,1.74,1.76,1.738,1.75,63842
1591981200000,1.75,1.75,1.73,1.74,25206
1591982100000,1.745,1.745,1.73,1.735,19375
1591983000000,1.73,1.74,1.71,1.72,32721
1591983900000,1.72,1.7211,1.69,1.7015,61749
1591984800000,1.705,1.72,1.705,1.72,42506
1591985700000,1.715,1.7185,1.705,1.715,29630
1591986600000,1.72,1.73,1.7101,1.7101,23316
1591987500000,1.7154,1.73,1.715,1.73,31550
1591988400000,1.73,1.7485,1.73,1.735,156939
1591989300000,1.74,1.74,1.72,1.725,72458
1591990200000,1.73,1.74,1.72,1.73,100356
1591991100000,1.73,1.74,1.72,1.735,162136
