datetime,open,high,low,close,volume
1591968600000,4.35,4.38,4.28,4.29,136760
1591969500000,4.28,4.329,4.2501,4.3,90435
1591970400000,4.32,4.32,4.265,4.28,37839
1591971300000,4.275,4.33,4.27,4.2901,47400
1591972200000,4.295,4.3293,4.27,4.3293,50350
1591973100000,4.3293,4.35,4.21,4.215,70655
1591974000000,4.22,4.26,4.16,4.2,174475
1591974900000,4.2,4.21,4.1299,4.18,97038
1591975800000,4.178,4.21,4.16,4.1799,51978
1591976700000,4.175,4.21,4.17,4.1899,57443
1591977600000,4.19,4.21,4.15,4.1684,74308
1591978500000,4.165,4.18,4.13,4.14,70496
1591979400000,4.148,4.148,4.11,4.11,59780
1591980300000,4.11,4.13,4.06,4.13,71481
1591981200000,4.12,4.12,4.065,4.0991,53923
1591982100000,4.09,4.1,4.02,4.055,159488
1591983000000,4.053,4.053,4.02,4.02,48545
1591983900000,4.018,4.05,4.0,4.02,145874
1591984800000,4.01,4.08,4.0,4.05,101832
1591985700000,4.045,4.07,4.03,4.055,43561
1591986600000,4.06,4.1,4.03,4.05,92878
1591987500000,4.05,4.1,4.035,4.085,92126
1591988400000,4.09,4.15,4.07,4.11,86612
1591989300000,4.11,4.11,4.05,4.065,56231
1591990200000,4.07,4.105,4.05,4.09,57317
1591991100000,4.1,4.13,4.06,4.11,341918
