datetime,open,high,low,close,volume
1569504600000,5.11,5.24,5.11,5.195,35563
1569505500000,5.22,5.22,5.12,5.12,7041
1569506400000,5.1052,5.14,5.1052,5.11,2493
1569507300000,5.11,5.11,5.09,5.1,6882
1569508200000,5.095,5.1266,5.09,5.095,6990
1569509100000,5.09,5.09,5.05,5.05,6132
1569510000000,5.05,5.1,5.02,5.03,27812
1569510900000,5.03,5.03,5.0,5.03,36659
1569511800000,5.0258,5.045,5.01,5.02,6666
1569512700000,5.02,5.02,5.0,5.0,13235
1569513600000,5.005,5.03,5.005,5.0283,8493
1569514500000,5.02,5.05,5.0117,5.03,9572
1569515400000,5.04,5.1,5.035,5.065,17730
1569516300000,5.07,5.07,5.04,5.045,5180
1569517200000,5.045,5.0566,5.02,5.03,5598
1569518100000,5.035,5.035,5.0,5.0099,33560
1569519000000,5.0001,5.04,5.0,5.0398,17273
1569519900000,5.035,5.04,5.02,5.04,9149
1569520800000,5.03,5.06,5.03,5.0559,3550
1569521700000,5.0566,5.06,5.02,5.035,8123
1569522600000,5.03,5.09,5.03,5.08,11854
1569523500000,5.09,5.09,5.07,5.08,7510
1569524400000,5.09,5.11,5.085,5.11,6933
1569525300000,5.11,5.11,5.0665,5.0665,10722
1569526200000,5.07,5.08,5.06,5.07,8095
1569527100000,5.07,5.08,5.05,5.08,28849
1569591000000,5.06,5.15,5.027,5.04,44880
1569591900000,5.03,5.04,4.97,5.0,15539
1569592800000,4.995,5.0,4.9111,4.9779,61057
1569593700000,4.96,5.05,4.93,5.05,14529
1569594600000,5.0372,5.06,5.01,5.03,9565
1569595500000,5.0383,5.07,5.0383,5.065,2400
1569596400000,5.07,5.09,5.0383,5.04,8129
1569597300000,5.0302,5.06,5.03,5.04,9810
1569598200000,5.04,5.055,4.985,5.01,12254
1569599100000,5.01,5.04,4.99,5.02,6137
1569600000000,5.01,5.03,4.99,5.025,8495
1569600900000,5.02,5.03,5.0,5.02,1750
1569601800000,5.0,5.0,4.96,4.96,5731
1569602700000,4.965,4.97,4.94,4.9483,9423
1569603600000,4.94,4.99,4.9331,4.98,8967
1569604500000,4.98,4.9883,4.9585,4.9665,3214
1569605400000,4.96,4.98,4.93,4.98,6361
1569606300000,4.97,5.0,4.96,5.0,6470
1569607200000,5.0,5.0,4.95,4.97,7872
