datetime,open,high,low,close,volume
1569504600000,10.9,10.9,10.8499,10.85,20579
1569505500000,10.84,10.84,10.82,10.82,8327
1569506400000,10.81,10.82,10.75,10.8199,55275
1569507300000,10.8,10.81,10.74,10.81,31112
1569508200000,10.81,10.84,10.805,10.84,9880
1569509100000,10.84,10.84,10.8,10.8,1095
1569510000000,10.82,10.82,10.79,10.8,7218
1569510900000,10.79,10.8,10.78,10.78,13114
1569511800000,10.79,10.8,10.79,10.7969,5800
1569512700000,10.7945,10.81,10.78,10.78,13395
1569513600000,10.7824,10.8,10.7745,10.79,6950
1569514500000,10.79,10.81,10.79,10.8,4930
1569515400000,10.8,10.84,10.8,10.815,15274
1569516300000,10.8253,10.84,10.8232,10.83,1122
1569517200000,10.83,10.8392,10.815,10.82,11993
1569518100000,10.82,10.84,10.81,10.8201,16500
1569519000000,10.83,10.85,10.82,10.85,8546
1569519900000,10.85,10.85,10.8499,10.85,1100
1569520800000,10.83,10.86,10.83,10.85,16330
1569521700000,10.8661,10.87,10.8661,10.87,1200
1569522600000,10.8699,10.8699,10.8699,10.8699,300
1569523500000,10.87,10.87,10.8542,10.86,3731
1569524400000,10.868,10.8696,10.8587,10.86,5800
1569525300000,10.86,10.87,10.8516,10.86,1685
1569526200000,10.86,10.86,10.84,10.84,7073
1569527100000,10.845,10.87,10.82,10.82,14564
1569591000000,10.86,10.88,10.8463,10.8463,8715
1569591900000,10.85,10.85,10.8499,10.85,11599
1569592800000,10.8548,10.86,10.85,10.855,4800
1569593700000,10.8501,10.8501,10.83,10.8434,31617
1569594600000,10.8401,10.85,10.84,10.84,10978
1569595500000,10.8465,10.85,10.82,10.82,10862
1569596400000,10.835,10.85,10.82,10.8301,11078
1569597300000,10.82,10.84,10.82,10.83,10948
1569598200000,10.83,10.83,10.78,10.78,17146
1569599100000,10.797,10.83,10.797,10.8066,12713
1569600000000,10.8152,10.83,10.8,10.819,3700
1569600900000,10.8126,10.83,10.8,10.8204,18605
1569601800000,10.8196,10.8199,10.81,10.81,3100
1569602700000,10.815,10.82,10.8,10.801,8515
1569603600000,10.8,10.8099,10.79,10.8049,7843
1569604500000,10.805,10.81,10.7911,10.8,4661
1569605400000,10.81,10.815,10.79,10.815,10658
1569606300000,10.825,10.825,10.795,10.795,10577
1569607200000,10.8,10.82,10.8,10.8,3146
1569608100000,10.7901,10.7901,10.7901,10.7901,338
1569609000000,10.79,10.79,10.79,10.79,151
1569609900000,10.8,10.8,10.78,10.78,1554
1569610800000,10.7763,10.8,10.77,10.77,2571
1569611700000,10.77,10.7832,10.76,10.78,14074
1569612600000,10.7876,10.79,10.7737,10.7799,13300
1569613500000,10.773,10.81,10.77,10.8,17835
1569850200000,10.82,10.82,10.8,10.815,23464
1569851100000,10.8263,10.8613,10.825,10.8399,16650
1569852000000,10.8399,10.85,10.83,10.835,15317
1569852900000,10.85,10.88,10.83,10.88,29905
1569853800000,10.875,10.95,10.875,10.91,68226
1569854700000,10.91,10.95,10.9,10.95,7082
1569855600000,10.94,10.99,10.93,10.94,11222
1569856500000,10.9501,11.0,10.95,11.0,15171
1569857400000,11.005,11.02,11.005,11.01,7275
1569858300000,11.0089,11.01,11.0,11.008,4636
1569859200000,11.0058,11.01,10.9873,10.9963,6422
1569860100000,10.9848,10.9911,10.97,10.9887,13204
1569861000000,10.98,10.9886,10.96,10.9601,11080
1569861900000,10.9669,11.0,10.9669,11.0,8448
1569862800000,10.97,11.0,10.97,10.97,2196
1569863700000,10.98,10.985,10.9781,10.985,1399
1569864600000,10.9897,10.9987,10.9897,10.9987,3700
1569865500000,11.0,11.0,10.97,10.97,4750
1569866400000,10.985,11.0,10.985,11.0,1100
1569867300000,10.97,11.0,10.97,10.9998,3245
1569868200000,10.9749,10.9819,10.97,10.9765,12125
1569869100000,10.972,11.0,10.97,10.985,19998
1569870000000,10.9851,11.0,10.9799,10.9802,13435
1569870900000,10.9832,11.0,10.95,10.97,21091
1569871800000,10.9633,10.98,10.96,10.98,11834
1569872700000,10.97,10.98,10.96,10.96,5762
