datetime,open,high,low,close,volume
1569504600000,52.15,52.19,51.7,51.7,2566
1569505500000,51.71,51.82,51.31,51.31,1600
1569506400000,51.39,51.6034,51.11,51.25,5310
1569507300000,51.245,51.29,51.12,51.29,2000
1569508200000,51.31,51.555,51.28,51.48,3800
1569509100000,51.57,51.58,51.29,51.4,1900
1569510000000,51.3,51.3,51.04,51.175,1400
1569510900000,51.1,51.2,51.02,51.12,6060
1569511800000,51.245,51.45,51.245,51.4,899
1569512700000,51.38,51.58,51.38,51.58,2435
1569513600000,51.52,51.78,51.5,51.71,1787
1569514500000,51.68,51.7,51.62,51.67,1700
1569515400000,51.75,51.79,51.68,51.68,900
1569516300000,51.65,51.65,51.43,51.56,1821
1569517200000,51.56,51.56,51.46,51.46,700
1569518100000,51.45,51.45,51.38,51.38,1300
1569519000000,51.42,51.65,51.42,51.57,2126
1569519900000,51.54,51.54,51.485,51.53,1300
1569520800000,51.495,51.58,51.48,51.56,1300
1569521700000,51.6,51.72,51.6,51.69,2500
1569522600000,51.775,51.86,51.75,51.86,400
1569523500000,51.805,51.865,51.785,51.785,1570
1569524400000,51.84,51.88,51.74,51.8,2376
1569525300000,51.77,51.9,51.75,51.85,2811
1569526200000,51.88,52.03,51.88,51.91,4649
1569527100000,51.89,52.02,51.77,51.8,17061
1569591000000,52.3,52.765,52.19,52.59,2551
1569591900000,52.655,52.755,52.56,52.56,1105
1569592800000,52.56,52.56,52.055,52.315,3401
1569593700000,52.205,52.21,51.94,51.95,1901
1569594600000,51.94,52.13,51.83,51.83,2823
1569595500000,51.895,52.07,51.82,52.065,2546
1569596400000,52.01,52.27,52.01,52.06,6013
1569597300000,51.98,52.15,51.905,52.15,4039
1569598200000,52.125,52.2,51.22,51.445,6453
1569599100000,51.52,51.93,51.46,51.7,3400
1569600000000,51.67,51.85,51.54,51.755,1788
1569600900000,51.85,51.85,51.55,51.79,1900
1569601800000,51.71,51.995,51.65,51.91,2200
1569602700000,51.9,51.9,51.53,51.53,1600
1569603600000,51.49,51.71,51.49,51.65,2300
1569604500000,51.6,51.75,51.57,51.72,2566
1569605400000,51.79,51.82,51.57,51.68,5790
