datetime,open,high,low,close,volume
1569504600000,25.36,25.41,25.24,25.33,6421
1569505500000,25.33,25.42,25.33,25.33,3762
1569506400000,25.38,25.445,25.315,25.38,3085
1569507300000,25.35,25.41,25.26,25.36,3608
1569508200000,25.375,25.41,25.35,25.37,2358
1569509100000,25.335,25.38,25.335,25.35,1854
1569510000000,25.33,25.42,25.33,25.4,6166
1569510900000,25.45,25.45,25.38,25.41,2576
1569511800000,25.41,25.48,25.39,25.465,1400
1569512700000,25.43,25.48,25.415,25.42,4332
1569513600000,25.38,25.42,25.35,25.37,2421
1569514500000,25.385,25.4,25.37,25.4,1211
1569515400000,25.405,25.42,25.4,25.41,1459
1569516300000,25.37,25.37,25.325,25.35,2900
1569517200000,25.34,25.37,25.32,25.37,5731
1569518100000,25.3753,25.3753,25.34,25.37,2275
1569519000000,25.38,25.44,25.38,25.44,694
1569519900000,25.47,25.51,25.46,25.49,3055
1569520800000,25.5,25.53,25.49,25.53,870
1569521700000,25.51,25.525,25.485,25.525,2338
1569522600000,25.52,25.54,25.5,25.52,1822
1569523500000,25.54,25.56,25.52,25.53,2256
1569524400000,25.51,25.54,25.505,25.54,4581
1569525300000,25.54,25.6,25.53,25.565,2756
1569526200000,25.55,25.58,25.515,25.53,3400
1569527100000,25.545,25.5699,25.5,25.54,22457
1569591000000,26.22,26.36,25.97,26.31,22128
1569591900000,26.2,26.3,26.07,26.085,1501
1569592800000,26.05,26.11,25.87,25.87,3703
1569593700000,25.9,25.91,25.86,25.9,1100
1569594600000,25.91,26.07,25.91,26.01,2000
1569595500000,25.98,26.02,25.97,25.9806,1800
1569596400000,26.0,26.0,25.87,25.87,3482
1569597300000,25.89,25.97,25.87,25.97,2050
1569598200000,26.0,26.01,25.81,25.9,2991
1569599100000,25.86,25.87,25.81,25.84,6136
1569600000000,25.75,25.8,25.745,25.79,1900
1569600900000,25.79,25.79,25.72,25.74,715
1569601800000,25.74,25.79,25.73,25.79,1000
1569602700000,25.785,25.785,25.67,25.67,2001
1569603600000,25.66,25.73,25.65,25.73,1445
1569604500000,25.715,25.745,25.69,25.745,2466
1569605400000,25.75,25.78,25.74,25.75,984
1569606300000,25.74,25.835,25.715,25.835,1575
1569607200000,25.83,25.86,25.82,25.85,1803
1569608100000,25.84,25.85,25.745,25.745,2353
1569609000000,25.73,25.75,25.71,25.74,1600
1569609900000,25.73,25.75,25.64,25.64,3569
1569610800000,25.65,25.7,25.65,25.7,2017
1569611700000,25.72,25.81,25.72,25.77,4701
1569612600000,25.76,25.775,25.7,25.72,4902
1569613500000,25.725,25.76,25.7,25.74,25283
1569850200000,25.75,25.951,25.74,25.951,1557
1569851100000,26.1,26.1,25.89,25.97,2200
1569852000000,25.955,25.955,25.78,25.78,2473
1569852900000,25.8,25.8,25.795,25.795,200
1569853800000,25.79,25.81,25.76,25.77,2773
1569854700000,25.74,25.795,25.738,25.79,2700
1569855600000,25.8,25.88,25.8,25.83,3093
1569856500000,25.8225,25.93,25.79,25.93,9077
1569857400000,25.95,26.02,25.95,26.02,3209
1569858300000,26.04,26.04,25.94,25.95,4394
1569859200000,25.95,25.99,25.95,25.95,1810
1569860100000,25.96,26.09,25.96,26.09,5158
1569861000000,26.11,26.12,26.0521,26.115,4080
1569861900000,26.12,26.19,26.11,26.16,4249
1569862800000,26.2,26.22,26.18,26.22,4867
1569863700000,26.19,26.22,26.19,26.22,5323
1569864600000,26.24,26.27,26.24,26.27,1957
1569865500000,26.27,26.32,26.27,26.32,2856
1569866400000,26.32,26.33,26.26,26.3001,2700
1569867300000,26.31,26.31,26.29,26.3,4782
1569868200000,26.32,26.345,26.31,26.345,2650
1569869100000,26.34,26.35,26.24,26.28,5223
1569870000000,26.27,26.29,26.26,26.27,2833
1569870900000,26.26,26.275,26.225,26.245,6079
1569871800000,26.24,26.28,26.235,26.27,8715
1569872700000,26.27,26.27,26.11,26.12,32924
1569936600000,26.16,26.34,26.16,26.33,3017
1569937500000,26.46,26.505,26.26,26.41,3150
1569938400000,26.36,26.38,26.03,26.09,6036
1569939300000,26.03,26.13,25.98,26.04,2768
1569940200000,25.98,26.02,25.97,26.01,5845
1569941100000,26.04,26.12,26.04,26.11,5957
1569942000000,26.07,26.21,26.07,26.21,1200
1569942900000,26.18,26.275,26.155,26.27,1554
1569943800000,26.33,26.33,26.13,26.13,2012
1569944700000,26.1,26.115,26.055,26.09,3343
1569945600000,26.09,26.09,25.95,26.03,8859
1569946500000,26.01,26.1,26.01,26.05,5278
1569947400000,26.05,26.12,26.05,26.06,4272
1569948300000,26.07,26.08,25.99,26.02,5769
1569949200000,25.99,26.035,25.99,26.015,10518
1569950100000,26.015,26.06,25.99,25.99,9414
1569951000000,25.965,25.98,25.87,25.905,6761
1569951900000,25.86,25.88,25.77,25.775,1588
1569952800000,25.775,25.79,25.735,25.76,3946
1569953700000,25.775,25.775,25.7,25.7,500
1569954600000,25.72,25.94,25.72,25.89,5467
1569955500000,25.865,25.9,25.79,25.825,6422
1569956400000,25.83,25.895,25.8029,25.8175,7004
1569957300000,25.81,25.86,25.805,25.82,8839
1569958200000,25.8,25.81,25.64,25.73,12146
1569959100000,25.73,25.81,25.67,25.81,34224
1570023000000,25.64,25.64,25.0,25.09,5652
1570023900000,25.09,25.165,25.0516,25.15,5332
1570024800000,25.16,25.47,25.16,25.47,3420
1570025700000,25.505,25.58,25.475,25.475,3985
1570026600000,25.46,25.515,25.365,25.505,2409
1570027500000,25.49,25.58,25.44,25.5,3856
1570028400000,25.52,25.61,25.52,25.56,4487
