datetime,open,high,low,close,volume
1569504600000,23.44,23.5,23.33,23.37,12890
1569505500000,23.3517,23.3517,23.25,23.26,7924
1569506400000,23.26,23.33,23.25,23.3,17470
1569507300000,23.31,23.35,23.2803,23.31,8404
1569508200000,23.32,23.33,23.28,23.28,10045
1569509100000,23.2915,23.2968,23.25,23.28,21526
1569510000000,23.28,23.3,23.17,23.19,12453
1569510900000,23.19,23.24,23.14,23.22,16101
1569511800000,23.22,23.345,23.22,23.33,19561
1569512700000,23.34,23.43,23.32,23.43,18674
1569513600000,23.425,23.49,23.42,23.47,13301
1569514500000,23.47,23.48,23.44,23.45,11533
1569515400000,23.45,23.48,23.395,23.44,10951
1569516300000,23.42,23.51,23.42,23.49,8943
1569517200000,23.49,23.5,23.48,23.48,6009
1569518100000,23.48,23.48,23.44,23.465,8039
1569519000000,23.47,23.52,23.46,23.505,14979
1569519900000,23.51,23.53,23.49,23.515,18874
1569520800000,23.52,23.58,23.51,23.545,8400
1569521700000,23.545,23.57,23.52,23.53,16530
1569522600000,23.52,23.56,23.52,23.54,12061
1569523500000,23.55,23.58,23.54,23.57,11515
1569524400000,23.58,23.59,23.53,23.535,15547
1569525300000,23.535,23.595,23.53,23.555,14077
1569526200000,23.56,23.635,23.54,23.615,20395
1569527100000,23.615,23.65,23.57,23.58,56385
1569591000000,23.46,23.48,23.3,23.3,11686
1569591900000,23.325,23.37,23.26,23.35,4162
1569592800000,23.335,23.39,23.29,23.33,6612
1569593700000,23.33,23.35,23.265,23.31,5811
1569594600000,23.34,23.46,23.34,23.46,3597
1569595500000,23.46,23.59,23.43,23.52,46309
1569596400000,23.52,23.67,23.515,23.57,36311
1569597300000,23.57,23.69,23.56,23.63,17157
1569598200000,23.63,23.66,23.53,23.55,16258
1569599100000,23.53,23.57,23.49,23.535,22281
1569600000000,23.535,23.58,23.5,23.565,23569
1569600900000,23.565,23.565,23.5,23.53,10076
1569601800000,23.53,23.53,23.46,23.5,17878
1569602700000,23.5,23.52,23.46,23.48,8145
1569603600000,23.47,23.56,23.47,23.55,16524
1569604500000,23.55,23.58,23.54,23.57,10287
1569605400000,23.57,23.58,23.525,23.56,8910
1569606300000,23.56,23.61,23.55,23.59,19856
1569607200000,23.59,23.6,23.48,23.52,15997
1569608100000,23.51,23.55,23.5,23.54,15337
1569609000000,23.55,23.56,23.4982,23.5,22348
1569609900000,23.5103,23.52,23.46,23.48,6447
1569610800000,23.48,23.5,23.35,23.365,26402
1569611700000,23.365,23.52,23.365,23.45,48592
1569612600000,23.43,23.55,23.43,23.525,26561
1569613500000,23.52,23.565,23.48,23.52,156826
1569850200000,23.53,23.7,23.5,23.7,8042
1569851100000,23.69,23.73,23.64,23.64,6280
1569852000000,23.64,23.67,23.53,23.53,5949
1569852900000,23.53,23.54,23.45,23.5,10033
1569853800000,23.5,23.53,23.45,23.45,4401
1569854700000,23.45,23.45,23.36,23.41,9834
1569855600000,23.43,23.52,23.42,23.46,20866
1569856500000,23.49,23.49,23.35,23.42,14360
1569857400000,23.46,23.46,23.38,23.43,6338
1569858300000,23.43,23.4408,23.38,23.38,1200
1569859200000,23.41,23.44,23.39,23.42,6101
1569860100000,23.44,23.52,23.44,23.5,7179
1569861000000,23.5,23.52,23.48,23.48,4318
1569861900000,23.49,23.53,23.47,23.51,5458
1569862800000,23.4977,23.52,23.49,23.51,3575
1569863700000,23.51,23.52,23.46,23.49,17455
1569864600000,23.51,23.51,23.48,23.49,7396
1569865500000,23.48,23.49,23.46,23.47,7895
1569866400000,23.469,23.49,23.46,23.48,12764
1569867300000,23.47,23.54,23.47,23.5325,11523
1569868200000,23.53,23.58,23.53,23.58,7770
1569869100000,23.59,23.65,23.59,23.63,17522
1569870000000,23.63,23.66,23.585,23.595,18167
1569870900000,23.59,23.635,23.58,23.59,58874
1569871800000,23.59,23.62,23.58,23.595,34307
1569872700000,23.595,23.6,23.48,23.5,103523
1569936600000,23.42,23.52,23.35,23.35,19941
1569937500000,23.34,23.37,23.26,23.2893,4607
1569938400000,23.26,23.31,23.17,23.175,10149
1569939300000,23.175,23.3,23.15,23.3,17463
1569940200000,23.3,23.3437,23.24,23.24,21219
1569941100000,23.28,23.29,23.22,23.26,6621
1569942000000,23.245,23.26,23.17,23.17,11289
1569942900000,23.1831,23.3,23.1831,23.3,13039
1569943800000,23.28,23.29,23.19,23.21,5167
1569944700000,23.21,23.21,23.16,23.21,3215
1569945600000,23.18,23.18,23.12,23.14,4647
1569946500000,23.12,23.19,23.12,23.19,5230
1569947400000,23.19,23.2,23.16,23.17,3300
1569948300000,23.17,23.21,23.1599,23.17,8943
1569949200000,23.17,23.18,23.06,23.08,19066
1569950100000,23.08,23.09,23.04,23.08,23176
1569951000000,23.08,23.12,23.0,23.0,21410
1569951900000,23.0,23.1,22.98,23.05,12904
1569952800000,23.05,23.1,23.04,23.09,31445
1569953700000,23.09,23.12,22.97,22.97,36761
1569954600000,22.98,23.04,22.98,23.01,7179
1569955500000,23.0,23.04,23.0,23.0,12980
1569956400000,23.0,23.06,22.98,22.995,18861
1569957300000,22.995,23.1,22.99,23.06,20997
1569958200000,23.05,23.05,22.95,22.965,31427
1569959100000,22.97,22.99,22.88,22.95,98009
1570023000000,22.96,23.15,22.9497,23.12,10039
1570023900000,23.11,23.11,23.02,23.04,2900
1570024800000,23.0473,23.05,22.99,23.05,7645
1570025700000,23.07,23.08,22.98,23.005,6307
1570026600000,23.01,23.01,22.95,23.0,6692
1570027500000,23.01,23.01,22.94,23.0,8394
1570028400000,22.9885,23.09,22.9885,23.09,7393
1570029300000,23.11,23.13,23.06,23.1,5983
1570030200000,23.105,23.11,23.07,23.08,8732
1570031100000,23.085,23.15,23.08,23.15,4202
1570032000000,23.14,23.15,23.08,23.08,8336
1570032900000,23.08,23.1,23.03,23.09,6590
1570033800000,23.11,23.11,23.02,23.04,4400
1570034700000,23.02,23.06,23.01,23.06,8857
1570035600000,23.07,23.08,23.03,23.04,14900
1570036500000,23.03,23.03,22.94,22.94,11608
1570037400000,22.96,22.985,22.93,22.9404,14174
