datetime,open,high,low,close,volume
1569504600000,13.71,13.8,13.62,13.76,6371
1569505500000,13.79,13.8087,13.58,13.58,2800
1569506400000,13.67,13.7,13.67,13.68,1897
1569507300000,13.68,13.68,13.505,13.505,928
1569508200000,13.58,13.59,13.5,13.5,6186
1569509100000,13.5,13.54,13.41,13.45,5692
1569510000000,13.46,13.5,13.44,13.45,2303
1569510900000,13.4565,13.49,13.44,13.49,6177
1569511800000,13.48,13.53,13.47,13.47,6611
1569512700000,13.45,13.46,13.4,13.42,4765
1569513600000,13.47,13.505,13.455,13.455,2408
1569514500000,13.44,13.47,13.44,13.47,1474
1569515400000,13.47,13.5,13.44,13.44,3510
1569516300000,13.42,13.44,13.375,13.4,4868
1569517200000,13.45,13.45,13.375,13.375,1920
1569518100000,13.385,13.42,13.35,13.4075,5819
1569519000000,13.4,13.43,13.4,13.43,3424
1569519900000,13.44,13.44,13.33,13.41,7180
1569520800000,13.4,13.41,13.33,13.39,5323
1569521700000,13.44,13.45,13.44,13.45,300
1569522600000,13.41,13.52,13.41,13.49,4316
1569523500000,13.49,13.49,13.44,13.46,7629
1569524400000,13.49,13.52,13.465,13.5,1442
1569525300000,13.5,13.54,13.5,13.5,2849
1569526200000,13.5,13.53,13.37,13.37,5621
1569527100000,13.38,13.41,13.35,13.39,10220
1569591000000,13.42,13.7085,13.39,13.7085,6876
1569591900000,13.7,13.77,13.41,13.525,5496
1569592800000,13.52,13.58,13.52,13.545,2388
1569593700000,13.59,13.59,13.56,13.59,800
1569594600000,13.59,13.65,13.58,13.64,2232
1569595500000,13.65,13.65,13.54,13.54,1900
1569596400000,13.54,13.6,13.465,13.48,5089
1569597300000,13.48,13.535,13.46,13.52,1600
1569598200000,13.52,13.52,13.31,13.41,2596
1569599100000,13.37,13.4788,13.36,13.43,2186
1569600000000,13.395,13.56,13.37,13.56,2400
1569600900000,13.57,13.57,13.35,13.35,2966
1569601800000,13.32,13.39,13.29,13.38,6034
1569602700000,13.32,13.36,13.26,13.285,4900
1569603600000,13.25,13.35,13.25,13.34,1334
1569604500000,13.37,13.39,13.355,13.355,3798
1569605400000,13.35,13.405,13.35,13.39,3122
1569606300000,13.4,13.44,13.38,13.44,7566
1569607200000,13.47,13.47,13.41,13.44,1700
1569608100000,13.46,13.46,13.42,13.44,2311
1569609000000,13.41,13.45,13.41,13.45,1100
1569609900000,13.46,13.4872,13.4,13.41,6400
1569610800000,13.43,13.46,13.4,13.4,3600
1569611700000,13.46,13.495,13.41,13.45,6513
1569612600000,13.44,13.52,13.42,13.44,5271
1569613500000,13.44,13.47,13.4,13.45,8941
1569850200000,13.55,13.55,13.36,13.42,17431
1569851100000,13.45,13.48,13.33,13.3633,3451
1569852000000,13.4126,13.43,13.35,13.39,4175
1569852900000,13.39,13.39,13.34,13.34,1018
1569853800000,13.32,13.33,13.18,13.195,7974
1569854700000,13.19,13.24,13.16,13.24,3084
1569855600000,13.25,13.29,13.215,13.27,3905
1569856500000,13.24,13.24,13.14,13.15,5844
1569857400000,13.13,13.21,13.12,13.205,3770
1569858300000,13.19,13.19,13.13,13.17,4700
1569859200000,13.17,13.27,13.17,13.27,3743
1569860100000,13.28,13.35,13.28,13.33,2699
1569861000000,13.36,13.39,13.325,13.33,11917
1569861900000,13.33,13.45,13.325,13.45,9442
1569862800000,13.44,13.44,13.37,13.39,5234
1569863700000,13.41,13.41,13.33,13.33,3476
1569864600000,13.33,13.37,13.28,13.34,12184
1569865500000,13.34,13.3473,13.28,13.3,4715
1569866400000,13.28,13.35,13.28,13.31,18799
1569867300000,13.33,13.35,13.32,13.335,4920
1569868200000,13.34,13.45,13.33,13.45,8243
1569869100000,13.45,13.48,13.45,13.48,4270
1569870000000,13.48,13.515,13.47,13.515,4283
1569870900000,13.52,13.52,13.42,13.42,4521
1569871800000,13.42,13.42,13.35,13.38,8074
1569872700000,13.38,13.385,13.22,13.28,40308
1569936600000,13.36,13.5,13.36,13.44,19471
1569937500000,13.52,13.74,13.52,13.61,5897
1569938400000,13.6,13.64,13.52,13.52,10423
1569939300000,13.55,13.57,13.53,13.55,3508
1569940200000,13.53,13.575,13.48,13.48,5359
1569941100000,13.507,13.56,13.47,13.51,3450
1569942000000,13.485,13.51,13.29,13.3,16219
1569942900000,13.34,13.4967,13.34,13.3501,7184
1569943800000,13.3858,13.4675,13.35,13.365,4660
1569944700000,13.415,13.415,13.27,13.3,5363
1569945600000,13.3,13.305,13.22,13.22,5996
1569946500000,13.205,13.29,13.1,13.26,10026
1569947400000,13.28,13.3,13.27,13.3,6457
1569948300000,13.29,13.29,13.25,13.25,4676
1569949200000,13.21,13.23,13.16,13.16,3308
1569950100000,13.16,13.16,13.06,13.1,8688
1569951000000,13.1,13.1,13.04,13.04,3609
1569951900000,13.02,13.02,12.94,12.94,3189
1569952800000,12.94,13.0,12.94,13.0,5142
1569953700000,12.98,13.05,12.98,13.03,4390
1569954600000,13.05,13.11,13.05,13.1015,7542
1569955500000,13.1,13.1099,13.04,13.05,6004
1569956400000,13.05,13.05,12.96,13.02,7305
1569957300000,13.02,13.1897,13.02,13.17,20970
1569958200000,13.17,13.17,13.0,13.08,10610
1569959100000,13.08,13.12,13.02,13.06,16817
1570023000000,13.01,13.01,12.68,12.825,18842
1570023900000,12.93,12.99,12.83,12.885,2800
1570024800000,12.88,13.1053,12.82,13.07,3352
1570025700000,13.095,13.24,13.095,13.18,5818
1570026600000,13.18,13.18,12.99,13.14,6338
1570027500000,13.1165,13.16,13.1,13.16,2753
1570028400000,13.19,13.21,13.05,13.1,7257
1570029300000,13.14,13.2,13.105,13.11,4995
1570030200000,13.15,13.1508,13.09,13.1025,6941
1570031100000,13.11,13.16,13.1,13.1125,3370
1570032000000,13.11,13.14,13.09,13.11,3849
1570032900000,13.11,13.21,13.1,13.21,1903
1570033800000,13.235,13.26,13.18,13.2,4721
1570034700000,13.22,13.23,13.13,13.13,5283
1570035600000,13.18,13.23,13.18,13.23,6518
1570036500000,13.26,13.28,13.2,13.263,1712
1570037400000,13.26,13.29,13.26,13.28,5427
1570038300000,13.275,13.29,13.26,13.27,1246
1570039200000,13.26,13.29,13.21,13.23,5237
1570040100000,13.28,13.32,13.23,13.255,4466
1570041000000,13.2383,13.245,13.14,13.16,9544
1570041900000,13.14,13.25,13.14,13.24,7343
1570042800000,13.23,13.26,13.2,13.26,3952
1570043700000,13.26,13.32,13.18,13.2937,10416
1570044600000,13.26,13.28,13.23,13.24,5436
1570045500000,13.24,13.25,13.19,13.21,18354
1570109400000,13.08,13.35,13.08,13.22,15662
1570110300000,13.32,13.35,13.32,13.34,2800
1570111200000,13.36,13.36,13.12,13.12,2908
1570112100000,13.17,13.21,13.13,13.21,4400
1570113000000,13.24,13.24,13.11,13.11,5129
1570113900000,13.1,13.1,12.92,13.05,3793
1570114800000,13.07,13.21,13.05,13.06,4847
1570115700000,13.08,13.08,13.03,13.03,1122
1570116600000,13.0,13.0,12.87,12.87,2143
1570117500000,12.91,12.95,12.91,12.93,4997
1570118400000,12.95,13.08,12.94,13.08,2366
1570119300000,13.075,13.075,12.93,12.975,5634
1570120200000,12.98,13.01,12.95,12.95,2779
1570121100000,12.98,12.98,12.945,12.97,7163
1570122000000,12.98,12.98,12.95,12.95,4579
1570122900000,12.97,12.98,12.97,12.98,1317
1570123800000,12.96,12.96,12.9,12.93,6328
1570124700000,12.96,12.96,12.86,12.9,3335
1570125600000,12.86,12.86,12.79,12.82,4200
1570126500000,12.85,12.89,12.82,12.89,3593
1570127400000,12.91,12.93,12.82,12.83,5288
1570128300000,12.83,12.85,12.83,12.8478,2940
1570129200000,12.86,12.92,12.86,12.92,3870
1570130100000,12.925,12.935,12.86,12.86,5279
1570131000000,12.85,12.87,12.77,12.79,6039
1570131900000,12.82,12.86,12.72,12.86,16082
1570195800000,12.88,13.09,12.8714,12.99,6585
1570196700000,12.99,13.04,12.9,13.0,6956
1570197600000,13.01,13.01,12.86,12.9,2780
1570198500000,12.945,13.0123,12.89,12.89,6346
1570199400000,12.86,12.87,12.82,12.82,1659
1570200300000,12.8,12.96,12.8,12.93,4263
1570201200000,12.91,12.91,12.78,12.87,6983
1570202100000,12.8972,12.92,12.89,12.92,3325
1570203000000,12.94,12.985,12.93,12.93,4689
1570203900000,12.93,12.98,12.93,12.97,4026
1570204800000,12.995,13.065,12.995,13.02,5184
1570205700000,13.06,13.06,13.045,13.05,500
1570206600000,13.065,13.08,13.01,13.01,4328
1570207500000,13.04,13.08,13.04,13.055,4108
1570208400000,13.05,13.08,13.02,13.055,3963
1570209300000,13.05,13.07,13.02,13.035,3446
1570210200000,13.02,13.07,13.02,13.06,1705
1570211100000,13.06,13.07,13.05,13.05,3926
1570212000000,13.07,13.145,13.07,13.1,5415
1570212900000,13.13,13.17,13.13,13.13,2000
1570213800000,13.13,13.14,13.09,13.12,3395
1570214700000,13.15,13.15,13.12,13.12,2926
1570215600000,13.13,13.17,13.12,13.16,6919
1570216500000,13.16,13.22,13.15,13.15,6583
1570217400000,13.13,13.15,13.1,13.13,1803
1570218300000,13.1,13.18,13.0937,13.16,9924
1570455000000,13.12,13.245,13.05,13.06,6454
1570455900000,13.08,13.3011,13.08,13.25,4820
1570456800000,13.08,13.25,13.08,13.17,3569
1570457700000,13.195,13.195,13.06,13.07,23536
1570458600000,13.0964,13.11,13.01,13.025,10504
1570459500000,13.02,13.19,13.02,13.19,8594
1570460400000,13.155,13.23,13.13,13.15,10404
1570461300000,13.15,13.15,13.12,13.13,2995
1570462200000,13.15,13.18,13.07,13.13,15464
1570463100000,13.135,13.135,12.98,13.01,4309
1570464000000,13.01,13.06,13.0,13.0,4050
1570464900000,12.98,13.04,12.94,13.04,7542
1570465800000,13.05,13.06,13.01,13.035,1900
1570466700000,13.03,13.08,12.97,13.05,3077
1570467600000,13.1,13.1,13.02,13.02,4906
1570468500000,13.02,13.08,13.01,13.08,2944
1570469400000,13.12,13.13,13.09,13.09,8059
1570470300000,13.1,13.115,13.09,13.105,3417
1570471200000,13.13,13.13,13.01,13.01,4795
1570472100000,13.05,13.135,13.05,13.12,5727
1570473000000,13.1,13.1,13.07,13.075,3878
1570473900000,13.09,13.1,13.08,13.1,2083
1570474800000,13.13,13.13,13.08,13.08,2900
1570475700000,13.08,13.11,13.08,13.11,3787
1570476600000,13.09,13.13,13.09,13.11,5964
1570477500000,13.12,13.12,13.03,13.05,5559
1570541400000,12.89,12.89,12.84,12.84,2386
1570542300000,12.87,12.87,12.75,12.77,3500
1570543200000,12.78,12.8,12.73,12.8,4147
1570544100000,12.81,12.86,12.81,12.86,1411
1570545000000,12.9,12.94,12.8,12.88,7666
1570545900000,12.89,13.05,12.89,12.97,6778
1570546800000,12.98,13.05,12.94,13.01,4460
1570547700000,13.04,13.04,12.96,13.02,4290
1570548600000,13.02,13.07,12.97,13.07,5657
