datetime,open,high,low,close,volume
1569504600000,8.95,9.18,8.95,9.03,87160
1569505500000,9.0852,9.43,9.0852,9.33,82199
1569506400000,9.35,9.38,9.21,9.31,58631
1569507300000,9.33,9.39,9.2,9.2311,36328
1569508200000,9.23,9.33,9.23,9.29,21194
1569509100000,9.2671,9.484,9.2671,9.42,132518
1569510000000,9.41,9.43,9.31,9.38,33102
1569510900000,9.38,9.43,9.34,9.3576,22197
1569511800000,9.36,9.4625,9.33,9.4,22858
1569512700000,9.4055,9.411,9.36,9.395,16949
1569513600000,9.3985,9.4077,9.35,9.36,12852
1569514500000,9.38,9.41,9.34,9.39,25845
1569515400000,9.395,9.41,9.35,9.3572,43956
1569516300000,9.36,9.4,9.3301,9.39,14014
1569517200000,9.385,9.44,9.3305,9.35,42445
1569518100000,9.34,9.3524,9.29,9.3524,37778
1569519000000,9.34,9.43,9.32,9.43,56849
1569519900000,9.4254,9.55,9.38,9.53,65922
1569520800000,9.55,9.62,9.525,9.55,62170
1569521700000,9.5732,9.6,9.52,9.55,50238
1569522600000,9.5754,9.5899,9.53,9.535,16413
1569523500000,9.525,9.5585,9.49,9.4939,29179
1569524400000,9.4948,9.6,9.49,9.59,28740
1569525300000,9.597,9.64,9.57,9.59,33902
1569526200000,9.6,9.65,9.53,9.58,59033
1569527100000,9.58,9.64,9.51,9.62,73782
1569591000000,9.72,9.78,9.47,9.52,105893
1569591900000,9.52,9.77,9.48,9.75,108862
1569592800000,9.76,9.93,9.59,9.59,148046
1569593700000,9.58,9.652,9.5,9.606,22044
1569594600000,9.63,9.705,9.6,9.65,12396
1569595500000,9.6,9.6378,9.57,9.63,9926
1569596400000,9.61,9.62,9.2,9.32,48635
1569597300000,9.33,9.33,9.17,9.2,24552
1569598200000,9.24,9.28,9.06,9.1946,35906
1569599100000,9.18,9.2,9.1,9.18,24117
1569600000000,9.18,9.31,9.1,9.24,26008
1569600900000,9.28,9.3,9.19,9.19,8669
1569601800000,9.2,9.32,9.1591,9.24,10869
1569602700000,9.24,9.26,9.11,9.155,40758
1569603600000,9.14,9.2,9.06,9.18,27215
1569604500000,9.19,9.2,9.08,9.1299,14776
1569605400000,9.1365,9.14,9.05,9.06,18264
1569606300000,9.06,9.07,8.9202,8.9559,49867
1569607200000,8.94,9.03,8.82,8.98,63722
1569608100000,8.98,8.98,8.8,8.88,40371
1569609000000,8.9,8.94,8.81,8.84,29991
1569609900000,8.82,8.9,8.75,8.8931,48385
1569610800000,8.89,8.929,8.85,8.9,36181
1569611700000,8.91,8.95,8.84,8.93,42494
1569612600000,8.93,9.0,8.92,9.0,71370
1569613500000,8.99,9.02,8.95,8.97,64443
1569850200000,9.0,9.11,8.9,9.1,39177
1569851100000,9.04,9.32,9.01,9.18,45715
1569852000000,9.19,9.55,9.18,9.55,33999
1569852900000,9.55,9.55,9.28,9.365,81051
1569853800000,9.4088,9.4332,9.32,9.35,10443
1569854700000,9.33,9.36,9.18,9.18,29401
1569855600000,9.17,9.2966,9.1605,9.2966,23444
1569856500000,9.275,9.415,9.26,9.3897,8978
1569857400000,9.38,9.39,9.315,9.33,6500
1569858300000,9.31,9.31,9.2398,9.24,11512
1569859200000,9.19,9.33,9.19,9.29,2850
1569860100000,9.29,9.33,9.26,9.3199,6146
1569861000000,9.32,9.435,9.3197,9.433,25723
1569861900000,9.43,9.4607,9.36,9.37,10855
1569862800000,9.4162,9.46,9.38,9.43,7378
1569863700000,9.4517,9.4517,9.41,9.4167,4443
1569864600000,9.4085,9.41,9.27,9.31,18998
1569865500000,9.28,9.31,9.26,9.28,7867
1569866400000,9.26,9.3023,9.21,9.26,18096
1569867300000,9.25,9.26,9.15,9.19,13209
1569868200000,9.17,9.17,9.12,9.12,5968
1569869100000,9.12,9.16,9.1,9.13,8260
1569870000000,9.13,9.21,9.09,9.21,9202
1569870900000,9.21,9.24,9.1,9.11,8900
1569871800000,9.15,9.15,8.86,8.9606,66494
1569872700000,8.94,9.05,8.88,8.92,83244
1569936600000,9.0,9.18,9.0,9.02,23729
1569937500000,9.0469,9.1144,9.01,9.0772,44973
1569938400000,9.11,9.15,9.01,9.05,21879
1569939300000,9.05,9.09,9.01,9.03,22062
1569940200000,9.12,9.16,9.06,9.11,13528
1569941100000,9.1,9.2,9.1,9.1338,13563
1569942000000,9.14,9.15,9.05,9.05,19641
1569942900000,9.02,9.11,8.99,9.095,26776
1569943800000,9.11,9.14,9.04,9.04,8684
1569944700000,9.0175,9.05,8.88,8.88,37284
1569945600000,8.88,9.01,8.88,8.9,30904
1569946500000,8.8819,8.9239,8.86,8.88,18453
1569947400000,8.86,8.88,8.7,8.73,34267
1569948300000,8.71,8.86,8.705,8.8455,43845
1569949200000,8.82,8.83,8.75,8.7649,10065
1569950100000,8.7545,8.8,8.68,8.71,45449
1569951000000,8.7145,8.8,8.71,8.8,21594
1569951900000,8.78,8.85,8.76,8.7756,14474
1569952800000,8.78,8.88,8.75,8.82,14546
1569953700000,8.8381,8.86,8.75,8.75,8110
1569954600000,8.76,8.84,8.76,8.8,20200
1569955500000,8.8,8.88,8.77,8.88,10495
1569956400000,8.8752,9.06,8.85,9.05,42571
1569957300000,9.03,9.08,9.02,9.05,24030
1569958200000,9.045,9.08,9.03,9.06,25489
1569959100000,9.06,9.13,8.95,8.99,79934
1570023000000,8.93,9.04,8.76,8.95,46124
1570023900000,8.94,8.94,8.77,8.9,50306
1570024800000,8.9369,8.9369,8.83,8.87,11100
1570025700000,8.9,8.9,8.79,8.79,4580
1570026600000,8.78,8.78,8.51,8.735,112691
1570027500000,8.735,8.84,8.6,8.6124,29340
1570028400000,8.63,8.7438,8.61,8.61,7110
1570029300000,8.65,8.7,8.62,8.63,13244
