datetime,open,high,low,close,volume
1591968600000,24.3,24.51,23.94,24.005,30467
1591969500000,24.005,24.44,23.82,24.25,211908
1591970400000,24.25,24.31,23.9,23.955,168353
1591971300000,23.98,24.05,23.81,23.81,31102
1591972200000,23.81,23.97,23.79,23.89,241562
1591973100000,23.885,23.92,23.64,23.83,444905
1591974000000,23.83,24.01,23.775,23.97,20559
1591974900000,23.97,23.99,23.7,23.73,46059
1591975800000,23.72,23.91,23.7,23.76,39683
1591976700000,23.77,23.81,23.68,23.81,62848
1591977600000,23.81,23.84,23.62,23.71,41399
1591978500000,23.7164,23.95,23.69,23.785,362918
1591979400000,23.785,23.79,23.66,23.67,47706
1591980300000,23.67,23.7,23.6128,23.695,54379
1591981200000,23.7,23.8,23.64,23.66,33002
1591982100000,23.65,23.65,23.58,23.6,35191
1591983000000,23.6,23.62,23.48,23.55,30684
1591983900000,23.53,23.57,23.46,23.48,28858
1591984800000,23.46,23.63,23.37,23.6,42058
1591985700000,23.595,23.71,23.49,23.6,125630
1591986600000,23.6,23.64,23.44,23.57,86261
1591987500000,23.6,23.64,23.505,23.62,34090
1591988400000,23.63,23.65,23.6,23.62,58568
1591989300000,23.62,23.895,23.62,23.73,401924
1591990200000,23.75,23.82,23.7,23.8,56814
1591991100000,23.81,24.01,23.79,23.91,149977
