datetime,open,high,low,close,volume
1569504600000,11.22,11.22,11.21,11.215,3124
1569505500000,11.19,11.28,11.19,11.24,25588
1569506400000,11.25,11.32,11.25,11.26,500
1569507300000,11.26,11.28,11.24,11.27,1863
1569508200000,11.24,11.26,11.24,11.25,500
1569509100000,11.26,11.28,11.24,11.25,2219
1569510000000,11.25,11.28,11.25,11.28,1100
1569510900000,11.25,11.27,11.25,11.26,300
1569511800000,11.26,11.3,11.2,11.3,13333
1569512700000,11.28,11.28,11.23,11.23,3140
1569513600000,11.23,11.32,11.23,11.3,12478
1569514500000,11.3,11.4,11.295,11.34,20539
1569515400000,11.36,11.39,11.36,11.385,5413
1569516300000,11.39,11.4,11.38,11.38,1922
1569517200000,11.34,11.36,11.34,11.34,828
1569518100000,11.31,11.32,11.31,11.31,600
1569519000000,11.32,11.37,11.32,11.37,1279
1569519900000,11.37,11.37,11.3,11.3,4411
1569520800000,11.32,11.34,11.31,11.31,1000
1569521700000,11.325,11.36,11.3,11.35,5201
1569522600000,11.34,11.34,11.31,11.34,712
1569523500000,11.31,11.35,11.31,11.335,1800
1569524400000,11.32,11.35,11.32,11.35,1505
1569525300000,11.33,11.33,11.3,11.33,3855
1569526200000,11.32,11.36,11.32,11.355,7251
1569527100000,11.355,11.39,11.31,11.35,34053
1569591000000,11.35,11.5,11.35,11.5,1067
1569592800000,11.555,11.6,11.49,11.55,2600
1569593700000,11.52,11.64,11.52,11.57,7933
1569594600000,11.58,11.59,11.55,11.59,2414
1569595500000,11.56,11.61,11.56,11.61,500
1569596400000,11.62,11.71,11.61,11.635,6966
1569597300000,11.62,11.715,11.62,11.715,1100
1569598200000,11.75,11.75,11.55,11.57,3183
1569599100000,11.59,11.62,11.5,11.605,6194
1569600000000,11.6,11.6,11.585,11.585,1000
1569600900000,11.57,11.585,11.48,11.525,3419
1569601800000,11.51,11.52,11.47,11.49,6352
1569602700000,11.46,11.51,11.44,11.47,5000
1569603600000,11.455,11.53,11.455,11.52,2100
1569604500000,11.52,11.53,11.47,11.49,6132
1569605400000,11.45,11.49,11.43,11.48,1300
1569606300000,11.51,11.51,11.48,11.51,900
1569607200000,11.51,11.515,11.47,11.49,1500
1569608100000,11.475,11.49,11.41,11.42,1900
1569609000000,11.41,11.43,11.4,11.43,5200
1569609900000,11.41,11.43,11.39,11.43,3092
1569610800000,11.41,11.43,11.32,11.35,19201
1569611700000,11.36,11.37,11.325,11.36,4477
1569612600000,11.36,11.37,11.34,11.35,5383
1569613500000,11.35,11.39,11.345,11.385,15578
1569850200000,11.34,11.44,11.32,11.44,1300
1569851100000,11.34,11.395,11.31,11.37,34532
1569852000000,11.36,11.365,11.29,11.32,18504
1569852900000,11.33,11.34,11.23,11.26,9321
1569853800000,11.26,11.3,11.25,11.25,4491
1569854700000,11.22,11.25,11.21,11.23,1372
1569855600000,11.23,11.23,11.215,11.23,600
1569856500000,11.215,11.31,11.19,11.31,9153
1569857400000,11.29,11.3,11.28,11.3,700
1569858300000,11.27,11.28,11.25,11.28,2248
1569859200000,11.2601,11.28,11.205,11.27,14138
1569860100000,11.265,11.265,11.25,11.26,5251
1569861000000,11.26,11.26,11.25,11.255,3326
1569861900000,11.255,11.28,11.25,11.27,5487
1569862800000,11.26,11.27,11.26,11.27,600
1569863700000,11.255,11.26,11.25,11.25,3262
1569864600000,11.26,11.29,11.26,11.28,1889
1569865500000,11.29,11.33,11.29,11.32,4646
1569866400000,11.31,11.32,11.31,11.32,500
1569867300000,11.31,11.355,11.29,11.29,4762
1569868200000,11.28,11.31,11.28,11.3,3360
1569869100000,11.3,11.34,11.3,11.34,3072
1569870000000,11.32,11.33,11.32,11.33,2100
1569870900000,11.32,11.32,11.27,11.285,3914
1569871800000,11.28,11.285,11.26,11.26,2358
1569872700000,11.26,11.33,11.25,11.32,22010
1569936600000,11.3,11.36,11.24,11.32,3381
1569937500000,11.38,11.38,11.35,11.375,1130
1569938400000,11.39,11.39,11.355,11.355,2051
1569939300000,11.38,11.48,11.38,11.4314,6737
1569940200000,11.43,11.46,11.42,11.4261,2100
1569941100000,11.44,11.44,11.39,11.39,672
1569942000000,11.33,11.34,11.23,11.325,4853
1569942900000,11.33,11.33,11.2,11.26,14738
1569943800000,11.25,11.265,11.22,11.265,5695
1569944700000,11.25,11.25,11.23,11.23,696
1569945600000,11.25,11.27,11.24,11.27,2400
1569946500000,11.27,11.3,11.27,11.285,500
1569948300000,11.3,11.305,11.3,11.305,300
1569949200000,11.27,11.29,11.24,11.24,1100
1569950100000,11.23,11.29,11.23,11.275,7500
1569951000000,11.27,11.28,11.22,11.255,3646
1569951900000,11.2248,11.2248,11.1748,11.21,2486
1569952800000,11.185,11.24,11.185,11.24,8375
