datetime,open,high,low,close,volume
1591968600000,5.98,6.0,5.79,5.9999,362259
1591969500000,6.0,6.02,5.9301,5.95,143247
1591970400000,5.94,5.96,5.885,5.902,147823
1591971300000,5.902,5.94,5.895,5.91,145664
1591972200000,5.91,5.915,5.83,5.85,155466
1591973100000,5.8502,5.89,5.815,5.815,134023
1591974000000,5.82,5.865,5.8,5.81,85467
1591974900000,5.815,5.83,5.78,5.81,114323
1591975800000,5.81,5.87,5.8,5.835,78394
1591976700000,5.835,5.905,5.83,5.905,44981
1591977600000,5.905,5.91,5.88,5.88,47847
1591978500000,5.88,5.89,5.845,5.855,51117
1591979400000,5.85,5.87,5.84,5.85,62055
1591980300000,5.85,5.875,5.83,5.86,37911
1591981200000,5.86,5.87,5.835,5.85,40253
1591982100000,5.85,5.858,5.82,5.825,58520
1591983000000,5.82,5.83,5.8,5.815,63773
1591983900000,5.81,5.81,5.78,5.785,84871
1591984800000,5.79,5.83,5.785,5.8,73455
1591985700000,5.81,5.82,5.79,5.8,51120
1591986600000,5.81,5.825,5.785,5.805,78487
1591987500000,5.8,5.835,5.8,5.82,59650
1591988400000,5.825,5.85,5.82,5.8374,85528
1591989300000,5.84,5.845,5.82,5.84,83859
1591990200000,5.84,5.89,5.83,5.875,208018
1591991100000,5.87,5.91,5.865,5.9,382142
