datetime,open,high,low,close,volume
1569504600000,47.7,47.73,47.535,47.73,3264
1569505500000,47.785,47.79,47.64,47.6749,1558
1569506400000,47.68,47.76,47.67,47.6764,2429
1569507300000,47.54,47.635,47.5,47.635,3910
1569508200000,47.67,47.71,47.63,47.71,600
1569509100000,47.66,47.73,47.64,47.675,2009
1569510000000,47.62,47.65,47.52,47.6012,3000
1569510900000,47.54,47.6,47.47,47.585,4603
1569511800000,47.61,47.65,47.57,47.64,1700
1569512700000,47.62,47.62,47.56,47.6,1601
1569513600000,47.575,47.6719,47.575,47.59,2486
1569514500000,47.63,47.658,47.59,47.658,891
1569515400000,47.65,47.8,47.65,47.73,2300
1569516300000,47.71,47.71,47.64,47.64,2017
1569517200000,47.65,47.66,47.58,47.635,3638
1569518100000,47.62,47.64,47.591,47.605,2459
1569519000000,47.64,47.7,47.64,47.66,1866
1569519900000,47.665,47.665,47.55,47.62,2514
1569520800000,47.66,47.73,47.65,47.72,500
1569521700000,47.69,47.8,47.67,47.8,5946
1569522600000,47.87,48.08,47.87,48.06,6271
1569523500000,48.08,48.09,47.99,48.01,2723
1569524400000,48.075,48.11,48.04,48.11,1918
1569525300000,48.1,48.15,48.02,48.095,4732
1569526200000,48.05,48.155,48.03,48.06,3252
1569527100000,48.06,48.06,47.93,47.97,26956
1569591000000,48.07,48.55,48.07,48.48,3660
1569591900000,48.39,48.43,48.17,48.18,2200
1569592800000,48.1,48.305,48.1,48.145,3593
1569593700000,48.17,48.41,48.15,48.41,5326
1569594600000,48.35,48.465,48.35,48.38,3471
1569595500000,48.43,48.58,48.39,48.58,3352
1569596400000,48.59,48.62,48.44,48.565,5977
1569597300000,48.535,48.56,48.43,48.56,3412
1569598200000,48.54,48.7,48.375,48.54,9187
1569599100000,48.505,48.78,48.47,48.745,6535
1569600000000,48.7,48.725,48.545,48.6872,5934
1569600900000,48.68,48.705,48.47,48.595,5600
1569601800000,48.53,48.575,48.495,48.495,2000
1569602700000,48.49,48.62,48.44,48.5295,19137
1569603600000,48.52,48.555,48.37,48.535,12273
1569604500000,48.545,48.565,48.465,48.56,4702
1569605400000,48.55,48.61,48.495,48.59,7177
1569606300000,48.54,48.7,48.49,48.65,19841
1569607200000,48.69,48.69,48.58,48.64,7100
1569608100000,48.64,48.675,48.57,48.62,13000
1569609000000,48.6,48.67,48.37,48.575,29562
1569609900000,48.575,48.7,48.525,48.7,25981
1569610800000,48.69,48.77,48.67,48.77,10507
1569611700000,48.775,48.87,48.77,48.815,20306
1569612600000,48.78,48.9,48.755,48.85,17424
1569613500000,48.86,48.94,48.81,48.88,38513
1569850200000,49.1,49.455,48.97,49.0,6811
1569851100000,49.06,49.1,48.91,48.91,2500
1569852000000,48.91,49.06,48.845,49.0,4462
1569852900000,49.06,49.13,48.89,49.01,3652
1569853800000,49.07,49.14,48.97,48.99,3063
1569854700000,48.975,49.12,48.975,49.0305,2650
1569855600000,49.03,49.04,48.89,48.905,5725
1569856500000,48.87,49.05,48.825,48.96,7400
1569857400000,48.95,49.1,48.8706,49.1,4305
1569858300000,49.06,49.06,48.93,49.01,3605
