datetime,open,high,low,close,volume
1569504600000,4.98,4.98,4.91,4.93,12716
1569505500000,4.91,4.92,4.8999,4.9,1924
1569506400000,4.87,4.87,4.8202,4.86,10930
1569507300000,4.85,4.862,4.84,4.85,3016
1569508200000,4.85,4.86,4.81,4.82,13203
1569509100000,4.81,4.82,4.8,4.81,4033
1569510000000,4.82,4.82,4.74,4.755,9411
1569510900000,4.78,4.79,4.76,4.775,9148
1569511800000,4.78,4.78,4.765,4.765,1660
1569512700000,4.765,4.765,4.7625,4.765,1107
1569513600000,4.765,4.765,4.72,4.72,1911
1569514500000,4.72,4.739,4.7073,4.739,2059
1569515400000,4.73,4.73,4.73,4.73,200
1569516300000,4.72,4.725,4.72,4.72,1241
1569517200000,4.72,4.72,4.71,4.71,2411
1569518100000,4.71,4.72,4.69,4.71,19752
1569519000000,4.71,4.73,4.71,4.73,5340
1569519900000,4.72,4.72,4.7076,4.715,2834
1569520800000,4.715,4.73,4.715,4.72,5000
1569521700000,4.7228,4.725,4.7228,4.725,470
1569522600000,4.725,4.725,4.72,4.72,300
1569523500000,4.73,4.73,4.72,4.73,1696
1569524400000,4.72,4.73,4.72,4.725,300
1569525300000,4.72,4.73,4.72,4.73,3900
1569526200000,4.72,4.73,4.72,4.725,2863
1569527100000,4.725,4.74,4.72,4.73,3549
1569591000000,4.56,4.57,4.5,4.51,24114
1569591900000,4.5,4.55,4.5,4.55,4183
1569592800000,4.5502,4.62,4.5502,4.6138,5418
1569593700000,4.62,4.63,4.5962,4.6,5440
1569594600000,4.59,4.62,4.55,4.62,6112
1569596400000,4.6197,4.6197,4.57,4.57,1450
1569597300000,4.57,4.57,4.545,4.545,1900
1569598200000,4.53,4.54,4.525,4.54,12713
1569599100000,4.532,4.5423,4.53,4.53,2403
1569600000000,4.52,4.53,4.52,4.53,400
1569600900000,4.52,4.5483,4.52,4.5419,5381
1569601800000,4.5477,4.55,4.5477,4.55,1302
1569602700000,4.57,4.62,4.57,4.62,4408
1569603600000,4.625,4.63,4.62,4.62,1604
1569604500000,4.61,4.61,4.61,4.61,100
1569605400000,4.63,4.63,4.62,4.62,300
1569606300000,4.61,4.6201,4.5955,4.6201,9250
1569607200000,4.62,4.62,4.613,4.613,296
1569608100000,4.61,4.61,4.58,4.5854,2593
1569609000000,4.5869,4.605,4.5869,4.605,1674
1569609900000,4.62,4.62,4.61,4.61,503
1569610800000,4.6,4.62,4.6,4.6,7000
1569611700000,4.61,4.61,4.6,4.61,1500
1569612600000,4.6,4.62,4.6,4.6,822
1569613500000,4.62,4.62,4.6036,4.605,3129
1569850200000,4.46,4.46,4.44,4.46,19031
1569851100000,4.47,4.52,4.47,4.52,3810
1569852000000,4.51,4.51,4.495,4.5,5683
1569852900000,4.5045,4.515,4.49,4.5,7460
1569853800000,4.49,4.498,4.45,4.45,10199
1569854700000,4.4599,4.4599,4.31,4.32,41673
1569855600000,4.31,4.35,4.28,4.3,49658
1569856500000,4.29,4.3,4.285,4.29,19547
1569857400000,4.27,4.283,4.25,4.283,6742
1569858300000,4.29,4.326,4.29,4.326,4070
1569859200000,4.32,4.32,4.3,4.3,930
1569860100000,4.3,4.3,4.21,4.28,19043
1569861000000,4.2767,4.28,4.25,4.275,15653
1569861900000,4.275,4.277,4.25,4.26,3426
1569862800000,4.26,4.2648,4.21,4.2105,5935
1569863700000,4.215,4.22,4.215,4.22,1820
1569864600000,4.2144,4.2144,4.17,4.19,7916
1569865500000,4.185,4.2,4.185,4.2,2613
1569866400000,4.21,4.21,4.19,4.21,4600
1569867300000,4.2101,4.23,4.21,4.23,5860
1569868200000,4.2273,4.24,4.2273,4.23,1130
1569869100000,4.24,4.24,4.24,4.24,200
1569870000000,4.245,4.245,4.245,4.245,700
1569870900000,4.2479,4.2499,4.2433,4.2433,2004
1569871800000,4.245,4.25,4.24,4.25,3073
1569872700000,4.245,4.26,4.245,4.25,6181
1569936600000,4.25,4.25,4.23,4.23,5941
1569937500000,4.23,4.26,4.21,4.25,12589
1569938400000,4.26,4.41,4.26,4.38,17750
1569939300000,4.3844,4.4195,4.384,4.4195,3646
1569940200000,4.42,4.51,4.42,4.48,14273
1569941100000,4.47,4.5,4.45,4.45,18097
1569942000000,4.46,4.46,4.44,4.44,2041
1569942900000,4.43,4.4303,4.42,4.4303,800
1569943800000,4.42,4.42,4.4,4.4,2542
1569944700000,4.4126,4.47,4.406,4.47,9471
1569945600000,4.465,4.465,4.46,4.465,2000
1569946500000,4.465,4.51,4.4645,4.5,8402
1569947400000,4.5,4.56,4.4798,4.4808,22537
1569949200000,4.47,4.52,4.47,4.51,3800
1569950100000,4.505,4.505,4.49,4.495,960
1569951000000,4.495,4.495,4.49,4.49,1900
1569951900000,4.48,4.48,4.46,4.47,1100
1569952800000,4.47,4.47,4.45,4.45,8617
1569953700000,4.44,4.44,4.43,4.43,1100
1569954600000,4.42,4.42,4.4,4.4,2448
1569955500000,4.3959,4.4,4.39,4.4,731
1569956400000,4.39,4.39,4.39,4.39,100
1569957300000,4.41,4.41,4.4096,4.4096,766
1569958200000,4.41,4.43,4.41,4.43,800
1569959100000,4.435,4.47,4.42,4.46,7709
1570023000000,4.6,4.83,4.6,4.79,66887
1570023900000,4.79,4.83,4.7,4.7384,20981
1570024800000,4.7372,4.77,4.6707,4.69,9941
1570025700000,4.7029,4.73,4.66,4.73,16184
1570026600000,4.72,4.7379,4.7,4.7228,6432
1570027500000,4.73,4.76,4.7,4.76,6162
1570028400000,4.75,4.8,4.74,4.8,9200
1570029300000,4.8,4.8081,4.75,4.75,2110
1570030200000,4.7585,4.82,4.75,4.82,3234
1570031100000,4.81,4.81,4.7715,4.776,2225
1570032000000,4.7833,4.81,4.77,4.81,3698
1570032900000,4.8,4.8,4.7801,4.7801,3128
1570033800000,4.7986,4.8368,4.78,4.82,11300
1570034700000,4.81,4.81,4.79,4.805,2780
1570035600000,4.814,4.814,4.8,4.8,1831
1570036500000,4.7963,4.8011,4.7607,4.7607,2835
1570037400000,4.77,4.775,4.765,4.765,3790
1570038300000,4.765,4.769,4.76,4.769,2530
1570039200000,4.765,4.765,4.75,4.75,2982
1570040100000,4.7466,4.76,4.7264,4.76,9490
1570041000000,4.7623,4.77,4.7623,4.77,4445
1570041900000,4.76,4.77,4.745,4.75,16555
1570042800000,4.75,4.76,4.75,4.76,3640
1570043700000,4.76,4.78,4.76,4.7757,6918
1570044600000,4.79,4.795,4.79,4.79,2000
1570045500000,4.8,4.81,4.788,4.81,8414
1570109400000,4.78,4.785,4.7,4.7175,18690
1570110300000,4.71,4.74,4.71,4.73,11364
1570111200000,4.73,4.94,4.725,4.92,46348
1570112100000,4.92,4.9601,4.9,4.9,19000
1570113000000,4.875,4.93,4.81,4.93,34381
1570113900000,4.9,4.9,4.8715,4.8715,3784
1570114800000,4.87,4.87,4.8,4.8045,1159
1570115700000,4.7804,4.7804,4.78,4.78,1820
1570116600000,4.8,4.8,4.8,4.8,400
1570117500000,4.8,4.8,4.8,4.8,300
1570118400000,4.79,4.79,4.7854,4.7854,900
1570119300000,4.78,4.78,4.77,4.78,2116
1570120200000,4.78,4.8,4.78,4.8,650
1570121100000,4.809,4.809,4.79,4.79,1120
1570122000000,4.79,4.8,4.79,4.8,300
1570122900000,4.79,4.79,4.75,4.75,2655
1570123800000,4.76,4.76,4.73,4.74,9781
1570124700000,4.735,4.74,4.71,4.7137,8237
1570125600000,4.72,4.73,4.72,4.725,3300
1570126500000,4.72,4.72,4.72,4.72,100
1570127400000,4.72,4.72,4.7,4.71,3000
1570128300000,4.71,4.72,4.71,4.72,1000
1570129200000,4.7108,4.715,4.71,4.715,1850
1570130100000,4.7122,4.72,4.71,4.71,6764
1570131000000,4.71,4.7122,4.7,4.705,18206
1570131900000,4.705,4.72,4.7,4.72,12521
1570195800000,4.69,4.73,4.63,4.73,9921
1570196700000,4.725,4.77,4.7115,4.715,7966
1570197600000,4.71,4.71,4.61,4.64,20151
