datetime,open,high,low,close,volume
1569504600000,19.86,19.86,19.7773,19.8,22015
1569505500000,19.84,19.86,19.8,19.8,19237
1569506400000,19.8024,19.81,19.7983,19.7983,1834
1569507300000,19.81,19.8332,19.81,19.8332,5000
1569508200000,19.8333,19.87,19.8333,19.86,9630
1569509100000,19.8606,19.87,19.8458,19.8458,9632
1569510000000,19.845,19.85,19.84,19.84,2055
1569510900000,19.845,19.845,19.82,19.83,9784
1569511800000,19.84,19.85,19.84,19.84,1300
1569512700000,19.84,19.8424,19.84,19.8424,250
1569513600000,19.835,19.845,19.83,19.845,3337
1569514500000,19.845,19.8487,19.8209,19.8487,4767
1569515400000,19.84,19.85,19.83,19.845,3800
1569516300000,19.845,19.85,19.84,19.84,2000
1569517200000,19.8436,19.845,19.83,19.83,5956
1569518100000,19.8347,19.84,19.8199,19.84,6560
1569519000000,19.83,19.84,19.8,19.8311,21203
1569519900000,19.8291,19.85,19.8255,19.845,5162
1569520800000,19.845,19.85,19.83,19.8353,13432
1569521700000,19.8254,19.84,19.8254,19.83,3973
1569522600000,19.84,19.88,19.824,19.88,18112
1569523500000,19.88,19.89,19.8701,19.89,8000
1569524400000,19.89,19.9,19.8744,19.89,9954
1569525300000,19.88,19.88,19.81,19.825,38295
1569526200000,19.8299,19.83,19.81,19.825,6137
1569527100000,19.8276,19.84,19.8,19.83,11888
1569591000000,19.86,19.89,19.85,19.85,8440
1569591900000,19.8789,19.8899,19.8501,19.8501,6629
1569592800000,19.8656,19.8656,19.86,19.86,376
1569593700000,19.85,19.853,19.85,19.85,1440
1569594600000,19.8499,19.86,19.8499,19.86,5999
1569595500000,19.85,19.87,19.8417,19.87,7197
1569596400000,19.8657,19.88,19.8657,19.88,1622
1569597300000,19.89,19.89,19.85,19.8723,3335
1569598200000,19.8749,19.8749,19.76,19.76,7016
1569599100000,19.77,19.83,19.77,19.8289,15931
1569600000000,19.8297,19.8297,19.8297,19.8297,5000
1569600900000,19.8306,19.8306,19.8203,19.8203,2151
1569601800000,19.8288,19.8288,19.81,19.81,3001
1569602700000,19.8186,19.82,19.8175,19.8199,1800
1569603600000,19.815,19.82,19.815,19.82,2769
1569604500000,19.8312,19.8377,19.805,19.805,6509
1569605400000,19.82,19.8284,19.8,19.8,5910
