datetime,open,high,low,close,volume
1591968600000,5.54,5.77,5.45,5.63,470683
1591969500000,5.62,5.732,5.615,5.71,169700
1591970400000,5.712,5.77,5.6101,5.64,157830
1591971300000,5.64,5.66,5.55,5.56,91319
1591972200000,5.565,5.59,5.5,5.59,82651
1591973100000,5.58,5.61,5.51,5.555,81413
1591974000000,5.555,5.62,5.5,5.56,169440
1591974900000,5.56,5.595,5.51,5.56,94486
1591975800000,5.56,5.64,5.54,5.6,51305
1591976700000,5.6,5.69,5.6,5.69,44634
1591977600000,5.68,5.68,5.64,5.66,54330
1591978500000,5.66,5.7169,5.63,5.64,95926
1591979400000,5.64,5.66,5.6,5.625,37343
1591980300000,5.63,5.7,5.59,5.6869,80445
1591981200000,5.6802,5.69,5.61,5.635,47283
1591982100000,5.63,5.655,5.6,5.62,50256
1591983000000,5.61,5.62,5.575,5.59,79899
1591983900000,5.59,5.59,5.534,5.57,95983
1591984800000,5.56,5.63,5.55,5.61,77328
1591985700000,5.625,5.65,5.58,5.65,41605
1591986600000,5.65,5.68,5.605,5.655,73050
1591987500000,5.66,5.72,5.65,5.715,106451
1591988400000,5.72,5.77,5.7,5.76,93961
1591989300000,5.77,5.77,5.67,5.71,107992
1591990200000,5.72,5.73,5.6633,5.69,118705
1591991100000,5.69,5.72,5.67,5.71,200552
