datetime,open,high,low,close,volume
1591968600000,9.95,10.93,9.95,10.71,275807
1591969500000,10.705,10.74,10.52,10.57,122127
1591970400000,10.59,10.73,10.54,10.54,103916
1591971300000,10.53,10.85,10.5,10.69,131721
1591972200000,10.7,10.86,10.6214,10.66,63434
1591973100000,10.655,10.75,10.34,10.47,141172
1591974000000,10.455,10.52,10.29,10.395,111666
1591974900000,10.41,10.48,10.12,10.23,87974
1591975800000,10.22,10.32,10.115,10.21,42969
1591976700000,10.21,10.31,10.21,10.24,31675
1591977600000,10.25,10.46,10.25,10.38,46007
1591978500000,10.35,10.38,10.265,10.29,37468
1591979400000,10.29,10.29,10.25,10.255,29548
1591980300000,10.25,10.28,10.185,10.25,33141
1591981200000,10.25,10.26,10.2,10.24,31239
1591982100000,10.24,10.25,10.1599,10.17,26206
1591983000000,10.18,10.18,10.09,10.11,38828
1591983900000,10.1,10.145,9.93,9.995,80719
1591984800000,9.995,10.0807,9.95,10.075,42660
1591985700000,10.06,10.17,10.03,10.145,49498
1591986600000,10.16,10.21,10.14,10.17,29533
1591987500000,10.18,10.32,10.18,10.31,33544
1591988400000,10.32,10.37,10.31,10.355,26559
1591989300000,10.35,10.36,10.19,10.235,42404
1591990200000,10.235,10.28,10.17,10.185,76428
1591991100000,10.185,10.335,10.14,10.26,191257
