datetime,open,high,low,close,volume
1569504600000,43.39,44.02,43.21,43.3,9397
1569505500000,43.5,43.78,43.32,43.42,3600
1569506400000,43.41,43.7,43.41,43.51,1622
1569507300000,43.5,43.57,43.4,43.47,2300
1569508200000,43.66,43.74,43.57,43.57,1600
1569509100000,43.53,43.79,43.52,43.71,5001
1569510000000,43.695,43.695,43.54,43.62,1990
1569510900000,43.58,43.58,43.33,43.49,5100
1569511800000,43.44,43.59,43.43,43.55,20812
1569512700000,43.58,43.63,43.54,43.6,2000
1569513600000,43.6,43.87,43.59,43.87,2600
1569514500000,43.9,43.91,43.64,43.64,6709
1569515400000,43.62,43.67,43.59,43.62,2100
1569516300000,43.6,43.67,43.495,43.53,12330
1569517200000,43.54,43.55,43.46,43.46,2090
1569518100000,43.49,43.53,43.39,43.42,29932
1569519000000,43.49,43.78,43.49,43.78,2500
1569519900000,43.79,43.865,43.73,43.82,2500
1569520800000,43.82,43.84,43.76,43.76,1300
1569521700000,43.83,43.83,43.67,43.67,1101
1569522600000,43.63,43.63,43.41,43.48,4039
1569523500000,43.55,43.55,43.42,43.48,2100
1569524400000,43.45,43.5,43.45,43.48,1400
1569525300000,43.44,43.44,43.27,43.42,3900
1569526200000,43.41,43.57,43.38,43.46,6868
1569527100000,43.51,43.545,43.39,43.44,9530
1569591000000,43.87,44.66,43.6825,44.66,4191
1569591900000,44.65,44.72,44.06,44.06,2400
1569592800000,44.0,44.2,43.83,44.005,4800
1569593700000,44.09,44.09,43.67,43.833,1900
1569594600000,43.75,43.93,43.62,43.75,6432
1569595500000,43.755,43.765,43.66,43.67,3100
1569596400000,43.64,43.665,43.47,43.47,2200
1569597300000,43.53,43.66,43.41,43.43,6400
1569598200000,43.435,43.435,42.765,42.99,6431
1569599100000,42.97,43.15,42.81,42.83,6658
1569600000000,42.77,42.95,42.61,42.95,4491
1569600900000,42.84,42.855,42.61,42.62,3525
1569601800000,42.6,42.65,42.56,42.58,2100
1569602700000,42.45,42.45,42.17,42.17,2285
1569603600000,42.12,42.39,42.12,42.28,2382
1569604500000,42.26,42.3,42.16,42.23,6310
1569605400000,42.21,42.235,42.02,42.19,4341
1569606300000,42.17,42.21,41.9404,42.075,7256
1569607200000,41.98,42.04,41.63,41.95,15558
1569608100000,41.965,41.965,41.69,41.765,4102
1569609000000,41.7942,41.7942,41.4,41.51,18007
1569609900000,41.47,41.62,41.4,41.5,6841
1569610800000,41.52,41.6,41.4,41.54,11382
1569611700000,41.55,41.62,41.49,41.55,9117
1569612600000,41.58,41.68,41.525,41.64,14581
1569613500000,41.58,41.68,41.4801,41.59,23597
1569850200000,41.89,42.0,41.36,41.81,4475
1569851100000,41.81,41.81,41.36,41.76,2700
1569852000000,41.66,41.88,41.51,41.79,12440
1569852900000,41.79,41.79,41.47,41.69,12362
1569853800000,41.7,41.79,41.54,41.54,5900
1569854700000,41.5413,41.79,41.5,41.76,7893
1569855600000,41.755,41.77,41.56,41.7,10468
1569856500000,41.66,41.82,41.6,41.815,6400
1569857400000,41.77,41.86,41.68,41.845,3600
1569858300000,41.8498,41.85,41.59,41.61,3232
1569859200000,41.61,41.71,41.56,41.62,4774
1569860100000,41.58,41.87,41.55,41.855,8694
1569861000000,41.855,42.1,41.855,42.07,4586
1569861900000,42.07,42.1352,42.02,42.04,4900
1569862800000,42.055,42.21,42.04,42.17,4107
1569863700000,42.19,42.22,42.13,42.14,5507
1569864600000,42.18,42.27,42.18,42.27,2985
1569865500000,42.295,42.48,42.2875,42.4017,3958
1569866400000,42.49,42.49,42.35,42.41,6477
1569867300000,42.43,42.47,42.35,42.36,4400
1569868200000,42.37,42.4205,42.15,42.17,5442
1569869100000,42.24,42.25,42.15,42.155,14007
1569870000000,42.16,42.231,42.04,42.145,26421
1569870900000,42.13,42.325,42.13,42.325,6968
1569871800000,42.33,42.34,42.22,42.255,12320
1569872700000,42.23,42.26,42.08,42.09,41371
1569936600000,42.35,43.04,42.35,42.86,7798
