datetime,open,high,low,close,volume
1569504600000,23.74,23.85,23.59,23.67,11687
1569505500000,23.74,23.76,23.58,23.68,4300
1569506400000,23.6389,23.68,23.34,23.555,14614
1569507300000,23.52,23.54,23.38,23.41,3300
1569508200000,23.43,23.45,23.31,23.37,2772
1569509100000,23.35,23.45,23.21,23.275,11992
1569510000000,23.25,23.3299,23.1142,23.165,25702
1569510900000,23.1285,23.16,22.8941,22.8993,45757
1569511800000,22.87,23.04,22.855,22.895,10148
1569512700000,22.87,22.92,22.82,22.92,11492
1569513600000,22.905,23.07,22.87,23.03,15884
1569514500000,23.02,23.02,22.9,23.005,24700
1569515400000,23.0,23.15,22.88,22.89,42563
1569516300000,22.88,22.89,22.76,22.85,17726
1569517200000,22.85,22.86,22.73,22.745,8639
1569518100000,22.74,22.75,22.6,22.7,17186
1569519000000,22.68,22.835,22.66,22.78,7769
1569519900000,22.78,22.86,22.77,22.84,6347
1569520800000,22.85,22.86,22.75,22.81,5862
1569521700000,22.8,22.82,22.64,22.6599,15817
1569522600000,22.65,22.83,22.65,22.78,9965
1569523500000,22.79,22.89,22.79,22.85,10905
1569524400000,22.83,22.97,22.83,22.955,12852
1569525300000,22.955,22.955,22.84,22.85,9626
1569526200000,22.85,22.88,22.77,22.82,19920
1569527100000,22.81,22.83,22.68,22.72,47908
1569591000000,22.71,23.02,22.335,22.88,57125
1569591900000,22.86,22.87,22.54,22.575,10375
1569592800000,22.6,22.7564,22.55,22.7,6563
1569593700000,22.65,23.03,22.51,23.0185,15273
1569594600000,22.99,23.1456,22.97,23.14,11490
1569595500000,23.14,23.22,23.1113,23.195,12841
1569596400000,23.19,23.31,23.05,23.0789,11953
1569597300000,23.0775,23.205,23.04,23.17,17722
1569598200000,23.17,23.19,22.75,22.98,13431
1569599100000,22.91,23.11,22.8779,22.9682,7343
1569600000000,23.0,23.0,22.78,22.86,4588
1569600900000,22.865,22.865,22.7,22.7,3864
1569601800000,22.68,22.72,22.6,22.6,4699
1569602700000,22.6,22.64,22.485,22.5327,7431
1569603600000,22.51,22.63,22.485,22.5777,12052
1569604500000,22.5717,22.58,22.5,22.54,4613
1569605400000,22.53,22.5822,22.44,22.53,21208
1569606300000,22.52,22.66,22.45,22.6104,13260
1569607200000,22.6242,22.6242,22.5,22.53,4031
1569608100000,22.53,22.56,22.44,22.47,4025
1569609000000,22.445,22.46,22.35,22.35,7225
1569609900000,22.34,22.34,22.2,22.28,5820
