datetime,open,high,low,close,volume
1569504600000,17.91,18.01,17.91,17.99,19322
1569505500000,18.005,18.005,17.96,17.96,3845
1569506400000,18.0299,18.0299,17.98,18.007,8132
1569507300000,18.01,18.01,17.945,17.95,9273
1569508200000,17.95,17.9733,17.95,17.97,2350
1569509100000,17.97,17.99,17.96,17.99,4673
1569510000000,17.9932,18.0,17.97,18.0,2800
1569510900000,17.9897,17.998,17.975,17.99,7550
1569511800000,17.99,18.03,17.99,18.02,3363
1569512700000,18.02,18.02,18.01,18.015,1700
1569513600000,18.02,18.02,18.01,18.015,2100
1569514500000,18.0175,18.02,18.0,18.02,5594
1569515400000,18.01,18.01,17.99,17.99,8895
1569516300000,18.0,18.0,17.99,17.995,900
1569517200000,17.995,17.995,17.97,17.98,4712
1569518100000,17.98,17.99,17.98,17.985,707
1569519000000,17.98,17.985,17.98,17.985,1614
1569519900000,17.98,17.99,17.98,17.99,500
1569520800000,17.98,18.005,17.97,18.0,12736
1569521700000,18.0,18.005,17.97,17.97,5089
1569522600000,17.975,18.0,17.975,18.0,21100
1569523500000,18.0,18.0,17.96,17.985,8523
1569524400000,17.99,18.02,17.97,18.015,15878
1569525300000,18.01,18.06,18.01,18.06,14272
1569526200000,18.07,18.1,18.02,18.04,14419
1569527100000,18.035,18.05,17.99,18.01,40739
1569591000000,18.05,18.05,18.012,18.012,8009
1569591900000,18.04,18.04,18.01,18.02,1193
1569592800000,18.05,18.24,18.05,18.144,35753
1569593700000,18.16,18.17,18.11,18.14,19582
1569594600000,18.1365,18.18,18.12,18.12,10983
1569595500000,18.13,18.1329,18.12,18.125,3795
1569596400000,18.14,18.15,18.13,18.14,6585
1569597300000,18.14,18.15,18.1225,18.13,6076
1569598200000,18.14,18.14,18.0497,18.05,7100
1569599100000,18.05,18.07,18.03,18.07,3402
1569600000000,18.055,18.06,18.02,18.025,5142
1569600900000,18.03,18.05,18.025,18.05,2051
1569601800000,18.04,18.06,18.04,18.05,1931
1569602700000,18.05,18.05,18.01,18.01,3101
1569603600000,18.02,18.04,18.01,18.04,1800
1569604500000,18.045,18.045,18.0,18.01,4471
1569605400000,18.01,18.02,17.99,18.0,2597
1569606300000,18.01,18.03,17.99,18.03,3222
1569607200000,18.02,18.03,17.99,18.0,4201
1569608100000,18.0,18.02,18.0,18.0,1400
1569609000000,18.0,18.0,17.94,17.94,7302
1569609900000,17.94,17.94,17.91,17.92,4195
1569610800000,17.91,17.92,17.875,17.91,8778
1569611700000,17.9,17.95,17.9,17.94,5600
1569612600000,17.93,17.99,17.93,17.99,13307
1569613500000,17.98,18.05,17.98,18.03,35981
1569850200000,18.05,18.11,18.03,18.09,2971
1569851100000,18.1128,18.1128,18.07,18.09,9613
1569852000000,18.07,18.08,18.07,18.08,2115
1569852900000,18.09,18.09,18.08,18.08,2620
1569853800000,18.085,18.085,18.06,18.06,1214
1569854700000,18.07,18.07,18.05,18.05,1568
1569855600000,18.06,18.08,18.04,18.08,1404
1569856500000,18.07,18.08,18.04,18.0533,2496
1569857400000,18.04,18.0598,18.04,18.05,2700
1569858300000,18.055,18.055,18.04,18.045,619
1569859200000,18.04,18.07,18.04,18.0567,650
1569860100000,18.06,18.14,18.05,18.125,7656
1569861000000,18.11,18.12,18.11,18.12,340
1569861900000,18.12,18.14,18.12,18.14,1600
1569862800000,18.13,18.15,18.13,18.13,1655
1569863700000,18.135,18.14,18.13,18.13,1421
1569864600000,18.13,18.14,18.13,18.135,2618
1569865500000,18.135,18.135,18.125,18.125,963
1569866400000,18.125,18.14,18.125,18.135,1537
1569867300000,18.135,18.14,18.12,18.13,3282
1569868200000,18.125,18.125,18.12,18.12,3775
1569869100000,18.12,18.14,18.1138,18.13,3728
1569870000000,18.13,18.145,18.13,18.135,6554
1569870900000,18.135,18.135,18.0807,18.0807,7735
1569871800000,18.08,18.14,18.06,18.1,22152
1569872700000,18.105,18.12,18.06,18.08,29455
1569936600000,18.08,18.08,17.9983,18.03,1212
1569937500000,18.02,18.09,18.02,18.09,1016
1569938400000,18.06,18.09,18.0381,18.04,8692
1569939300000,18.05,18.13,18.0498,18.13,7824
1569940200000,18.13,18.15,18.12,18.12,12597
1569941100000,18.12,18.13,18.11,18.11,3812
1569942000000,18.12,18.15,18.12,18.13,14264
1569942900000,18.135,18.15,18.13,18.1447,14165
1569943800000,18.145,18.15,18.12,18.12,4731
1569944700000,18.125,18.14,18.115,18.1288,5696
1569945600000,18.1272,18.13,18.1,18.105,2301
1569946500000,18.11,18.13,18.11,18.12,4034
1569947400000,18.13,18.13,18.12,18.12,1400
1569948300000,18.125,18.13,18.09,18.09,7005
1569949200000,18.085,18.085,18.04,18.045,1094
1569950100000,18.05,18.05,18.025,18.025,2702
1569951000000,18.03,18.03,17.9674,17.99,9202
1569951900000,17.995,18.0,17.98,17.99,3000
1569952800000,18.0,18.0,17.9241,17.95,11010
1569953700000,17.95,17.97,17.95,17.97,5928
1569954600000,17.97,18.01,17.96,17.97,2401
1569955500000,17.97,17.99,17.97,17.98,3389
1569956400000,17.98,17.99,17.96,17.97,6200
1569957300000,17.975,18.01,17.975,17.998,4702
1569958200000,18.0,18.02,17.99,18.015,4435
1569959100000,18.02,18.03,17.99,18.0,18876
1570023000000,17.99,18.0,17.86,18.0,10418
1570023900000,17.95,17.96,17.85,17.86,4366
1570024800000,17.8447,17.89,17.8447,17.89,8686
1570025700000,17.89,17.91,17.87,17.87,9273
1570026600000,17.86,17.86,17.76,17.76,8645
1570027500000,17.76,17.79,17.745,17.79,1500
1570028400000,17.79,17.8,17.7634,17.775,2534
1570029300000,17.78,17.785,17.75,17.77,2020
1570030200000,17.77,17.77,17.73,17.7394,2543
1570031100000,17.73,17.77,17.73,17.75,3006
1570032000000,17.75,17.7573,17.74,17.74,2901
1570032900000,17.73,17.74,17.7001,17.74,4035
1570033800000,17.735,17.79,17.735,17.765,3003
1570034700000,17.765,17.77,17.73,17.77,2920
1570035600000,17.78,17.8,17.78,17.79,2172
1570036500000,17.79,17.79,17.775,17.78,2619
1570037400000,17.79,17.79,17.77,17.77,2154
1570038300000,17.765,17.7773,17.765,17.7773,800
1570039200000,17.78,17.78,17.77,17.78,1500
1570040100000,17.775,17.81,17.775,17.8,2352
1570041000000,17.82,17.84,17.82,17.84,600
1570041900000,17.84,17.87,17.83,17.87,5261
1570042800000,17.87,17.87,17.82,17.86,6983
1570043700000,17.86,17.87,17.85,17.87,3053
1570044600000,17.862,17.88,17.86,17.88,5925
1570045500000,17.875,17.92,17.858,17.92,26928
1570109400000,17.89,17.9,17.89,17.9,3810
1570110300000,17.8734,17.89,17.86,17.89,1602
1570111200000,17.87,17.88,17.67,17.7,12053
1570112100000,17.7,17.81,17.66,17.795,9313
1570113000000,17.78,17.81,17.78,17.8,4188
1570113900000,17.8028,17.81,17.77,17.81,3825
1570114800000,17.8,17.88,17.8,17.86,4219
1570115700000,17.86,17.87,17.7996,17.8,4315
1570116600000,17.8,17.81,17.78,17.79,4038
1570117500000,17.81,17.83,17.74,17.8226,2982
1570118400000,17.83,17.855,17.82,17.85,2084
1570119300000,17.85,17.86,17.8,17.86,2083
1570120200000,17.86,17.8673,17.845,17.8673,4306
1570121100000,17.87,17.88,17.8,17.8298,5177
1570122000000,17.805,17.81,17.79,17.81,6002
1570122900000,17.81,17.815,17.8,17.8,1675
1570123800000,17.81,17.85,17.8,17.85,4306
1570124700000,17.86,17.87,17.84,17.84,3123
1570125600000,17.83,17.85,17.805,17.82,3300
1570126500000,17.83,17.84,17.82,17.84,3280
1570127400000,17.84,17.85,17.83,17.8448,2950
1570128300000,17.86,17.86,17.82,17.82,3801
1570129200000,17.83,17.89,17.83,17.89,4690
1570130100000,17.89,17.9,17.85,17.87,4822
1570131000000,17.86,17.865,17.8,17.8,10806
1570131900000,17.8,17.84,17.795,17.84,26048
1570195800000,17.85,17.94,17.85,17.91,9912
1570196700000,17.9,17.92,17.89,17.9,2259
1570197600000,17.905,17.905,17.88,17.88,1400
1570198500000,17.88,17.88,17.83,17.83,3101
1570199400000,17.83,17.84,17.81,17.83,4200
1570200300000,17.81,17.85,17.81,17.85,2736
1570201200000,17.85,17.865,17.84,17.8414,2000
1570202100000,17.86,17.86,17.84,17.845,5939
1570203000000,17.845,17.86,17.8099,17.82,8257
1570203900000,17.83,17.86,17.83,17.86,2371
1570204800000,17.8599,17.88,17.85,17.855,3205
1570205700000,17.84,17.84,17.83,17.83,800
1570206600000,17.83,17.83,17.83,17.83,816
1570207500000,17.84,17.84,17.83,17.84,900
1570208400000,17.83,17.84,17.83,17.84,1200
1570209300000,17.8442,17.845,17.8442,17.845,843
1570210200000,17.85,17.86,17.84,17.86,1123
1570211100000,17.86,17.87,17.85,17.85,900
1570212000000,17.85,17.85,17.85,17.85,200
1570212900000,17.87,17.87,17.86,17.865,1227
1570213800000,17.865,17.875,17.86,17.875,2033
