datetime,open,high,low,close,volume
1569504600000,23.19,23.3,22.84,22.895,18232
1569505500000,22.86,22.875,22.69,22.75,17256
1569506400000,22.745,22.88,22.73,22.81,14747
1569507300000,22.75,22.81,22.64,22.795,18272
1569508200000,22.79,22.81,22.71,22.72,7494
1569509100000,22.71,22.79,22.67,22.7,8840
1569510000000,22.69,22.69,22.58,22.58,8343
1569510900000,22.57,22.58,22.44,22.52,8290
1569511800000,22.54,22.56,22.47,22.475,8244
1569512700000,22.49,22.49,22.41,22.455,14857
1569513600000,22.44,22.54,22.39,22.51,11228
1569514500000,22.52,22.605,22.52,22.595,8972
1569515400000,22.57,22.58,22.53,22.55,5100
1569516300000,22.55,22.58,22.53,22.56,6400
1569517200000,22.56,22.62,22.55,22.59,4600
1569518100000,22.58,22.6,22.51,22.54,6950
1569519000000,22.53,22.6,22.52,22.56,8161
1569519900000,22.57,22.57,22.52,22.56,8047
1569520800000,22.59,22.61,22.54,22.58,10769
1569521700000,22.58,22.64,22.55,22.58,9920
1569522600000,22.5801,22.61,22.56,22.59,7180
1569523500000,22.59,22.61,22.56,22.57,9742
1569524400000,22.59,22.6,22.54,22.54,8952
1569525300000,22.53,22.58,22.5,22.54,16644
1569526200000,22.54,22.58,22.52,22.52,18252
1569527100000,22.525,22.53,22.48,22.52,45653
1569591000000,22.49,22.58,22.24,22.24,8105
1569591900000,22.3,22.3,22.01,22.11,5212
1569592800000,22.15,22.16,21.86,21.89,24893
1569593700000,21.89,22.02,21.87,21.98,12599
1569594600000,22.005,22.14,21.96,22.14,30999
1569595500000,22.18,22.22,22.11,22.13,18005
1569596400000,22.15,22.2,22.11,22.2,13003
1569597300000,22.2,22.235,22.14,22.18,15031
1569598200000,22.18,22.2,21.93,22.08,39963
1569599100000,22.03,22.21,22.03,22.21,29460
1569600000000,22.18,22.25,22.15,22.25,24797
1569600900000,22.22,22.25,22.0,22.01,37152
1569601800000,22.02,22.02,21.8,21.8,20160
1569602700000,21.795,21.82,21.59,21.6,69881
1569603600000,21.58,21.64,21.51,21.57,72381
1569604500000,21.55,21.57,21.45,21.5,21897
1569605400000,21.5,21.58,21.46,21.505,67199
1569606300000,21.5,21.5,21.34,21.42,26053
1569607200000,21.44,21.45,21.28,21.3153,18051
1569608100000,21.315,21.315,21.06,21.075,34886
1569609000000,21.075,21.11,21.02,21.0246,70944
1569609900000,21.02,21.05,20.9702,21.02,29586
1569610800000,21.04,21.19,21.03,21.11,45812
1569611700000,21.11,21.27,21.1,21.265,64654
1569612600000,21.265,21.32,21.21,21.32,96908
1569613500000,21.32,21.395,21.245,21.33,266522
1569850200000,20.54,20.735,20.27,20.62,154991
1569851100000,20.63,20.9,20.6,20.61,125852
1569852000000,20.56,20.64,20.43,20.62,74566
1569852900000,20.63,20.645,20.41,20.47,70064
1569853800000,20.475,20.52,20.26,20.26,75610
1569854700000,20.26,20.39,20.24,20.36,46995
1569855600000,20.35,20.5,20.22,20.49,67291
1569856500000,20.48,20.55,20.39,20.485,44011
1569857400000,20.47,20.51,20.41,20.5,41991
