datetime,open,high,low,close,volume
1569504600000,20.98,21.11,20.94,21.07,4981
1569505500000,20.985,21.11,20.95,20.95,29262
1569506400000,20.95,21.01,20.93,20.94,7737
1569507300000,20.93,20.955,20.93,20.94,3110
1569508200000,20.955,20.97,20.87,20.895,5991
1569509100000,20.89,20.92,20.86,20.9,3592
1569510000000,20.89,20.9,20.845,20.89,7856
1569510900000,20.89,20.89,20.83,20.88,12296
1569511800000,20.89,20.94,20.88,20.91,2800
1569512700000,20.9,20.92,20.89,20.91,2107
1569513600000,20.93,20.97,20.93,20.97,1200
1569514500000,20.96,20.96,20.8307,20.87,13363
1569515400000,20.84,20.86,20.84,20.85,1400
1569516300000,20.86,20.89,20.83,20.89,1700
1569517200000,20.91,20.91,20.78,20.79,7931
1569518100000,20.8,20.8,20.75,20.75,4702
1569519000000,20.74,20.75,20.74,20.74,2300
1569519900000,20.75,20.75,20.7,20.71,1529
1569520800000,20.71,20.75,20.71,20.73,3821
1569521700000,20.74,20.75,20.725,20.7402,3052
1569522600000,20.7579,20.7579,20.705,20.7069,6355
1569523500000,20.71,20.73,20.71,20.71,2097
1569524400000,20.72,20.73,20.72,20.73,2959
1569525300000,20.74,20.74,20.66,20.67,4700
1569526200000,20.68,20.725,20.66,20.68,4300
1569527100000,20.685,20.71,20.67,20.68,11174
1569591000000,20.75,20.75,20.74,20.74,2157
1569591900000,20.74,20.79,20.66,20.66,5845
1569592800000,20.66,20.68,20.58,20.61,4200
1569593700000,20.62,20.65,20.6,20.62,4331
1569594600000,20.61,20.61,20.5561,20.6,3900
1569595500000,20.61,20.64,20.61,20.62,5100
1569596400000,20.62,20.63,20.6,20.62,3647
1569597300000,20.645,20.7,20.645,20.66,2767
1569598200000,20.66,20.68,20.56,20.59,4082
1569599100000,20.655,20.655,20.58,20.58,4467
1569600000000,20.57,20.58,20.54,20.58,2961
1569600900000,20.59,20.59,20.57,20.59,2260
1569601800000,20.59,20.605,20.58,20.58,2778
1569602700000,20.57,20.57,20.455,20.46,4189
1569603600000,20.43,20.52,20.43,20.52,2089
1569604500000,20.5,20.5,20.47,20.485,2002
1569605400000,20.47,20.47,20.445,20.45,3414
1569606300000,20.44,20.49,20.42,20.49,3341
1569607200000,20.49,20.49,20.46,20.47,1300
1569608100000,20.46,20.465,20.42,20.42,5100
1569609000000,20.425,20.45,20.42,20.435,1900
1569609900000,20.425,20.43,20.365,20.41,5092
1569610800000,20.43,20.43,20.36,20.37,3100
1569611700000,20.365,20.415,20.365,20.405,3385
1569612600000,20.41,20.425,20.4049,20.42,5857
