datetime,open,high,low,close,volume
1569504600000,3.95,3.98,3.9202,3.9202,12709
1569505500000,3.9201,3.98,3.92,3.92,31132
1569506400000,3.93,3.95,3.845,3.85,37658
1569507300000,3.85,3.85,3.8,3.835,15348
1569508200000,3.83,3.89,3.815,3.87,22881
1569509100000,3.87,3.91,3.87,3.87,12648
1569510000000,3.88,3.89,3.86,3.87,19289
1569510900000,3.8749,3.88,3.85,3.865,9237
1569511800000,3.87,3.889,3.87,3.87,9023
1569512700000,3.875,3.88,3.85,3.87,17126
1569513600000,3.86,3.87,3.85,3.855,11175
1569514500000,3.85,3.86,3.85,3.855,3751
1569515400000,3.855,3.86,3.85,3.855,1300
1569516300000,3.86,3.86,3.85,3.85,6300
1569517200000,3.85,3.86,3.84,3.84,3100
1569518100000,3.84,3.85,3.84,3.84,3550
1569519000000,3.84,3.86,3.84,3.855,6900
1569519900000,3.855,3.86,3.83,3.83,13148
1569520800000,3.835,3.835,3.81,3.81,23653
1569521700000,3.81,3.84,3.81,3.835,8695
1569522600000,3.8325,3.84,3.83,3.835,4900
1569523500000,3.83,3.84,3.83,3.835,8189
1569524400000,3.83,3.845,3.83,3.83,22163
1569525300000,3.83,3.83,3.82,3.825,16239
1569526200000,3.825,3.87,3.82,3.86,108493
1569527100000,3.865,3.89,3.86,3.86,62056
1569591000000,3.95,3.95,3.82,3.85,19079
1569591900000,3.85,3.88,3.83,3.84,13092
1569592800000,3.84,3.85,3.78,3.79,17795
1569593700000,3.7803,3.795,3.61,3.64,135045
1569594600000,3.64,3.68,3.63,3.67,34024
1569595500000,3.68,3.7096,3.68,3.685,20417
1569596400000,3.685,3.725,3.62,3.63,77557
1569597300000,3.63,3.64,3.62,3.62,19668
1569598200000,3.625,3.64,3.605,3.605,37485
1569599100000,3.605,3.67,3.58,3.655,61855
1569600000000,3.66,3.68,3.61,3.63,38128
1569600900000,3.635,3.64,3.59,3.6,24889
1569601800000,3.6,3.61,3.56,3.585,44590
1569602700000,3.585,3.59,3.51,3.52,46931
1569603600000,3.525,3.58,3.51,3.555,47287
1569604500000,3.55,3.55,3.51,3.515,29046
1569605400000,3.515,3.5569,3.515,3.545,31453
1569606300000,3.545,3.59,3.545,3.585,25604
1569607200000,3.59,3.61,3.57,3.575,33738
1569608100000,3.575,3.58,3.57,3.575,8025
1569609000000,3.575,3.61,3.57,3.61,14426
1569609900000,3.605,3.64,3.595,3.635,15938
1569610800000,3.64,3.64,3.63,3.635,13003
1569611700000,3.64,3.68,3.64,3.675,25403
1569612600000,3.675,3.709,3.6703,3.68,40919
1569613500000,3.685,3.725,3.6837,3.72,63781
1569850200000,3.73,3.73,3.65,3.65,5604
1569851100000,3.6533,3.7,3.64,3.7,7247
1569852000000,3.7,3.7001,3.66,3.69,14066
1569852900000,3.685,3.76,3.685,3.74,11897
1569853800000,3.75,3.76,3.71,3.74,10212
1569854700000,3.73,3.755,3.73,3.75,3263
1569855600000,3.74,3.76,3.73,3.735,9647
1569856500000,3.735,3.76,3.72,3.735,40011
1569857400000,3.735,3.77,3.735,3.77,13000
1569858300000,3.7645,3.78,3.705,3.705,17370
1569859200000,3.705,3.73,3.7,3.71,3783
1569860100000,3.7,3.71,3.69,3.705,6154
1569861000000,3.705,3.75,3.705,3.75,6189
1569861900000,3.745,3.78,3.74,3.76,6696
1569862800000,3.76,3.76,3.7503,3.76,3302
1569863700000,3.76,3.78,3.76,3.775,5000
1569864600000,3.77,3.815,3.77,3.815,3806
1569865500000,3.81,3.81,3.785,3.795,9991
1569866400000,3.795,3.8,3.78,3.8,7337
1569867300000,3.8,3.8,3.79,3.8,5114
1569868200000,3.8,3.83,3.8,3.82,22040
1569869100000,3.815,3.815,3.785,3.795,10030
1569870000000,3.79,3.79,3.75,3.755,13474
1569870900000,3.75,3.77,3.735,3.765,12845
1569871800000,3.765,3.765,3.7307,3.75,26964
1569872700000,3.75,3.765,3.735,3.75,90803
1569936600000,3.73,3.77,3.71,3.75,10412
1569937500000,3.755,3.82,3.755,3.8,4924
1569938400000,3.8,3.81,3.71,3.71,9100
1569939300000,3.72,3.72,3.71,3.71,1300
1569940200000,3.71,3.74,3.7,3.725,12006
1569941100000,3.725,3.73,3.67,3.67,37539
1569942000000,3.67,3.71,3.65,3.69,40600
1569942900000,3.68,3.69,3.66,3.675,11173
1569943800000,3.67,3.68,3.66,3.665,5811
1569944700000,3.665,3.67,3.65,3.65,32872
1569945600000,3.655,3.655,3.6,3.605,11882
1569946500000,3.61,3.69,3.61,3.67,104025
1569947400000,3.67,3.71,3.6601,3.7,11435
1569948300000,3.7,3.705,3.67,3.67,8906
1569949200000,3.675,3.675,3.66,3.665,13375
1569950100000,3.66,3.67,3.64,3.655,12111
1569951000000,3.65,3.675,3.64,3.675,29580
1569951900000,3.67,3.67,3.65,3.655,5709
1569952800000,3.65,3.67,3.65,3.665,18327
1569953700000,3.6601,3.67,3.66,3.665,8650
1569954600000,3.663,3.69,3.66,3.68,15239
1569955500000,3.68,3.685,3.67,3.675,8362
1569956400000,3.675,3.705,3.67,3.68,32001
1569957300000,3.685,3.71,3.685,3.695,34880
1569958200000,3.695,3.715,3.665,3.69,74087
1569959100000,3.69,3.7,3.66,3.685,178332
1570023000000,3.64,3.76,3.62,3.76,31067
1570023900000,3.75,3.76,3.6,3.6,45267
1570024800000,3.61,3.665,3.59,3.635,32707
1570025700000,3.64,3.64,3.6,3.615,17568
1570026600000,3.61,3.64,3.6,3.62,59745
1570027500000,3.62,3.63,3.6,3.625,34293
1570028400000,3.625,3.64,3.6,3.6,8761
1570029300000,3.6,3.63,3.6,3.61,13068
1570030200000,3.62,3.66,3.62,3.65,20545
1570031100000,3.655,3.675,3.64,3.67,10600
1570032000000,3.67,3.67,3.65,3.65,5376
1570032900000,3.65,3.68,3.65,3.675,10235
1570033800000,3.675,3.73,3.67,3.71,22659
1570034700000,3.72,3.73,3.71,3.725,3700
1570035600000,3.725,3.785,3.72,3.765,15412
1570036500000,3.765,3.79,3.76,3.78,9430
1570037400000,3.775,3.78,3.75,3.755,8127
1570038300000,3.76,3.76,3.73,3.76,8223
1570039200000,3.755,3.77,3.755,3.77,6850
1570040100000,3.77,3.79,3.76,3.79,3904
1570041000000,3.785,3.79,3.78,3.785,2134
1570041900000,3.785,3.795,3.75,3.7501,13228
1570042800000,3.755,3.76,3.745,3.75,14688
1570043700000,3.75,3.76,3.74,3.755,3211
1570044600000,3.75,3.755,3.72,3.73,16978
1570045500000,3.725,3.725,3.65,3.7,75482
1570109400000,3.69,3.77,3.68,3.68,26440
1570110300000,3.675,3.69,3.65,3.66,37726
1570111200000,3.66,3.66,3.63,3.64,26369
1570112100000,3.65,3.72,3.65,3.71,11700
1570113000000,3.71,3.72,3.64,3.64,15821
1570113900000,3.64,3.69,3.64,3.685,34936
1570114800000,3.685,3.72,3.68,3.7,33095
1570115700000,3.71,3.74,3.71,3.73,4095
1570116600000,3.72,3.73,3.695,3.73,15044
1570117500000,3.72,3.72,3.705,3.705,3709
1570118400000,3.7,3.73,3.7,3.7267,3800
1570119300000,3.72,3.73,3.7,3.73,2944
1570120200000,3.73,3.77,3.73,3.77,4010
1570121100000,3.7502,3.77,3.73,3.74,5006
1570122000000,3.74,3.74,3.74,3.74,100
1570122900000,3.74,3.77,3.72,3.76,1700
1570123800000,3.75,3.77,3.74,3.76,5996
1570124700000,3.76,3.76,3.74,3.75,745
1570125600000,3.74,3.76,3.74,3.76,4800
1570126500000,3.77,3.77,3.76,3.77,1908
1570127400000,3.77,3.77,3.74,3.75,4405
1570128300000,3.76,3.79,3.76,3.76,6880
1570129200000,3.77,3.78,3.74,3.765,6850
1570130100000,3.76,3.76,3.73,3.735,6808
1570131000000,3.73,3.74,3.71,3.725,15093
1570131900000,3.7212,3.75,3.7,3.75,45565
1570195800000,3.76,3.89,3.75,3.83,24098
1570196700000,3.81,3.88,3.78,3.86,20751
1570197600000,3.86,3.93,3.86,3.86,16526
1570198500000,3.86,3.91,3.81,3.82,46460
1570199400000,3.8101,3.8101,3.79,3.8,9869
1570200300000,3.8,3.84,3.79,3.82,5889
1570201200000,3.81,3.815,3.77,3.805,5853
1570202100000,3.815,3.83,3.805,3.805,2810
1570203000000,3.81,3.81,3.79,3.81,6520
1570203900000,3.81,3.85,3.805,3.82,13160
1570204800000,3.825,3.85,3.8,3.83,53660
1570205700000,3.825,3.83,3.75,3.7749,33994
1570206600000,3.78,3.815,3.78,3.815,8300
1570207500000,3.81,3.81,3.8003,3.8033,2097
1570208400000,3.8,3.81,3.79,3.81,18999
1570209300000,3.82,3.83,3.82,3.825,3200
1570210200000,3.82,3.83,3.81,3.825,30370
1570211100000,3.825,3.83,3.81,3.815,27879
1570212000000,3.82,3.83,3.82,3.83,2425
1570212900000,3.825,3.83,3.81,3.815,7247
1570213800000,3.82,3.835,3.82,3.835,3335
1570214700000,3.835,3.84,3.81,3.8106,3099
1570215600000,3.82,3.825,3.815,3.82,4915
1570216500000,3.82,3.82,3.81,3.82,4324
1570217400000,3.82,3.845,3.82,3.84,24748
1570218300000,3.84,3.89,3.84,3.88,82996
1570455000000,3.88,3.96,3.83,3.88,15407
1570455900000,3.88,3.96,3.86,3.95,39837
1570456800000,3.95,3.96,3.925,3.93,7197
1570457700000,3.93,3.95,3.93,3.9379,8429
1570458600000,3.94,3.97,3.94,3.97,4800
1570459500000,3.97,3.99,3.9633,3.99,4358
1570460400000,3.995,4.03,3.99,3.99,9177
1570461300000,3.995,4.0,3.98,4.0,12214
1570462200000,3.98,4.01,3.98,4.01,4595
1570463100000,4.01,4.015,3.995,4.01,4749
1570464000000,4.02,4.02,3.995,4.005,5037
1570464900000,4.01,4.03,4.01,4.025,3581
1570465800000,4.02,4.02,4.0,4.015,5200
1570466700000,4.02,4.02,4.02,4.02,3100
1570467600000,4.02,4.02,3.97,3.97,6748
1570468500000,3.96,3.99,3.95,3.99,3791
1570469400000,4.0,4.02,4.0,4.0,9376
1570470300000,4.01,4.01,4.0,4.0,600
1570471200000,4.0,4.005,3.97,3.98,7161
1570472100000,3.97,3.99,3.97,3.985,5800
1570473000000,3.98,3.98,3.965,3.98,3865
1570473900000,3.98,3.98,3.95,3.96,12321
1570474800000,3.96,3.99,3.955,3.975,7896
1570475700000,3.975,3.98,3.96,3.96,3681
1570476600000,3.96,3.975,3.94,3.94,9441
1570477500000,3.94,3.94,3.91,3.93,35416
1570541400000,3.88,3.89,3.82,3.82,5011
1570542300000,3.87,3.87,3.83,3.83,5329
1570543200000,3.84,3.9,3.82,3.885,11715
1570544100000,3.89,3.89,3.84,3.84,9731
1570545000000,3.84,3.89,3.84,3.89,9329
1570545900000,3.89,3.93,3.87,3.91,23905
1570546800000,3.91,3.91,3.88,3.88,6900
1570547700000,3.88,3.89,3.87,3.87,15739
1570548600000,3.87,3.875,3.84,3.86,14417
1570549500000,3.865,3.87,3.85,3.87,2769
1570550400000,3.87,3.9,3.87,3.895,4040
1570551300000,3.9,3.91,3.895,3.895,4599
1570552200000,3.89,3.89,3.87,3.89,3100
1570553100000,3.89,3.905,3.885,3.885,3700
1570554000000,3.88,3.885,3.86,3.865,3200
1570554900000,3.86,3.88,3.85,3.875,4462
1570555800000,3.87,3.93,3.87,3.93,7087
1570556700000,3.925,3.94,3.925,3.925,12900
1570557600000,3.925,3.93,3.905,3.905,7200
1570558500000,3.905,3.905,3.88,3.89,6950
1570559400000,3.89,3.92,3.89,3.91,5100
1570560300000,3.9,3.93,3.87,3.89,8650
1570561200000,3.885,3.9,3.87,3.88,5260
1570562100000,3.88,3.88,3.85,3.86,4450
1570563000000,3.85,3.86,3.82,3.855,17772
1570563900000,3.86,3.86,3.83,3.85,31289
1570627800000,3.87,3.93,3.87,3.91,7320
1570628700000,3.9,3.95,3.89,3.95,4474
1570629600000,3.95,3.97,3.93,3.93,8349
1570630500000,3.94,3.96,3.93,3.96,3300
