datetime,open,high,low,close,volume
1569504600000,8.45,8.46,8.415,8.425,82033
1569505500000,8.43,8.435,8.37,8.41,51520
1569506400000,8.41,8.48,8.405,8.45,314404
1569507300000,8.44,8.475,8.44,8.46,34687
1569508200000,8.455,8.47,8.45,8.465,25823
1569509100000,8.465,8.47,8.43,8.45,232763
1569510000000,8.455,8.46,8.42,8.43,90871
1569510900000,8.43,8.45,8.42,8.435,40877
1569511800000,8.44,8.45,8.42,8.425,50826
1569512700000,8.43,8.44,8.4,8.41,82988
1569513600000,8.41,8.44,8.4,8.44,85873
1569514500000,8.435,8.45,8.435,8.445,74347
1569515400000,8.445,8.49,8.445,8.485,30490
1569516300000,8.485,8.5,8.48,8.49,32863
1569517200000,8.5,8.52,8.47,8.4731,69806
1569518100000,8.475,8.52,8.475,8.51,85951
1569519000000,8.5,8.51,8.49,8.505,48898
1569519900000,8.505,8.51,8.49,8.495,35569
1569520800000,8.495,8.5,8.49,8.5,45756
1569521700000,8.495,8.55,8.48,8.525,147834
1569522600000,8.53,8.535,8.495,8.495,156459
1569523500000,8.5,8.52,8.49,8.505,106129
1569524400000,8.51,8.54,8.51,8.525,105245
1569525300000,8.525,8.53,8.49,8.505,88683
1569526200000,8.51,8.52,8.5,8.515,81963
1569527100000,8.52,8.53,8.47,8.485,427584
1569591000000,8.44,8.575,8.42,8.575,30074
1569591900000,8.57,8.595,8.55,8.57,29365
1569592800000,8.575,8.58,8.54,8.575,12175
1569593700000,8.57,8.605,8.57,8.59,17051
1569594600000,8.585,8.61,8.57,8.575,32204
1569595500000,8.575,8.62,8.56,8.61,34661
1569596400000,8.615,8.615,8.58,8.58,17886
1569597300000,8.585,8.6,8.56,8.59,18950
1569598200000,8.59,8.6399,8.57,8.575,65165
1569599100000,8.57,8.59,8.56,8.56,20988
1569600000000,8.56,8.58,8.535,8.58,21088
1569600900000,8.57,8.58,8.55,8.555,25078
1569601800000,8.55,8.56,8.53,8.545,15825
1569602700000,8.54,8.56,8.52,8.52,42795
1569603600000,8.52,8.54,8.51,8.52,41482
1569604500000,8.52,8.525,8.51,8.515,20085
1569605400000,8.52,8.54,8.5,8.505,49258
1569606300000,8.51,8.52,8.49,8.495,97578
1569607200000,8.495,8.5,8.46,8.485,67636
1569608100000,8.485,8.5,8.48,8.49,56529
1569609000000,8.49,8.49,8.45,8.465,73611
1569609900000,8.465,8.485,8.44,8.45,90380
1569610800000,8.455,8.48,8.44,8.445,57662
1569611700000,8.44,8.46,8.42,8.445,123720
1569612600000,8.445,8.45,8.42,8.43,75369
1569613500000,8.435,8.45,8.4,8.42,398821
1569850200000,8.35,8.43,8.35,8.43,44126
1569851100000,8.42,8.45,8.4,8.45,27846
1569852000000,8.455,8.5,8.4322,8.5,13423
1569852900000,8.49,8.5,8.4725,8.4725,11488
1569853800000,8.475,8.485,8.425,8.425,71433
1569854700000,8.425,8.45,8.405,8.425,65599
1569855600000,8.435,8.435,8.405,8.41,20484
1569856500000,8.41,8.45,8.41,8.44,26691
1569857400000,8.435,8.44,8.4,8.415,37865
1569858300000,8.41,8.41,8.39,8.41,31391
