datetime,open,high,low,close,volume
1591968600000,18.27,18.34,18.27,18.28,4554
1591969500000,18.15,18.15,17.78,17.8048,2305
1591970400000,17.99,18.1995,17.87,17.87,4110
1591971300000,17.81,17.87,17.62,17.62,4371
1591972200000,17.63,17.71,17.55,17.65,8157
1591973100000,17.63,17.66,17.35,17.35,4751
1591974000000,17.33,17.47,17.18,17.34,4207
1591974900000,17.33,17.33,17.2,17.26,2703
1591975800000,17.3,17.4557,17.28,17.42,2266
1591976700000,17.37,17.43,17.36,17.43,1500
1591977600000,17.47,17.51,17.41,17.46,11346
1591978500000,17.44,17.46,17.31,17.38,4539
1591979400000,17.35,17.35,17.295,17.3,2853
1591980300000,17.28,17.32,17.2021,17.32,3903
1591981200000,17.32,17.33,17.21,17.23,6149
1591982100000,17.22,17.23,17.13,17.21,7046
1591983000000,17.17,17.19,16.96,16.96,5536
1591983900000,16.94,16.98,16.83,16.85,5412
1591984800000,16.88,16.98,16.88,16.95,4120
1591985700000,16.92,17.02,16.92,16.97,2838
1591986600000,17.0,17.1,16.91,16.98,5966
1591987500000,16.985,17.06,16.98,16.99,4937
1591988400000,17.04,17.19,17.04,17.14,5320
1591989300000,17.145,17.145,16.9,16.98,6984
1591990200000,16.99,17.1,16.93,17.08,10184
1591991100000,17.09,17.32,17.09,17.3,34671
