datetime,open,high,low,close,volume
1569504600000,17.8,17.87,17.64,17.78,75201
1569505500000,17.78,17.79,17.71,17.745,21570
1569506400000,17.7416,17.78,17.66,17.69,48690
1569507300000,17.68,17.68,17.63,17.64,12331
1569508200000,17.63,17.64,17.53,17.54,65881
1569509100000,17.53,17.61,17.52,17.54,67276
1569510000000,17.53,17.53,17.37,17.42,100710
1569510900000,17.43,17.43,17.34,17.415,57963
1569511800000,17.41,17.57,17.405,17.53,35216
1569512700000,17.52,17.56,17.52,17.56,14860
1569513600000,17.55,17.62,17.55,17.62,14098
1569514500000,17.6143,17.63,17.59,17.6,42841
1569515400000,17.6,17.6,17.57,17.585,17032
1569516300000,17.5816,17.59,17.55,17.57,21806
1569517200000,17.575,17.595,17.485,17.51,58089
1569518100000,17.5,17.53,17.5,17.51,8872
1569519000000,17.51,17.53,17.49,17.51,17737
1569519900000,17.51,17.555,17.51,17.53,25704
1569520800000,17.54,17.57,17.52,17.5301,13460
1569521700000,17.52,17.54,17.515,17.52,8472
1569522600000,17.52,17.54,17.515,17.54,15306
1569523500000,17.54,17.54,17.47,17.47,21714
1569524400000,17.46,17.51,17.455,17.47,21566
1569525300000,17.47,17.5,17.36,17.5,80471
1569526200000,17.495,17.52,17.48,17.51,31297
1569527100000,17.515,17.55,17.44,17.46,176825
1569591000000,17.52,17.56,17.49,17.53,17159
1569591900000,17.53,17.55,17.455,17.485,34614
1569592800000,17.49,17.49,17.41,17.41,12110
1569593700000,17.42,17.45,17.41,17.43,12330
1569594600000,17.43,17.48,17.43,17.46,12871
1569595500000,17.45,17.46,17.4,17.445,20083
1569596400000,17.44,17.47,17.435,17.47,15122
1569597300000,17.46,17.57,17.455,17.57,17640
1569598200000,17.55,17.55,17.39,17.41,50916
1569599100000,17.4,17.48,17.39,17.45,32868
1569600000000,17.44,17.44,17.39,17.405,26720
1569600900000,17.4,17.4,17.34,17.36,38391
1569601800000,17.35,17.39,17.34,17.36,24509
1569602700000,17.365,17.37,17.305,17.315,32658
1569603600000,17.31,17.32,17.285,17.31,21713
1569604500000,17.3,17.315,17.28,17.315,22477
1569605400000,17.31,17.31,17.28,17.305,12827
1569606300000,17.31,17.32,17.285,17.3,32792
1569607200000,17.3,17.31,17.275,17.305,23667
1569608100000,17.31,17.31,17.29,17.3,21810
1569609000000,17.3,17.33,17.28,17.33,19194
1569609900000,17.33,17.34,17.3,17.34,13049
1569610800000,17.33,17.36,17.33,17.36,12046
1569611700000,17.365,17.4,17.365,17.39,28833
1569612600000,17.39,17.445,17.39,17.445,28333
1569613500000,17.445,17.46,17.36,17.38,115545
1569850200000,17.33,17.36,17.29,17.29,13960
1569851100000,17.3,17.305,17.19,17.2,23221
1569852000000,17.2,17.29,17.19,17.28,15141
1569852900000,17.3,17.33,17.24,17.32,73089
1569853800000,17.33,17.35,17.33,17.33,10245
1569854700000,17.335,17.35,17.325,17.34,12872
1569855600000,17.34,17.3455,17.32,17.32,14096
1569856500000,17.325,17.36,17.315,17.3561,10684
1569857400000,17.36,17.38,17.33,17.35,10420
1569858300000,17.36,17.36,17.33,17.33,8967
1569859200000,17.34,17.345,17.29,17.29,10140
1569860100000,17.28,17.28,17.235,17.245,31590
1569861000000,17.25,17.27,17.23,17.245,13912
1569861900000,17.24,17.25,17.23,17.25,9708
1569862800000,17.25,17.25,17.19,17.205,16351
1569863700000,17.2,17.22,17.18,17.2,21283
1569864600000,17.2,17.3,17.19,17.3,27589
1569865500000,17.3,17.309,17.27,17.275,12922
1569866400000,17.275,17.305,17.25,17.285,16453
1569867300000,17.28,17.315,17.27,17.29,44438
1569868200000,17.29,17.3,17.2727,17.295,17429
1569869100000,17.295,17.305,17.275,17.275,18146
1569870000000,17.28,17.29,17.27,17.28,16139
1569870900000,17.275,17.28,17.24,17.26,29191
1569871800000,17.26,17.29,17.25,17.28,36180
1569872700000,17.275,17.3,17.25,17.27,113618
1569936600000,17.26,17.27,17.16,17.25,33003
1569937500000,17.245,17.245,17.14,17.15,26242
1569938400000,17.14,17.165,17.01,17.03,27716
1569939300000,17.03,17.07,17.0,17.07,26147
1569940200000,17.065,17.08,17.01,17.03,28816
1569941100000,17.02,17.08,17.01,17.08,23721
1569942000000,17.08,17.0807,17.05,17.08,15827
1569942900000,17.08,17.16,17.07,17.16,8526
1569943800000,17.17,17.18,17.15,17.17,53323
1569944700000,17.17,17.195,17.15,17.195,53171
1569945600000,17.195,17.195,17.11,17.12,11377
