datetime,open,high,low,close,volume
1591968600000,3.3,3.398,3.29,3.35,425028
1591969500000,3.36,3.37,3.271,3.3073,158910
1591970400000,3.31,3.3499,3.29,3.3,109849
1591971300000,3.29,3.295,3.23,3.23,85823
1591972200000,3.225,3.25,3.19,3.19,152313
1591973100000,3.1972,3.21,3.11,3.1478,248167
1591974000000,3.15,3.18,3.11,3.1528,210151
1591974900000,3.1588,3.18,3.11,3.1372,108207
1591975800000,3.1372,3.175,3.1,3.14,186883
1591976700000,3.14,3.2,3.14,3.195,99155
1591977600000,3.195,3.2199,3.1728,3.19,61580
1591978500000,3.19,3.2,3.18,3.185,32468
1591979400000,3.1873,3.1873,3.1473,3.1473,65243
1591980300000,3.14,3.18,3.1277,3.18,43280
1591981200000,3.19,3.19,3.1488,3.1633,46970
1591982100000,3.16,3.17,3.15,3.1572,20925
1591983000000,3.16,3.16,3.1073,3.11,57557
1591983900000,3.11,3.11,3.06,3.0772,139896
1591984800000,3.08,3.1,3.07,3.0955,80606
1591985700000,3.1,3.12,3.0827,3.12,27805
1591986600000,3.12,3.14,3.1,3.11,63438
1591987500000,3.11,3.16,3.11,3.1572,58017
1591988400000,3.16,3.22,3.16,3.19,107586
1591989300000,3.1873,3.19,3.1328,3.15,81644
1591990200000,3.15,3.19,3.14,3.18,54291
1591991100000,3.19,3.24,3.183,3.23,321887
