datetime,open,high,low,close,volume
1569504600000,37.36,37.47,37.1074,37.36,4119
1569505500000,37.395,37.51,37.395,37.5,900
1569506400000,37.5,37.85,37.4978,37.7,4372
1569507300000,37.69,38.1,37.69,38.05,9460
1569508200000,38.05,38.05,37.82,37.84,4415
1569509100000,37.84,38.0,37.79,37.93,4512
1569510000000,37.83,37.83,37.47,37.52,3639
1569510900000,37.6,37.6,37.0051,37.225,12013
1569511800000,37.3099,37.68,37.23,37.6299,13208
1569512700000,37.64,37.7299,37.44,37.44,6492
1569513600000,37.43,37.645,37.43,37.645,3781
1569514500000,37.65,37.79,37.59,37.79,10123
1569515400000,37.825,37.9,37.75,37.8,3583
1569516300000,37.775,37.85,37.65,37.69,8775
1569517200000,37.71,37.735,37.51,37.5525,6500
1569518100000,37.51,37.64,37.51,37.615,3854
1569519000000,37.64,37.86,37.64,37.795,4000
1569519900000,37.78,37.86,37.78,37.815,2624
1569520800000,37.825,37.87,37.75,37.82,6064
1569521700000,37.8,37.84,37.66,37.67,6900
1569522600000,37.66,37.74,37.64,37.69,5770
1569523500000,37.685,37.86,37.65,37.81,6798
1569524400000,37.85,37.99,37.8,37.845,5351
1569525300000,37.87,37.87,37.71,37.76,9650
1569526200000,37.77,37.82,37.51,37.54,11314
1569527100000,37.535,37.65,37.43,37.51,44680
1569591000000,37.51,38.37,37.3715,38.22,7302
1569591900000,38.22,38.66,38.16,38.29,59521
1569592800000,38.31,38.45,38.13,38.34,4479
1569593700000,38.31,38.42,38.12,38.415,5470
1569594600000,38.36,38.66,38.25,38.66,6472
1569595500000,38.63,38.97,38.6,38.925,7335
1569596400000,38.9,39.01,38.255,38.3,27814
1569597300000,38.35,38.35,37.965,38.1,14258
1569598200000,38.11,38.22,37.75,38.17,5057
1569599100000,38.0,38.09,37.8,37.82,3938
1569600000000,37.83,37.845,37.53,37.75,9125
1569600900000,37.76,37.9,37.71,37.85,3050
1569601800000,37.82,37.92,37.725,37.725,3500
1569602700000,37.75,37.75,37.47,37.47,26219
1569603600000,37.415,37.86,37.4,37.83,5072
1569604500000,37.83,37.86,37.64,37.64,3425
1569605400000,37.67,37.76,37.52,37.715,6102
1569606300000,37.68,37.87,37.62,37.87,4300
1569607200000,37.84,37.84,37.705,37.705,2700
1569608100000,37.76,37.76,37.61,37.61,3983
1569609000000,37.63,37.66,37.565,37.6,7851
1569609900000,37.6,37.64,37.43,37.5144,8748
1569610800000,37.54,37.76,37.54,37.63,13183
1569611700000,37.68,37.86,37.65,37.78,7227
1569612600000,37.795,37.8199,37.67,37.71,12745
1569613500000,37.695,37.85,37.66,37.79,32816
1569850200000,38.0,38.0,37.65,37.7,5321
1569851100000,37.77,37.85,37.71,37.71,2397
1569852000000,37.71,37.71,37.41,37.52,1828
1569852900000,37.58,37.73,37.58,37.6,500
1569853800000,37.6975,37.76,37.57,37.57,46406
1569854700000,37.45,37.485,37.08,37.08,6811
1569855600000,37.03,37.16,36.7,36.87,3841
1569856500000,36.87,36.8908,36.73,36.86,3434
1569857400000,36.87,36.98,36.73,36.88,5300
1569858300000,36.85,36.92,36.74,36.87,2425
1569859200000,36.9,36.94,36.62,36.62,4311
1569860100000,36.62,36.68,36.36,36.68,6547
1569861000000,36.71,36.71,36.37,36.5,5874
1569861900000,36.49,36.52,36.41,36.41,2700
1569862800000,36.43,36.64,36.4,36.63,6338
1569863700000,36.5761,36.5761,36.38,36.42,4794
1569864600000,36.4,36.93,36.4,36.85,7831
1569865500000,36.805,37.51,36.805,37.08,29466
1569866400000,36.92,37.12,36.87,37.06,3630
1569867300000,37.06,37.08,36.86,37.01,2900
1569868200000,37.04,37.3,36.975,37.23,5162
1569869100000,37.14,37.21,37.11,37.16,2380
1569870000000,37.095,37.22,37.04,37.09,5807
1569870900000,37.08,37.1,36.965,37.04,6383
1569871800000,36.995,37.275,36.7,36.76,17585
1569872700000,36.77,36.79,36.45,36.64,26872
1569936600000,36.95,37.23,36.66,37.23,4598
1569937500000,37.23,37.88,37.23,37.58,11315
1569938400000,37.735,37.735,37.215,37.28,3600
1569939300000,37.19,37.295,37.08,37.19,2200
1569940200000,37.15,37.18,36.82,36.82,5503
1569941100000,36.86,36.95,36.76,36.835,3440
1569942000000,36.835,37.1,36.835,36.96,2300
1569942900000,36.9,36.95,36.75,36.87,3857
1569943800000,36.81,36.97,36.7,36.815,2440
1569944700000,36.76,36.82,36.635,36.7,2100
1569945600000,36.79,36.79,36.5,36.5,1250
1569946500000,36.435,36.61,36.43,36.49,1810
1569947400000,36.495,36.74,36.495,36.74,1704
1569948300000,36.78,36.81,36.6,36.6,2200
1569949200000,36.62,36.77,36.52,36.55,8272
1569950100000,36.51,36.57,36.3,36.35,4085
1569951000000,36.44,36.44,36.355,36.4035,1000
1569951900000,36.3996,36.44,36.25,36.25,4128
1569952800000,36.2275,36.24,36.12,36.16,4372
1569953700000,36.12,36.12,35.88,35.95,9502
1569954600000,35.97,36.25,35.965,36.2,2110
1569955500000,36.24,36.315,36.09,36.21,3618
1569956400000,36.17,36.21,36.095,36.1256,2400
1569957300000,36.125,36.305,36.1,36.2,5185
1569958200000,36.195,36.265,36.18,36.26,3900
1569959100000,36.26,36.28,35.89,35.9,38340
1570023000000,35.85,35.97,35.53,35.5805,8891
1570023900000,35.62,35.67,35.25,35.3,14430
1570024800000,35.48,35.7699,35.3206,35.74,5235
1570025700000,35.75,36.19,35.75,36.19,5504
1570026600000,36.11,36.46,35.9,36.405,20966
1570027500000,36.43,36.46,35.93,36.04,8384
1570028400000,36.145,36.2,36.0,36.04,4572
1570029300000,36.24,36.64,36.135,36.33,13385
1570030200000,36.355,36.425,35.9,36.01,12061
1570031100000,36.01,36.01,35.9,35.97,12476
1570032000000,35.9,36.03,35.9,35.935,2769
1570032900000,35.93,35.94,35.62,35.8255,19600
1570033800000,35.8,35.905,35.7,35.73,5388
1570034700000,35.69,35.79,35.675,35.72,1700
1570035600000,35.805,35.87,35.73,35.87,1040
1570036500000,35.87,35.875,35.76,35.81,1900
1570037400000,35.85,35.86,35.79,35.824,1816
1570038300000,35.83,35.9,35.82,35.885,1000
1570039200000,35.83,35.96,35.67,35.73,1400
1570040100000,35.75,35.92,35.75,35.92,1600
1570041000000,35.9,36.0704,35.9,36.01,1400
1570041900000,36.05,36.265,36.04,36.13,1800
1570042800000,36.16,36.16,36.05,36.1,1307
1570043700000,36.09,36.35,36.09,36.255,5265
1570044600000,36.28,36.36,36.25,36.325,5800
1570045500000,36.32,36.53,36.29,36.53,21627
1570109400000,36.38,37.16,36.38,36.86,2740
1570110300000,36.635,37.08,36.45,36.45,3132
1570111200000,36.39,36.39,36.01,36.23,2500
1570112100000,36.215,36.32,36.13,36.32,793
1570113000000,36.3,36.37,36.165,36.23,4583
1570113900000,36.24,36.34,36.09,36.34,4119
1570114800000,36.443,37.07,36.41,36.89,6347
1570115700000,37.05,37.145,36.86,36.86,26090
1570116600000,36.84,36.84,36.516,36.625,1450
1570117500000,36.865,36.865,36.36,36.575,3792
1570118400000,36.66,36.995,36.66,36.99,2847
1570119300000,36.8816,36.8816,36.78,36.78,1314
1570120200000,37.02,37.22,36.9564,37.07,2301
1570121100000,37.1,37.16,37.03,37.03,1200
1570122000000,37.01,37.16,36.93,37.14,1697
1570122900000,37.1,37.275,37.02,37.26,2700
1570123800000,37.26,37.32,37.14,37.32,4270
1570124700000,37.3,37.4,37.3,37.4,3475
1570125600000,37.4,37.48,37.39,37.41,3855
1570126500000,37.46,37.67,37.43,37.645,5752
1570127400000,37.68,37.68,37.46,37.54,2200
1570128300000,37.58,37.6,37.49,37.52,3063
1570129200000,37.5,37.51,37.34,37.42,2395
1570130100000,37.43,37.43,37.135,37.15,4508
1570131000000,37.09,37.185,37.04,37.18,9011
1570131900000,37.22,37.54,37.13,37.45,29329
1570195800000,37.61,38.5199,37.4945,38.0,11742
1570196700000,38.1199,38.48,37.765,38.445,9580
1570197600000,38.32,38.32,37.54,37.585,7187
1570198500000,37.53,37.57,37.185,37.24,7345
1570199400000,37.32,37.32,36.98,36.98,5150
1570200300000,37.1,37.37,37.1,37.335,2246
1570201200000,37.25,37.38,37.18,37.24,2118
1570202100000,37.29,37.41,37.25,37.41,1100
1570203000000,37.41,37.57,37.37,37.55,2142
1570203900000,37.57,37.62,37.4,37.4,2300
1570204800000,37.44,37.55,37.42,37.42,1300
1570205700000,37.37,37.56,37.37,37.525,2900
1570206600000,37.56,37.59,37.535,37.58,1711
1570207500000,37.53,37.56,37.37,37.37,2700
1570208400000,37.36,37.49,37.34,37.46,2460
1570209300000,37.41,37.575,37.41,37.56,1755
1570210200000,37.52,37.7,37.5096,37.69,1617
1570211100000,37.63,37.64,37.6,37.64,400
1570212000000,37.67,37.75,37.5601,37.6,3327
1570212900000,37.6,37.68,37.51,37.57,3200
1570213800000,37.5072,37.56,37.48,37.56,2400
1570214700000,37.55,37.63,37.55,37.595,2200
1570215600000,37.5978,37.67,37.58,37.62,4144
1570216500000,37.59,37.63,37.44,37.44,5161
1570217400000,37.4,37.55,37.4,37.475,4378
1570218300000,37.48,37.6,37.44,37.55,14556
1570455000000,37.55,37.55,37.1,37.1,2680
1570455900000,37.05,37.45,37.05,37.34,2384
1570456800000,37.33,37.42,37.0,37.38,5002
1570457700000,37.38,37.38,37.08,37.15,1500
1570458600000,37.16,37.44,37.12,37.31,14649
1570459500000,37.31,37.51,37.255,37.42,3350
1570460400000,37.4324,37.6,37.43,37.475,2300
1570461300000,37.47,37.505,37.405,37.48,3267
1570462200000,37.46,37.69,37.44,37.69,3474
1570463100000,37.68,37.68,37.49,37.56,1159
1570464000000,37.46,37.5237,37.35,37.45,2635
