datetime,open,high,low,close,volume
1591968600000,7.35,7.4,7.21,7.295,199645
1591969500000,7.28,7.285,7.17,7.2,95556
1591970400000,7.21,7.24,7.18,7.18,75646
1591971300000,7.18,7.2026,7.09,7.1,53231
1591972200000,7.1,7.105,7.03,7.04,64885
1591973100000,7.04,7.08,6.975,6.985,102486
1591974000000,6.99,7.05,6.935,6.98,107059
1591974900000,6.98,7.01,6.93,6.975,118325
1591975800000,6.9733,7.02,6.96,6.99,101073
1591976700000,6.99,7.05,6.98,7.05,50715
1591977600000,7.06,7.11,7.04,7.11,52492
1591978500000,7.11,7.12,7.075,7.09,35178
1591979400000,7.09,7.12,7.07,7.095,34165
1591980300000,7.09,7.115,7.065,7.11,33148
1591981200000,7.1,7.105,7.08,7.105,26309
1591982100000,7.1,7.1,7.05,7.0598,51844
1591983000000,7.06,7.065,7.0,7.015,45779
1591983900000,7.01,7.01,6.945,6.955,74459
1591984800000,6.95,7.03,6.945,7.02,55251
1591985700000,7.02,7.045,7.005,7.04,27355
1591986600000,7.04,7.1,7.02,7.05,80697
1591987500000,7.05,7.085,7.05,7.08,42217
1591988400000,7.09,7.15,7.07,7.15,90284
1591989300000,7.145,7.145,7.1,7.12,46614
1591990200000,7.125,7.2,7.11,7.17,93020
1591991100000,7.179,7.21,7.15,7.18,337694
