datetime,open,high,low,close,volume
1569504600000,14.21,14.42,14.21,14.39,321441
1569505500000,14.41,14.49,14.37,14.395,113681
1569506400000,14.4,14.465,14.35,14.425,308955
1569507300000,14.425,14.455,14.35,14.385,79791
1569508200000,14.385,14.42,14.35,14.395,61600
1569509100000,14.39,14.425,14.27,14.3,118536
1569510000000,14.2975,14.34,14.2975,14.3,98872
1569510900000,14.3,14.32,14.25,14.275,79713
1569511800000,14.27,14.335,14.27,14.325,88978
1569512700000,14.325,14.34,14.23,14.24,59988
1569513600000,14.24,14.25,14.2,14.231,75914
1569514500000,14.235,14.25,14.1,14.14,88719
1569515400000,14.145,14.145,14.01,14.065,63708
1569516300000,14.06,14.11,14.05,14.065,55451
1569517200000,14.06,14.14,14.06,14.11,45709
1569518100000,14.11,14.18,14.1,14.18,75844
1569519000000,14.17,14.21,14.17,14.18,70021
1569519900000,14.19,14.22,14.18,14.2,35924
1569520800000,14.19,14.23,14.19,14.23,54907
1569521700000,14.22,14.25,14.125,14.14,70683
1569522600000,14.15,14.19,14.14,14.14,53266
1569523500000,14.145,14.21,14.14,14.15,150572
1569524400000,14.15,14.2,14.15,14.185,62121
1569525300000,14.18,14.205,14.13,14.17,81262
1569526200000,14.17,14.18,14.15,14.175,234223
1569527100000,14.175,14.26,14.16,14.25,578385
1569591000000,14.19,14.41,14.09,14.36,69148
1569591900000,14.36,14.38,14.28,14.29,36028
1569592800000,14.28,14.31,14.23,14.31,35749
1569593700000,14.3,14.41,14.3,14.41,34999
1569594600000,14.41,14.45,14.37,14.39,33627
1569595500000,14.39,14.395,14.32,14.36,41617
1569596400000,14.36,14.415,14.34,14.35,48646
1569597300000,14.36,14.44,14.36,14.4357,33541
1569598200000,14.44,14.445,14.31,14.31,71338
1569599100000,14.3,14.37,14.27,14.3,40200
1569600000000,14.3,14.33,14.28,14.32,29180
1569600900000,14.32,14.34,14.28,14.32,32636
1569601800000,14.325,14.35,14.31,14.34,24651
1569602700000,14.33,14.37,14.305,14.355,98939
1569603600000,14.36,14.435,14.35,14.425,42341
1569604500000,14.42,14.45,14.38,14.415,51347
1569605400000,14.41,14.425,14.39,14.41,48798
1569606300000,14.4,14.43,14.38,14.43,32787
1569607200000,14.43,14.44,14.395,14.42,43230
1569608100000,14.41,14.435,14.38,14.43,43903
1569609000000,14.43,14.43,14.35,14.35,53732
1569609900000,14.35,14.38,14.335,14.335,46492
1569610800000,14.33,14.36,14.3,14.3068,77436
1569611700000,14.31,14.33,14.3,14.3,87007
1569612600000,14.3,14.32,14.26,14.3,124345
1569613500000,14.31,14.39,14.29,14.37,287803
1569850200000,14.38,14.45,14.2,14.25,143546
1569851100000,14.25,14.3,14.23,14.295,50142
1569852000000,14.3,14.36,14.26,14.355,156762
1569852900000,14.365,14.58,14.365,14.54,91738
1569853800000,14.54,14.5845,14.4,14.4,59533
1569854700000,14.4,14.465,14.375,14.4,33833
1569855600000,14.41,14.43,14.28,14.3,59207
1569856500000,14.3,14.32,14.28,14.31,31242
1569857400000,14.3,14.33,14.29,14.315,38597
1569858300000,14.315,14.325,14.29,14.31,50099
1569859200000,14.31,14.37,14.31,14.34,26463
1569860100000,14.34,14.4,14.34,14.36,133086
1569861000000,14.37,14.38,14.35,14.36,34576
1569861900000,14.35,14.4,14.34,14.395,33321
1569862800000,14.39,14.4,14.36,14.37,19696
1569863700000,14.37,14.4,14.34,14.39,36841
1569864600000,14.395,14.45,14.39,14.45,38902
1569865500000,14.44,14.475,14.43,14.44,49535
1569866400000,14.44,14.46,14.43,14.45,28524
1569867300000,14.45,14.46,14.43,14.44,31654
1569868200000,14.43,14.5,14.43,14.5,93982
1569869100000,14.495,14.52,14.46,14.46,42591
1569870000000,14.455,14.46,14.41,14.43,44440
1569870900000,14.42,14.46,14.42,14.455,52050
1569871800000,14.455,14.48,14.45,14.475,81535
1569872700000,14.47,14.575,14.47,14.55,363252
1569936600000,14.62,14.73,14.52,14.66,38646
1569937500000,14.68,14.705,14.595,14.6,164779
1569938400000,14.62,14.635,14.5,14.53,95898
1569939300000,14.53,14.575,14.53,14.56,141616
