datetime,open,high,low,close,volume
1569504600000,29.13,29.42,29.095,29.18,5785
1569505500000,29.18,29.27,28.82,28.91,4300
1569506400000,28.98,29.11,28.89,29.005,2500
1569507300000,28.78,28.99,28.71,28.76,1344
1569508200000,28.74,28.75,28.72,28.73,1600
1569509100000,28.74,28.77,28.62,28.62,3251
1569510000000,28.62,28.66,28.39,28.4,53232
1569510900000,28.5,28.55,28.38,28.55,23164
1569511800000,28.55,28.555,28.44,28.52,6315
1569512700000,28.535,28.535,28.33,28.34,25673
1569513600000,28.34,28.48,28.34,28.4,4700
1569514500000,28.39,28.39,28.35,28.35,17200
1569515400000,28.35,28.385,28.35,28.385,3703
1569516300000,28.39,28.56,28.39,28.48,6111
1569517200000,28.545,28.57,28.5,28.5041,10761
1569518100000,28.49,28.495,28.46,28.46,5900
1569519000000,28.465,28.48,28.45,28.47,8293
1569519900000,28.46,28.52,28.46,28.5,10427
1569520800000,28.505,28.56,28.48,28.5,6000
1569521700000,28.51,28.57,28.47,28.51,4669
1569522600000,28.51,28.55,28.5,28.53,6230
1569523500000,28.54,28.65,28.535,28.55,10231
1569524400000,28.55,28.6,28.51,28.52,15981
1569525300000,28.525,28.525,28.46,28.49,11347
1569526200000,28.495,28.505,28.43,28.5,5300
1569527100000,28.5,28.5,28.35,28.41,32895
1569591000000,28.61,28.61,28.16,28.235,27030
1569591900000,28.235,28.3,28.0119,28.27,52919
1569592800000,28.23,28.29,28.13,28.26,27942
1569593700000,28.27,28.27,27.79,27.91,42307
1569594600000,27.95,28.02,27.86,27.89,12498
1569595500000,27.92,28.1,27.92,28.07,4524
1569596400000,28.085,28.12,27.99,28.0,9700
1569597300000,28.03,28.18,28.03,28.11,3602
1569598200000,28.09,28.09,27.84,27.88,8302
1569599100000,27.9,28.01,27.8601,27.9301,3703
1569600000000,27.9375,28.06,27.9001,28.02,13321
1569600900000,28.07,28.08,27.935,27.935,11116
1569601800000,27.92,27.92,27.72,27.84,18169
1569602700000,27.85,27.9,27.8,27.895,14869
1569603600000,27.875,27.96,27.85,27.895,20652
1569604500000,27.89,27.97,27.87,27.925,7678
1569605400000,27.965,27.98,27.93,27.96,4960
1569606300000,27.94,27.965,27.86,27.93,6600
1569607200000,27.94,27.98,27.805,27.83,24800
1569608100000,27.8,27.82,27.63,27.66,10990
1569609000000,27.62,27.69,27.53,27.63,18408
1569609900000,27.61,27.63,27.43,27.54,25218
1569610800000,27.555,27.68,27.3,27.3,43744
1569611700000,27.25,27.3,27.09,27.135,15674
1569612600000,27.11,27.215,27.07,27.095,78666
1569613500000,27.1,27.34,27.04,27.26,135981
1569850200000,27.25,27.66,26.9,27.35,18486
1569851100000,27.3496,27.72,27.27,27.6132,33435
1569852000000,27.63,27.81,27.58,27.7,22442
1569852900000,27.7,27.9,27.58,27.77,19652
1569853800000,27.8,27.8,27.65,27.7,8442
1569854700000,27.7,27.86,27.7,27.81,5457
1569855600000,27.839,28.0,27.839,27.88,10228
1569856500000,27.88,27.91,27.81,27.9,6448
1569857400000,27.89,28.0,27.87,28.0,49157
