datetime,open,high,low,close,volume
1591968600000,6.61,6.64,6.3,6.4,356916
1591969500000,6.4174,6.4174,6.31,6.33,132258
1591970400000,6.335,6.35,6.26,6.26,169127
1591971300000,6.255,6.31,6.15,6.15,173439
1591972200000,6.16,6.2,6.08,6.115,131962
1591973100000,6.12,6.19,6.04,6.04,79796
1591974000000,6.04,6.095,5.975,5.9987,210379
1591974900000,5.9987,6.0274,5.9543,6.0,88141
1591975800000,6.0,6.12,5.96,6.01,83739
1591976700000,6.015,6.13,6.01,6.1299,71481
1591977600000,6.13,6.15,6.0601,6.075,81219
1591978500000,6.07,6.12,6.06,6.0825,52990
1591979400000,6.08,6.09,6.0501,6.06,32425
1591980300000,6.055,6.08,6.0,6.07,75759
1591981200000,6.07,6.11,6.04,6.1,43919
1591982100000,6.09,6.11,6.06,6.0613,28700
1591983000000,6.08,6.08,5.99,5.99,75677
1591983900000,5.9835,6.0,5.911,5.93,114861
1591984800000,5.93,6.03,5.93,5.995,39447
1591985700000,5.9901,6.05,5.97,6.03,56432
1591986600000,6.04,6.11,6.01,6.05,43128
1591987500000,6.045,6.07,6.035,6.07,42105
1591988400000,6.07,6.155,6.07,6.135,83415
1591989300000,6.1301,6.14,6.04,6.065,77741
1591990200000,6.07,6.17,6.0513,6.12,135157
1591991100000,6.13,6.2,6.12,6.195,122905
