datetime,open,high,low,close,volume
1569504600000,12.53,12.53,12.5,12.5,5732
1569505500000,12.5299,12.5299,12.5199,12.5199,684
1569506400000,12.5254,12.54,12.52,12.54,7772
1569507300000,12.5318,12.5318,12.52,12.5303,10416
1569508200000,12.5372,12.5372,12.5372,12.5372,500
1569509100000,12.5318,12.5337,12.5238,12.5337,653
1569510000000,12.5337,12.54,12.53,12.53,2448
1569510900000,12.53,12.53,12.52,12.5223,1165
1569511800000,12.525,12.53,12.51,12.53,25930
1569512700000,12.53,12.53,12.51,12.525,2192
1569513600000,12.52,12.52,12.51,12.5161,3396
1569514500000,12.52,12.5269,12.51,12.5269,5057
1569515400000,12.53,12.53,12.52,12.53,4300
1569516300000,12.53,12.53,12.52,12.53,2754
1569517200000,12.5228,12.53,12.51,12.5215,4030
1569518100000,12.52,12.53,12.52,12.53,1187
1569519000000,12.53,12.53,12.5247,12.53,3949
1569519900000,12.53,12.53,12.52,12.53,7273
1569520800000,12.53,12.53,12.52,12.53,2415
1569521700000,12.5275,12.53,12.51,12.51,5905
1569522600000,12.5124,12.52,12.5,12.5071,10851
1569523500000,12.505,12.51,12.5,12.5,3651
1569524400000,12.505,12.51,12.5,12.5,15055
1569525300000,12.5085,12.51,12.5,12.5,6812
1569526200000,12.5037,12.51,12.5037,12.505,8303
1569527100000,12.5063,12.51,12.5,12.51,10227
1569591000000,12.5,12.518,12.5,12.515,3756
1569591900000,12.52,12.52,12.51,12.515,4088
1569592800000,12.51,12.52,12.51,12.52,1350
1569593700000,12.51,12.52,12.51,12.515,4528
1569594600000,12.5164,12.52,12.51,12.5146,4079
1569595500000,12.52,12.525,12.5101,12.525,4315
1569596400000,12.53,12.53,12.52,12.5235,1719
1569597300000,12.523,12.53,12.523,12.5294,863
1569598200000,12.53,12.53,12.5201,12.5201,4633
1569599100000,12.53,12.53,12.525,12.53,4436
1569600000000,12.5238,12.5252,12.52,12.52,5121
1569600900000,12.52,12.53,12.52,12.5223,1628
1569601800000,12.52,12.54,12.52,12.5201,10581
1569602700000,12.53,12.54,12.52,12.54,5526
1569603600000,12.52,12.5206,12.5181,12.52,3271
1569604500000,12.5169,12.53,12.5169,12.53,1598
1569605400000,12.5266,12.54,12.52,12.54,1812
1569606300000,12.5262,12.53,12.525,12.5282,1599
1569607200000,12.52,12.5242,12.5,12.5,12359
1569608100000,12.5,12.5,12.49,12.49,4600
1569609000000,12.495,12.4958,12.48,12.48,4566
1569609900000,12.48,12.49,12.47,12.48,7447
1569610800000,12.4799,12.484,12.475,12.484,2638
1569611700000,12.4701,12.49,12.47,12.4879,5017
1569612600000,12.4724,12.4724,12.4724,12.4724,850
1569613500000,12.49,12.49,12.475,12.48,11802
1569850200000,12.49,12.49,12.49,12.49,6671
1569851100000,12.52,12.5444,12.52,12.5444,2661
1569852000000,12.5186,12.5186,12.5186,12.5186,1103
1569852900000,12.51,12.523,12.51,12.5202,112507
1569853800000,12.53,12.53,12.51,12.53,11650
1569854700000,12.5296,12.5296,12.5232,12.5232,1400
1569855600000,12.5339,12.5339,12.52,12.52,4400
1569856500000,12.52,12.5352,12.52,12.5312,900
1569857400000,12.52,12.54,12.52,12.5399,2200
1569858300000,12.54,12.54,12.52,12.54,7994
1569859200000,12.5365,12.5437,12.5358,12.5437,3042
1569860100000,12.55,12.55,12.53,12.54,4150
1569861000000,12.5407,12.55,12.5356,12.5356,2842
1569861900000,12.54,12.55,12.53,12.54,4137
1569862800000,12.54,12.54,12.52,12.5284,1600
1569863700000,12.53,12.53,12.52,12.53,8437
1569864600000,12.53,12.53,12.52,12.53,1390
1569865500000,12.5235,12.53,12.52,12.52,2275
1569866400000,12.53,12.53,12.525,12.53,600
1569867300000,12.5253,12.5261,12.523,12.523,2126
1569868200000,12.525,12.5271,12.5228,12.5228,1441
1569869100000,12.52,12.53,12.515,12.523,7547
1569870000000,12.527,12.5306,12.52,12.53,13283
1569870900000,12.535,12.5384,12.53,12.53,4500
