datetime,open,high,low,close,volume
1569504600000,6.76,6.825,6.76,6.825,19600
1569505500000,6.82,6.825,6.79,6.81,13949
1569506400000,6.81,6.82,6.79,6.82,11179
1569507300000,6.82,6.82,6.79,6.81,15702
1569508200000,6.82,6.82,6.75,6.75,90292
1569509100000,6.77,6.8,6.76,6.8,12292
1569510000000,6.8,6.805,6.745,6.75,37117
1569510900000,6.75,6.79,6.7398,6.79,10148
1569511800000,6.79,6.8,6.78,6.795,10073
1569512700000,6.795,6.82,6.79,6.81,9400
1569513600000,6.81,6.81,6.77,6.77,15898
1569514500000,6.775,6.79,6.765,6.785,8600
1569515400000,6.785,6.8,6.77,6.78,10787
1569516300000,6.78,6.79,6.75,6.78,22100
1569517200000,6.775,6.78,6.74,6.75,10248
1569518100000,6.75,6.76,6.73,6.76,6445
1569519000000,6.76,6.79,6.755,6.78,8854
1569519900000,6.78,6.785,6.765,6.765,10800
1569520800000,6.77,6.78,6.765,6.78,9206
1569521700000,6.78,6.785,6.755,6.755,9811
1569522600000,6.76,6.77,6.745,6.755,7698
1569523500000,6.75,6.76,6.73,6.74,8183
1569524400000,6.74,6.74,6.72,6.72,10100
1569525300000,6.725,6.74,6.71,6.74,12828
1569526200000,6.74,6.78,6.74,6.77,36588
1569527100000,6.775,6.775,6.73,6.74,48544
1569591000000,6.78,6.78,6.695,6.72,24774
1569591900000,6.72,6.72,6.68,6.7,16716
1569592800000,6.69,6.715,6.68,6.69,36470
1569593700000,6.68,6.71,6.68,6.69,17526
1569594600000,6.695,6.7,6.66,6.68,19154
1569595500000,6.68,6.69,6.65,6.66,22224
1569596400000,6.66,6.72,6.66,6.7,17131
1569597300000,6.705,6.73,6.705,6.72,9082
1569598200000,6.725,6.73,6.66,6.68,7198
1569599100000,6.68,6.68,6.645,6.66,15755
1569600000000,6.66,6.66,6.63,6.66,31436
1569600900000,6.6612,6.67,6.63,6.67,16723
1569601800000,6.66,6.66,6.65,6.66,6595
1569602700000,6.65,6.66,6.63,6.63,14980
1569603600000,6.64,6.655,6.63,6.64,9900
1569604500000,6.64,6.64,6.6,6.62,15905
1569605400000,6.6104,6.65,6.6104,6.625,8775
1569606300000,6.625,6.6401,6.61,6.635,6535
1569607200000,6.635,6.64,6.62,6.635,3300
1569608100000,6.63,6.64,6.62,6.63,4100
1569609000000,6.62,6.63,6.61,6.63,12974
1569609900000,6.62,6.63,6.5973,6.6,2474
1569610800000,6.595,6.61,6.56,6.575,11515
1569611700000,6.575,6.62,6.57,6.61,28399
1569612600000,6.615,6.64,6.61,6.625,58337
1569613500000,6.625,6.66,6.61,6.625,118340
1569850200000,6.62,6.65,6.555,6.56,7063
1569851100000,6.54,6.59,6.54,6.55,4117
1569852000000,6.55,6.6,6.53,6.5994,13526
1569852900000,6.59,6.61,6.57,6.58,6369
1569853800000,6.59,6.6,6.55,6.55,6965
1569854700000,6.56,6.58,6.555,6.57,11189
1569855600000,6.58,6.59,6.55,6.57,17768
1569856500000,6.56,6.57,6.5,6.53,19602
1569857400000,6.53,6.53,6.495,6.52,13057
1569858300000,6.52,6.54,6.519,6.53,15185
1569859200000,6.535,6.56,6.535,6.535,6086
1569860100000,6.535,6.55,6.535,6.55,4965
1569861000000,6.55,6.55,6.53,6.535,4700
1569861900000,6.54,6.55,6.515,6.52,9389
1569862800000,6.53,6.54,6.5,6.505,8829
1569863700000,6.51,6.51,6.49,6.5,9923
1569864600000,6.5,6.51,6.46,6.495,14279
1569865500000,6.5,6.5,6.49,6.49,3500
1569866400000,6.48,6.49,6.47,6.475,6400
1569867300000,6.48,6.48,6.47,6.475,5000
1569868200000,6.48,6.49,6.46,6.485,9910
1569869100000,6.485,6.49,6.48,6.49,5375
1569870000000,6.49,6.49,6.48,6.485,5700
1569870900000,6.48,6.5,6.46,6.485,16293
1569871800000,6.49,6.5,6.47,6.48,23600
1569872700000,6.48,6.5,6.45,6.45,80994
1569936600000,6.48,6.55,6.47,6.51,4684
1569937500000,6.52,6.52,6.49,6.52,5214
1569938400000,6.5,6.5,6.42,6.4263,2281
1569939300000,6.42,6.43,6.4,6.41,7261
1569940200000,6.41,6.43,6.39,6.395,18731
1569941100000,6.395,6.42,6.39,6.4,11214
1569942000000,6.39,6.4,6.38,6.39,8263
1569942900000,6.38,6.41,6.34,6.39,22599
1569943800000,6.39,6.43,6.37,6.385,17564
1569944700000,6.38,6.39,6.35,6.37,8370
1569945600000,6.365,6.41,6.36,6.39,17463
1569946500000,6.395,6.42,6.39,6.395,17125
1569947400000,6.395,6.405,6.3831,6.395,6418
1569948300000,6.4,6.4,6.38,6.385,6300
1569949200000,6.385,6.39,6.35,6.355,6380
1569950100000,6.355,6.38,6.345,6.37,16134
1569951000000,6.36,6.38,6.35,6.37,12519
1569951900000,6.365,6.38,6.32,6.365,17845
1569952800000,6.3623,6.38,6.35,6.38,9748
1569953700000,6.37,6.375,6.36,6.3725,4595
1569954600000,6.37,6.37,6.355,6.37,5508
1569955500000,6.37,6.38,6.35,6.355,6674
1569956400000,6.35,6.37,6.335,6.335,7190
1569957300000,6.335,6.35,6.33,6.345,37189
1569958200000,6.345,6.35,6.3,6.32,24810
1569959100000,6.32,6.35,6.315,6.32,53970
1570023000000,6.3,6.35,6.22,6.28,11799
1570023900000,6.31,6.32,6.255,6.27,31381
1570024800000,6.27,6.39,6.25,6.39,18331
1570025700000,6.3876,6.41,6.36,6.37,14301
1570026600000,6.36,6.39,6.34,6.385,13998
1570027500000,6.38,6.39,6.36,6.37,4575
1570028400000,6.375,6.375,6.355,6.355,2100
1570029300000,6.36,6.37,6.345,6.36,12898
1570030200000,6.36,6.37,6.345,6.355,10592
1570031100000,6.36,6.36,6.31,6.315,15159
1570032000000,6.31,6.33,6.29,6.295,7172
1570032900000,6.29,6.31,6.29,6.305,4200
1570033800000,6.3,6.305,6.28,6.285,3014
1570034700000,6.29,6.3,6.24,6.26,4100
1570035600000,6.255,6.29,6.255,6.29,4704
1570036500000,6.28,6.29,6.27,6.285,4000
1570037400000,6.28,6.28,6.25,6.265,7300
1570038300000,6.26,6.27,6.25,6.265,14235
1570039200000,6.265,6.28,6.25,6.26,6000
1570040100000,6.26,6.27,6.25,6.255,9233
1570041000000,6.255,6.26,6.25,6.255,5076
1570041900000,6.255,6.28,6.25,6.27,7545
1570042800000,6.28,6.28,6.25,6.275,10600
1570043700000,6.27,6.285,6.26,6.28,12581
1570044600000,6.27,6.31,6.26,6.27,13402
1570045500000,6.27,6.28,6.25,6.265,72245
1570109400000,6.25,6.31,6.24,6.24,5415
1570110300000,6.24,6.26,6.22,6.24,1000
1570111200000,6.23,6.23,6.17,6.19,54711
1570112100000,6.195,6.21,6.17,6.18,9658
1570113000000,6.18,6.18,6.15,6.15,6463
1570113900000,6.14,6.2,6.14,6.19,15067
1570114800000,6.2,6.2076,6.15,6.17,7166
1570115700000,6.17,6.18,6.14,6.15,44502
1570116600000,6.15,6.15,6.09,6.09,22822
1570117500000,6.1,6.11,6.06,6.075,30807
1570118400000,6.0798,6.1,6.05,6.07,50862
1570119300000,6.06,6.095,6.0423,6.095,31354
1570120200000,6.095,6.11,6.09,6.105,17320
1570121100000,6.105,6.11,6.07,6.085,28123
1570122000000,6.085,6.105,6.07,6.08,22275
1570122900000,6.075,6.11,6.07,6.105,6713
1570123800000,6.11,6.11,6.1,6.1,7603
1570124700000,6.105,6.11,6.1,6.105,22692
1570125600000,6.105,6.105,6.09,6.09,16439
1570126500000,6.095,6.105,6.08,6.08,17525
1570127400000,6.085,6.1,6.08,6.0901,7736
1570128300000,6.1,6.105,6.09,6.1,16847
1570129200000,6.105,6.11,6.1,6.1,12241
1570130100000,6.105,6.11,6.08,6.085,37430
1570131000000,6.085,6.09,6.08,6.085,13511
1570131900000,6.085,6.09,6.07,6.08,85515
