datetime,open,high,low,close,volume
1569504600000,13.55,13.55,13.46,13.48,6062
1569505500000,13.5,13.52,13.49,13.5,2738
1569506400000,13.52,13.53,13.47,13.47,2061
1569507300000,13.47,13.47,13.42,13.43,5079
1569508200000,13.43,13.47,13.42,13.47,1641
1569509100000,13.47,13.5,13.465,13.47,4403
1569510000000,13.45,13.47,13.445,13.45,1531
1569510900000,13.44,13.44,13.39,13.41,4625
1569511800000,13.405,13.445,13.4,13.445,5066
1569512700000,13.44,13.44,13.4,13.4,1890
1569513600000,13.4,13.44,13.4,13.43,3329
1569514500000,13.42,13.42,13.39,13.41,2733
1569515400000,13.415,13.445,13.415,13.425,2491
1569516300000,13.42,13.42,13.41,13.41,1213
1569517200000,13.42,13.42,13.38,13.39,3151
1569518100000,13.38,13.38,13.345,13.345,2312
1569519000000,13.36,13.39,13.36,13.37,2769
1569519900000,13.37,13.39,13.36,13.39,2600
1569520800000,13.39,13.4,13.38,13.4,1931
1569521700000,13.395,13.41,13.375,13.375,3020
1569522600000,13.38,13.38,13.38,13.38,1200
1569523500000,13.37,13.39,13.37,13.38,1977
1569524400000,13.37,13.39,13.37,13.39,2902
1569525300000,13.38,13.39,13.36,13.365,6008
1569526200000,13.365,13.4,13.365,13.395,6600
1569527100000,13.39,13.4,13.37,13.38,25978
1569591000000,13.54,13.6,13.49,13.6,9787
1569591900000,13.62,13.63,13.54,13.55,7025
1569592800000,13.545,13.55,13.5,13.52,4125
1569593700000,13.51,13.53,13.49,13.53,4517
1569594600000,13.52,13.54,13.51,13.51,1450
1569595500000,13.505,13.54,13.5,13.54,5052
1569596400000,13.54,13.545,13.48,13.49,4417
1569597300000,13.49,13.52,13.47,13.52,6806
1569598200000,13.51,13.52,13.41,13.46,7637
1569599100000,13.45,13.51,13.45,13.51,3913
1569600000000,13.49,13.49,13.46,13.48,2802
1569600900000,13.48,13.48,13.43,13.44,2054
1569601800000,13.44,13.44,13.41,13.43,3250
1569602700000,13.42,13.44,13.4,13.4,3493
1569603600000,13.4,13.44,13.4,13.44,3010
1569604500000,13.44,13.46,13.415,13.44,16345
1569605400000,13.44,13.44,13.4,13.41,2462
1569606300000,13.41,13.435,13.38,13.435,2929
1569607200000,13.43,13.43,13.41,13.42,1659
1569608100000,13.42,13.43,13.4,13.4,2392
1569609000000,13.4,13.41,13.36,13.37,2697
1569609900000,13.38,13.38,13.34,13.35,4467
1569610800000,13.36,13.37,13.33,13.36,4025
1569611700000,13.36,13.4,13.36,13.39,5928
1569612600000,13.385,13.41,13.385,13.395,6990
1569613500000,13.395,13.44,13.37,13.43,46954
1569850200000,13.51,13.51,13.43,13.45,6476
1569851100000,13.42,13.43,13.37,13.43,2606
1569852000000,13.43,13.43,13.41,13.42,3658
1569852900000,13.44,13.44,13.375,13.375,2400
1569853800000,13.36,13.38,13.34,13.34,2800
1569854700000,13.33,13.39,13.33,13.38,3401
1569855600000,13.39,13.39,13.36,13.39,2426
1569856500000,13.39,13.39,13.36,13.37,2450
1569857400000,13.37,13.39,13.36,13.39,3842
1569858300000,13.39,13.39,13.34,13.34,5325
1569859200000,13.34,13.365,13.33,13.335,8068
1569860100000,13.33,13.37,13.32,13.37,6585
1569861000000,13.36,13.36,13.35,13.35,3828
1569861900000,13.35,13.39,13.34,13.385,6100
1569862800000,13.39,13.39,13.38,13.39,4367
1569863700000,13.39,13.39,13.37,13.37,4772
1569864600000,13.38,13.39,13.37,13.39,3721
1569865500000,13.4,13.41,13.4,13.41,1194
1569866400000,13.41,13.41,13.4,13.41,2080
1569867300000,13.4,13.4,13.36,13.36,4907
1569868200000,13.37,13.405,13.37,13.4,4061
1569869100000,13.4,13.42,13.4,13.42,1997
1569870000000,13.43,13.435,13.42,13.43,2711
1569870900000,13.42,13.44,13.41,13.41,3015
1569871800000,13.39,13.395,13.34,13.34,7397
1569872700000,13.34,13.34,13.26,13.27,71623
1569936600000,13.41,13.48,13.35,13.47,13944
1569937500000,13.49,13.49,13.42,13.43,4621
1569938400000,13.42,13.42,13.26,13.27,5888
1569939300000,13.29,13.29,13.26,13.26,4558
1569940200000,13.26,13.29,13.24,13.24,6911
1569941100000,13.24,13.245,13.21,13.235,8897
1569942000000,13.23,13.26,13.22,13.26,4072
1569942900000,13.24,13.255,13.23,13.255,2732
1569943800000,13.26,13.27,13.24,13.24,3312
1569944700000,13.23,13.23,13.17,13.19,4383
1569945600000,13.19,13.19,13.15,13.15,2727
1569946500000,13.15,13.18,13.135,13.135,3012
1569947400000,13.14,13.17,13.14,13.17,4501
1569948300000,13.16,13.16,13.11,13.12,5420
1569949200000,13.12,13.12,13.08,13.085,6035
1569950100000,13.08,13.08,13.03,13.06,9486
1569951000000,13.07,13.08,13.02,13.03,9994
1569951900000,13.03,13.03,12.97,12.98,11613
1569952800000,12.98,12.99,12.94,12.99,9561
1569953700000,12.98,12.98,12.93,12.97,7490
1569954600000,12.975,13.03,12.975,13.03,7622
1569955500000,13.03,13.045,12.98,12.99,8997
1569956400000,12.985,13.0,12.96,12.98,8062
1569957300000,12.975,13.025,12.97,12.99,7347
1569958200000,12.99,13.0,12.94,12.99,8300
1569959100000,12.985,13.02,12.965,13.01,46491
1570023000000,12.88,12.91,12.86,12.88,7350
1570023900000,12.87,12.905,12.86,12.87,3592
1570024800000,12.87,12.98,12.86,12.98,4895
1570025700000,13.01,13.01,12.96,12.96,2260
1570026600000,12.95,12.95,12.89,12.92,5625
1570027500000,12.92,12.92,12.88,12.9,2928
1570028400000,12.9,12.93,12.9,12.93,2841
1570029300000,12.92,12.94,12.91,12.92,3054
1570030200000,12.91,12.91,12.85,12.86,3085
1570031100000,12.87,12.88,12.86,12.86,1846
1570032000000,12.86,12.87,12.84,12.84,4453
1570032900000,12.845,12.86,12.82,12.86,3159
1570033800000,12.85,12.85,12.8,12.81,3398
1570034700000,12.81,12.83,12.81,12.83,5100
1570035600000,12.83,12.87,12.83,12.86,3166
1570036500000,12.85,12.89,12.84,12.89,1364
1570037400000,12.87,12.88,12.87,12.88,984
1570038300000,12.87,12.87,12.85,12.86,1400
1570039200000,12.85,12.86,12.84,12.85,3036
1570040100000,12.85,12.9,12.85,12.89,2303
1570041000000,12.9,12.92,12.9,12.91,3700
1570041900000,12.92,12.94,12.92,12.93,3998
1570042800000,12.93,12.95,12.91,12.95,3026
1570043700000,12.94,12.96,12.935,12.955,3832
1570044600000,12.95,12.97,12.93,12.935,7374
1570045500000,12.94,12.95,12.9,12.9,80140
1570109400000,12.85,12.86,12.8,12.82,5011
1570110300000,12.83,12.87,12.8,12.82,5980
1570111200000,12.83,12.83,12.66,12.69,14906
1570112100000,12.71,12.77,12.68,12.74,5632
1570113000000,12.75,12.79,12.73,12.76,3392
1570113900000,12.76,12.76,12.71,12.74,2949
1570114800000,12.74,12.84,12.74,12.83,3391
1570115700000,12.86,12.865,12.78,12.78,3667
1570116600000,12.78,12.78,12.72,12.74,3228
1570117500000,12.74,12.74,12.69,12.72,4113
1570118400000,12.73,12.74,12.71,12.735,2944
1570119300000,12.73,12.73,12.7,12.71,1567
1570120200000,12.74,12.76,12.74,12.76,1484
1570121100000,12.75,12.78,12.75,12.77,5569
1570122000000,12.78,12.78,12.77,12.775,818
1570122900000,12.78,12.81,12.78,12.805,7796
1570123800000,12.81,12.845,12.805,12.825,3509
1570124700000,12.84,12.85,12.81,12.81,2420
1570125600000,12.81,12.81,12.8,12.81,1842
1570126500000,12.83,12.86,12.83,12.835,1730
1570127400000,12.83,12.85,12.83,12.84,9881
1570128300000,12.85,12.86,12.81,12.82,3042
1570129200000,12.83,12.85,12.82,12.85,5848
1570130100000,12.85,12.85,12.805,12.82,7514
1570131000000,12.835,12.835,12.8,12.81,6848
1570131900000,12.81,12.85,12.77,12.85,22639
1570195800000,12.87,12.89,12.846,12.846,9782
1570196700000,12.84,12.84,12.81,12.84,1600
1570197600000,12.85,12.85,12.79,12.8,2500
1570198500000,12.8,12.81,12.76,12.76,2683
1570199400000,12.75,12.78,12.74,12.76,3634
1570200300000,12.77,12.78,12.77,12.775,1979
1570201200000,12.77,12.77,12.73,12.745,2379
1570202100000,12.77,12.8,12.77,12.8,1148
1570203000000,12.82,12.83,12.82,12.83,2251
1570203900000,12.81,12.83,12.8,12.83,3994
1570204800000,12.84,12.845,12.82,12.82,1933
1570205700000,12.82,12.835,12.81,12.835,800
1570206600000,12.84,12.84,12.83,12.83,1529
1570207500000,12.81,12.81,12.805,12.81,700
1570208400000,12.81,12.82,12.805,12.81,2073
1570209300000,12.83,12.84,12.825,12.84,1160
1570210200000,12.84,12.87,12.83,12.85,3345
1570211100000,12.86,12.86,12.84,12.845,1465
1570212000000,12.86,12.86,12.855,12.86,600
1570212900000,12.87,12.88,12.86,12.86,3025
1570213800000,12.865,12.87,12.855,12.87,1320
1570214700000,12.87,12.88,12.85,12.88,2969
1570215600000,12.88,12.89,12.875,12.88,5963
1570216500000,12.89,12.89,12.86,12.885,5539
1570217400000,12.885,12.92,12.885,12.915,9372
1570218300000,12.915,12.97,12.915,12.96,24097
1570455000000,12.88,12.94,12.88,12.89,5130
1570455900000,12.92,12.98,12.92,12.955,3382
1570456800000,12.95,13.0,12.95,12.985,2000
1570457700000,12.99,12.99,12.97,12.98,2401
1570458600000,12.99,12.99,12.96,12.965,2037
1570459500000,12.97,13.0,12.96,12.99,3621
1570460400000,12.99,13.03,12.99,13.015,5656
1570461300000,13.02,13.025,13.0,13.01,4066
1570462200000,13.0,13.03,13.0,13.03,3600
1570463100000,13.03,13.03,12.995,13.0,4746
1570464000000,13.005,13.005,12.985,13.0,8147
1570464900000,13.005,13.02,13.005,13.02,1802
1570465800000,13.03,13.03,13.01,13.03,2864
1570466700000,13.025,13.03,13.01,13.03,3095
1570467600000,13.02,13.07,13.015,13.02,17505
1570468500000,13.01,13.03,13.01,13.03,800
1570469400000,13.03,13.1,13.03,13.075,8225
1570470300000,13.08,13.09,13.07,13.08,1400
1570471200000,13.085,13.085,13.03,13.03,2230
1570472100000,13.02,13.04,13.02,13.03,1443
1570473000000,13.035,13.035,12.98,12.98,1948
1570473900000,12.98,12.98,12.96,12.98,2768
1570474800000,12.99,12.99,12.98,12.99,2104
1570475700000,13.01,13.01,12.97,13.005,5689
1570476600000,13.005,13.03,13.0,13.02,7039
1570477500000,13.03,13.03,12.995,13.0,26628
1570541400000,12.84,12.84,12.79,12.81,5053
1570542300000,12.83,12.83,12.79,12.79,1640
1570543200000,12.78,12.81,12.71,12.81,9861
1570544100000,12.7986,12.82,12.77,12.78,9282
1570545000000,12.79,12.81,12.74,12.74,2278
