datetime,open,high,low,close,volume
1569504600000,24.87,24.89,24.78,24.79,2784
1569505500000,24.84,24.87,24.84,24.84,800
1569506400000,24.83,24.95,24.77,24.77,1500
1569507300000,24.74,24.85,24.725,24.775,13887
1569508200000,24.795,24.8,24.76,24.79,1850
1569509100000,24.76,24.82,24.75,24.75,2400
1569510000000,24.76,24.76,24.67,24.68,2164
1569510900000,24.66,24.67,24.63,24.66,8500
1569511800000,24.655,24.76,24.65,24.745,3200
1569512700000,24.69,24.69,24.64,24.68,1500
1569513600000,24.65,24.71,24.65,24.6823,2861
1569514500000,24.66,24.69,24.64,24.67,3100
1569515400000,24.695,24.725,24.695,24.705,1400
1569516300000,24.69,24.7,24.64,24.66,1400
1569517200000,24.655,24.655,24.55,24.55,1500
1569518100000,24.57,24.585,24.51,24.51,2796
1569519000000,24.53,24.62,24.53,24.6,3200
1569519900000,24.61,24.65,24.59,24.645,3920
1569520800000,24.6425,24.67,24.63,24.67,2597
1569521700000,24.66,24.68,24.63,24.645,2996
1569522600000,24.635,24.65,24.63,24.645,2900
1569523500000,24.65,24.66,24.62,24.64,3247
1569524400000,24.64,24.73,24.63,24.66,6400
1569525300000,24.65,24.7,24.63,24.65,5485
1569526200000,24.65,24.68,24.64,24.64,6594
1569527100000,24.65,24.75,24.58,24.62,28971
1569591000000,24.85,25.03,24.84,25.0,3210
1569591900000,25.09,25.16,24.9,24.92,4980
1569592800000,24.895,24.96,24.86,24.95,6011
1569593700000,24.92,24.96,24.9,24.94,3600
1569594600000,24.95,24.98,24.86,24.86,2400
1569595500000,24.88,25.0,24.87,25.0,3500
1569596400000,24.99,24.99,24.91,24.95,7891
1569597300000,24.945,24.97,24.91,24.94,6216
1569598200000,24.935,24.99,24.76,24.76,9000
1569599100000,24.81,24.92,24.8,24.88,2134
1569600000000,24.87,24.92,24.85,24.92,1700
1569600900000,24.895,24.895,24.74,24.77,4000
1569601800000,24.76,24.79,24.74,24.74,2304
1569602700000,24.72,24.8,24.71,24.8,4001
1569603600000,24.76,24.84,24.76,24.82,4741
1569604500000,24.8,24.82,24.75,24.76,1700
1569605400000,24.78,24.78,24.74,24.755,2304
1569606300000,24.735,24.82,24.71,24.77,5539
1569607200000,24.79,24.79,24.745,24.745,700
1569608100000,24.77,24.81,24.7625,24.785,2122
1569609000000,24.77,24.82,24.72,24.73,4214
1569609900000,24.7,24.79,24.67,24.67,5520
1569610800000,24.69,24.72,24.62,24.68,5708
1569611700000,24.675,24.8,24.675,24.7,9934
1569612600000,24.68,24.77,24.68,24.72,9191
1569613500000,24.72,24.83,24.69,24.8,26875
1569850200000,24.92,24.92,24.785,24.85,4928
1569851100000,24.87,24.87,24.75,24.79,2934
1569852000000,24.76,24.78,24.75,24.78,926
1569852900000,24.8,24.8,24.69,24.69,1100
1569853800000,24.66,24.69,24.62,24.62,2000
1569854700000,24.63,24.66,24.6,24.63,3900
1569855600000,24.585,24.64,24.575,24.64,1200
1569856500000,24.63,24.63,24.57,24.61,1000
1569857400000,24.6,24.65,24.59,24.635,2420
1569858300000,24.635,24.635,24.56,24.58,1000
1569859200000,24.56,24.63,24.56,24.585,3000
1569860100000,24.56,24.66,24.56,24.65,3597
1569861000000,24.68,24.68,24.64,24.68,2400
1569861900000,24.66,24.71,24.65,24.695,1200
1569862800000,24.71,24.73,24.7,24.72,2130
1569863700000,24.73,24.73,24.6763,24.7,3792
1569864600000,24.7,24.72,24.7,24.72,1900
1569865500000,24.725,24.75,24.725,24.74,700
1569866400000,24.7353,24.7353,24.68,24.71,6854
1569867300000,24.7,24.7,24.66,24.66,3224
1569868200000,24.67,24.72,24.67,24.72,1950
1569869100000,24.69,24.72,24.67,24.69,14289
1569870000000,24.7,24.72,24.68,24.6905,8500
1569870900000,24.695,24.71,24.65,24.655,10929
1569871800000,24.65,24.68,24.62,24.63,6515
1569872700000,24.62,24.63,24.44,24.47,48096
1569936600000,24.72,24.81,24.6,24.79,7666
1569937500000,24.83,24.85,24.705,24.78,7091
1569938400000,24.67,24.69,24.35,24.35,2633
1569939300000,24.4,24.48,24.39,24.46,6626
1569940200000,24.45,24.49,24.38,24.38,3296
1569941100000,24.36,24.385,24.31,24.31,1800
1569942000000,24.31,24.39,24.31,24.37,1900
1569942900000,24.35,24.39,24.32,24.39,2400
1569943800000,24.39,24.42,24.34,24.34,3603
1569944700000,24.33,24.33,24.29,24.295,1200
1569945600000,24.28,24.28,24.17,24.17,2700
1569946500000,24.16,24.2,24.13,24.15,8870
1569947400000,24.16,24.24,24.16,24.24,3119
