datetime,open,high,low,close,volume
1569504600000,14.47,14.47,14.335,14.35,2880
1569505500000,14.3,14.34,14.25,14.29,1500
1569506400000,14.26,14.32,14.21,14.22,1800
1569507300000,14.2,14.4,14.2,14.37,19639
1569508200000,14.39,14.435,14.38,14.385,4900
1569509100000,14.39,14.43,14.38,14.4,5977
1569510000000,14.37,14.41,14.34,14.39,6997
1569510900000,14.4,14.4,14.36,14.38,3790
1569511800000,14.41,14.52,14.41,14.49,14331
1569512700000,14.48,14.49,14.44,14.45,5549
1569513600000,14.45,14.55,14.45,14.52,4258
1569514500000,14.51,14.53,14.48,14.53,3691
1569515400000,14.53,14.54,14.52,14.535,3050
1569516300000,14.53,14.55,14.52,14.53,2100
1569517200000,14.52,14.55,14.495,14.495,7580
1569518100000,14.495,14.5,14.48,14.48,4200
1569519000000,14.48,14.52,14.47,14.51,1800
1569519900000,14.52,14.55,14.51,14.53,3070
1569520800000,14.54,14.59,14.54,14.57,7422
1569521700000,14.58,14.6,14.58,14.6,7262
1569522600000,14.595,14.61,14.59,14.61,3410
1569523500000,14.61,14.61,14.58,14.58,1900
1569524400000,14.58,14.59,14.545,14.59,3933
1569525300000,14.585,14.61,14.58,14.595,5420
1569526200000,14.59,14.61,14.56,14.585,7800
1569527100000,14.585,14.68,14.58,14.66,57431
1569591000000,14.66,14.75,14.64,14.655,4297
1569591900000,14.64,14.68,14.57,14.6,1400
1569592800000,14.6,14.62,14.56,14.56,2800
1569593700000,14.54,14.62,14.51,14.62,6249
1569594600000,14.625,14.67,14.61,14.67,1000
1569595500000,14.66,14.67,14.65,14.66,1350
1569596400000,14.68,14.68,14.62,14.68,4100
1569597300000,14.66,14.74,14.66,14.72,1700
1569598200000,14.72,14.75,14.57,14.57,7939
1569599100000,14.61,14.67,14.61,14.67,1700
1569600000000,14.665,14.69,14.63,14.69,3024
1569600900000,14.71,14.71,14.63,14.635,1300
1569601800000,14.59,14.64,14.59,14.63,1100
1569602700000,14.59,14.59,14.55,14.56,3900
1569603600000,14.56,14.58,14.53,14.56,3700
1569604500000,14.59,14.605,14.585,14.59,1773
1569605400000,14.56,14.6,14.56,14.6,900
1569606300000,14.57,14.63,14.55,14.63,4999
1569607200000,14.62,14.62,14.56,14.56,1800
1569608100000,14.565,14.57,14.53,14.54,2300
1569609000000,14.54,14.54,14.52,14.54,3450
1569609900000,14.52,14.54,14.49,14.54,6404
1569610800000,14.55,14.56,14.52,14.54,2500
1569611700000,14.54,14.58,14.54,14.57,3700
1569612600000,14.59,14.61,14.58,14.59,8662
1569613500000,14.58,14.67,14.58,14.66,29817
1569850200000,14.67,14.765,14.64,14.765,2804
1569851100000,14.77,14.81,14.675,14.77,3600
1569852000000,14.73,14.75,14.65,14.68,4548
