datetime,open,high,low,close,volume
1569504600000,14.85,14.98,14.74,14.9,3933
1569505500000,14.88,14.92,14.75,14.75,3600
1569506400000,14.77,14.79,14.73,14.75,4000
1569507300000,14.74,14.76,14.67,14.695,6810
1569508200000,14.71,14.715,14.64,14.695,5051
1569509100000,14.67,14.675,14.5,14.53,9997
1569510000000,14.535,14.555,14.43,14.4406,4127
1569510900000,14.48,14.48,14.21,14.375,23006
1569511800000,14.38,14.4,14.3,14.3,5932
1569512700000,14.35,14.35,14.19,14.25,5241
1569513600000,14.24,14.26,14.22,14.23,11332
1569514500000,14.21,14.25,14.16,14.19,10127
1569515400000,14.19,14.21,14.13,14.15,21339
1569516300000,14.13,14.13,14.01,14.07,8924
1569517200000,14.07,14.11,14.02,14.04,28149
1569518100000,14.04,14.06,14.0,14.01,9726
1569519000000,14.01,14.1,14.01,14.06,8607
1569519900000,14.09,14.115,14.04,14.115,10956
1569520800000,14.13,14.2,14.12,14.2,6300
1569521700000,14.19,14.27,14.19,14.21,8991
1569522600000,14.23,14.265,14.21,14.23,3300
1569523500000,14.24,14.25,14.21,14.25,4100
1569524400000,14.285,14.3199,14.265,14.29,8336
1569525300000,14.285,14.29,14.23,14.265,5100
1569526200000,14.25,14.28,14.205,14.21,17705
1569527100000,14.21,14.22,14.05,14.11,48127
1569591000000,14.1,14.26,13.98,14.185,19482
1569591900000,14.23,14.24,14.06,14.22,34481
1569592800000,14.215,14.44,14.215,14.37,24084
1569593700000,14.34,14.5128,14.31,14.5128,17537
1569594600000,14.49,14.68,14.49,14.61,35997
1569595500000,14.62,14.62,14.505,14.535,8126
1569596400000,14.54,14.67,14.54,14.625,6995
1569597300000,14.64,14.68,14.635,14.675,19600
1569598200000,14.68,14.68,14.47,14.63,7711
1569599100000,14.64,14.76,14.64,14.68,14484
1569600000000,14.66,14.66,14.56,14.61,3800
1569600900000,14.63,14.66,14.53,14.53,3400
1569601800000,14.53,14.58,14.37,14.37,35549
1569602700000,14.37,14.37,14.19,14.2,26354
1569603600000,14.19,14.23,14.19,14.19,28100
1569604500000,14.2,14.33,14.19,14.2739,14862
1569605400000,14.26,14.28,14.21,14.21,6870
1569606300000,14.19,14.21,14.16,14.2,12513
1569607200000,14.19,14.2,14.07,14.14,10936
1569608100000,14.145,14.16,14.085,14.09,9036
1569609000000,14.1,14.11,13.99,14.0,13299
1569609900000,14.0,14.03,13.91,13.92,13193
