datetime,open,high,low,close,volume
1569504600000,19.85,19.87,19.69,19.78,15378
1569505500000,19.8,19.85,19.78,19.82,8300
1569506400000,19.8,19.86,19.75,19.76,8304
1569507300000,19.72,19.72,19.67,19.69,3990
1569508200000,19.69,19.73,19.66,19.72,3038
1569509100000,19.72,19.77,19.7,19.72,3418
1569510000000,19.72,19.735,19.68,19.68,2754
1569510900000,19.69,19.7,19.6,19.62,4885
1569511800000,19.63,19.705,19.61,19.705,2955
1569512700000,19.7,19.7,19.62,19.64,3933
1569513600000,19.64,19.69,19.63,19.66,2230
1569514500000,19.64,19.65,19.6,19.65,3210
1569515400000,19.65,19.68,19.65,19.66,1500
1569516300000,19.64,19.67,19.63,19.64,3339
1569517200000,19.65,19.65,19.595,19.6,6261
1569518100000,19.6,19.6,19.53,19.55,3463
1569519000000,19.545,19.59,19.545,19.59,4000
1569519900000,19.59,19.62,19.56,19.61,3723
1569520800000,19.61,19.63,19.59,19.63,2400
1569521700000,19.63,19.64,19.58,19.585,5200
1569522600000,19.58,19.61,19.58,19.59,3679
1569523500000,19.58,19.605,19.57,19.57,5300
1569524400000,19.56,19.605,19.55,19.59,3780
1569525300000,19.58,19.59,19.53,19.53,8415
1569526200000,19.535,19.585,19.53,19.555,9887
1569527100000,19.55,19.55,19.49,19.51,35322
1569591000000,19.64,19.94,19.64,19.915,10701
1569591900000,19.92,19.94,19.76,19.77,5168
1569592800000,19.76,19.79,19.67,19.72,3682
1569593700000,19.7,19.74,19.69,19.72,7714
1569594600000,19.73,19.755,19.69,19.7,2926
1569595500000,19.69,19.77,19.68,19.77,6400
1569596400000,19.76,19.77,19.735,19.74,3980
1569597300000,19.75,19.75,19.7,19.74,2600
1569598200000,19.74,19.77,19.61,19.62,7717
1569599100000,19.63,19.725,19.63,19.69,3498
1569600000000,19.67,19.7,19.66,19.69,3700
1569600900000,19.69,19.69,19.62,19.64,3500
1569601800000,19.64,19.65,19.62,19.63,2772
1569602700000,19.61,19.62,19.55,19.57,2816
1569603600000,19.56,19.62,19.55,19.62,2174
1569604500000,19.61,19.63,19.57,19.57,2087
1569605400000,19.58,19.58,19.54,19.54,3352
1569606300000,19.53,19.58,19.5,19.57,4200
1569607200000,19.58,19.58,19.54,19.58,3616
1569608100000,19.58,19.58,19.55,19.56,4547
1569609000000,19.55,19.56,19.5,19.505,3382
1569609900000,19.505,19.53,19.47,19.51,12431
1569610800000,19.52,19.525,19.45,19.49,4920
1569611700000,19.5,19.55,19.5,19.515,8386
1569612600000,19.515,19.57,19.515,19.555,11209
1569613500000,19.56,19.59,19.53,19.57,45855
1569850200000,19.65,19.67,19.61,19.62,8273
1569851100000,19.61,19.67,19.59,19.64,17214
1569852000000,19.65,19.66,19.59,19.625,6175
1569852900000,19.62,19.64,19.53,19.53,3582
1569853800000,19.53,19.54,19.49,19.5,2400
1569854700000,19.46,19.605,19.46,19.57,41914
1569855600000,19.56,19.61,19.545,19.57,36874
1569856500000,19.58,19.585,19.54,19.57,3241
1569857400000,19.57,19.6,19.55,19.58,4071
1569858300000,19.59,19.59,19.49,19.52,2487
1569859200000,19.53,19.56,19.525,19.525,3100
1569860100000,19.51,19.57,19.5,19.57,4100
1569861000000,19.57,19.59,19.57,19.585,2600
1569861900000,19.56,19.615,19.56,19.58,4600
1569862800000,19.59,19.62,19.59,19.62,1800
1569863700000,19.61,19.61,19.57,19.57,2822
1569864600000,19.565,19.6,19.565,19.6,1445
1569865500000,19.61,19.63,19.61,19.61,1200
1569866400000,19.6,19.615,19.59,19.61,10824
1569867300000,19.59,19.6,19.56,19.56,2587
1569868200000,19.56,19.6,19.555,19.575,1926
1569869100000,19.585,19.61,19.57,19.61,2189
1569870000000,19.61,19.61,19.59,19.595,4100
1569870900000,19.59,19.61,19.58,19.58,7270
1569871800000,19.58,19.61,19.56,19.56,6400
1569872700000,19.57,19.575,19.47,19.47,63966
1569936600000,19.55,19.76,19.5412,19.745,17785
1569937500000,19.78,19.8,19.73,19.73,30487
1569938400000,19.71,19.71,19.44,19.48,6648
1569939300000,19.47,19.52,19.46,19.48,12754
1569940200000,19.48,19.54,19.47,19.49,10420
1569941100000,19.49,19.5,19.4,19.41,9850
1569942000000,19.4,19.44,19.38,19.4,14784
1569942900000,19.395,19.44,19.38,19.43,24349
1569943800000,19.43,19.44,19.395,19.405,11940
1569944700000,19.41,19.43,19.325,19.35,25381
1569945600000,19.34,19.35,19.28,19.28,5817
1569946500000,19.27,19.315,19.24,19.25,4941
1569947400000,19.23,19.3,19.23,19.295,4947
1569948300000,19.3,19.3,19.24,19.245,10720
1569949200000,19.24,19.24,19.16,19.175,10845
1569950100000,19.17,19.17,19.1,19.13,7105
1569951000000,19.14,19.17,19.05,19.07,10877
1569951900000,19.07,19.07,18.98,18.98,7794
1569952800000,18.98,19.03,18.96,19.0,10599
1569953700000,18.99,18.99,18.92,18.97,6933
1569954600000,18.975,19.075,18.975,19.07,9643
1569955500000,19.07,19.105,18.99,19.005,10714
1569956400000,19.005,19.01,18.945,18.97,8477
1569957300000,18.965,19.02,18.96,19.005,13778
1569958200000,19.01,19.01,18.935,19.0,16361
1569959100000,19.0,19.05,18.965,19.03,104932
1570023000000,18.97,18.97,18.76,18.79,12144
1570023900000,18.78,18.87,18.77,18.82,12112
1570024800000,18.8019,18.94,18.7983,18.92,3290
1570025700000,18.92,18.96,18.87,18.875,3952
1570026600000,18.86,18.87,18.78,18.84,7580
1570027500000,18.84,18.84,18.78,18.83,5300
1570028400000,18.82,18.88,18.82,18.87,5063
1570029300000,18.86,18.87,18.81,18.81,4533
1570030200000,18.8,18.8,18.72,18.74,2646
1570031100000,18.75,18.79,18.735,18.77,4700
1570032000000,18.78,18.78,18.73,18.73,2200
1570032900000,18.73,18.74,18.7,18.74,3121
1570033800000,18.725,18.735,18.66,18.67,4995
1570034700000,18.67,18.7,18.66,18.7,2400
1570035600000,18.69,18.76,18.68,18.76,3845
1570036500000,18.75,18.79,18.74,18.79,2154
1570037400000,18.785,18.785,18.76,18.78,1406
1570038300000,18.77,18.77,18.75,18.76,1400
1570039200000,18.75,18.76,18.72,18.75,8357
1570040100000,18.75,18.8,18.75,18.7742,4291
1570041000000,18.78,18.81,18.78,18.805,2700
1570041900000,18.81,18.85,18.81,18.815,5203
1570042800000,18.82,18.85,18.77,18.84,5060
1570043700000,18.84,18.85,18.815,18.845,4625
1570044600000,18.835,18.87,18.82,18.84,12215
1570045500000,18.84,18.845,18.78,18.82,46526
1570109400000,18.7,18.75,18.65,18.75,10371
1570110300000,18.79,18.82,18.73,18.79,11733
1570111200000,18.79,18.79,18.48,18.5,15243
1570112100000,18.54,18.64,18.5,18.64,4166
1570113000000,18.62,18.67,18.59,18.6,3909
1570113900000,18.59,18.61,18.54,18.585,4654
1570114800000,18.58,18.74,18.58,18.74,7236
1570115700000,18.78,18.79,18.68,18.69,2148
1570116600000,18.7,18.7,18.53,18.53,5812
1570117500000,18.53,18.54,18.5,18.51,2632
1570118400000,18.53,18.55,18.52,18.55,4747
1570119300000,18.55,18.61,18.52,18.61,6098
1570120200000,18.615,18.665,18.615,18.665,2117
1570121100000,18.66,18.68,18.64,18.655,11528
1570122000000,18.66,18.725,18.66,18.725,9216
1570122900000,18.725,18.795,18.725,18.785,5016
1570123800000,18.795,18.84,18.775,18.81,14938
1570124700000,18.82,18.835,18.785,18.785,2111
1570125600000,18.78,18.81,18.77,18.805,3143
1570126500000,18.81,18.83,18.805,18.81,3269
1570127400000,18.81,18.83,18.8,18.8,1500
1570128300000,18.82,18.83,18.76,18.77,4439
1570129200000,18.785,18.81,18.77,18.81,4727
1570130100000,18.81,18.81,18.74,18.77,7813
1570131000000,18.78,18.8,18.77,18.79,13346
1570131900000,18.78,18.81,18.72,18.81,27084
1570195800000,18.82,18.97,18.82,18.85,15162
1570196700000,18.86,18.87,18.79,18.85,4011
1570197600000,18.8653,18.88,18.78,18.8,2816
1570198500000,18.78,18.8,18.68,18.68,2463
1570199400000,18.68,18.73,18.68,18.7,2700
1570200300000,18.71,18.73,18.67,18.67,5766
1570201200000,18.64,18.67,18.61,18.66,3100
1570202100000,18.67,18.7,18.66,18.7,4122
1570203000000,18.7,18.71,18.68,18.68,16638
1570203900000,18.685,18.72,18.67,18.72,23871
1570204800000,18.72,18.8,18.72,18.78,10418
1570205700000,18.77,18.79,18.755,18.79,1800
1570206600000,18.795,18.795,18.76,18.765,2881
1570207500000,18.765,18.765,18.72,18.73,3800
1570208400000,18.73,18.733,18.71,18.73,2000
1570209300000,18.73,18.74,18.7,18.74,2971
1570210200000,18.72,18.78,18.72,18.775,3900
1570211100000,18.755,18.765,18.74,18.75,3929
1570212000000,18.75,18.79,18.75,18.79,3978
1570212900000,18.8,18.81,18.777,18.79,7375
1570213800000,18.8,18.84,18.8,18.83,20119
1570214700000,18.83,18.83,18.81,18.83,5344
1570215600000,18.83,18.89,18.83,18.87,12033
1570216500000,18.86,18.92,18.86,18.92,17464
1570217400000,18.915,18.97,18.91,18.955,26264
1570218300000,18.96,19.04,18.95,19.02,48097
1570455000000,19.01,19.08,18.92,18.99,5594
1570455900000,18.99,19.12,18.99,19.11,6820
1570456800000,19.11,19.16,19.085,19.14,6262
1570457700000,19.12,19.12,19.03,19.05,13086
1570458600000,19.06,19.07,19.015,19.04,3576
1570459500000,19.05,19.07,19.02,19.035,3522
1570460400000,19.04,19.13,19.04,19.11,3365
1570461300000,19.101,19.101,19.065,19.09,14582
1570462200000,19.06,19.1,19.0581,19.09,1820
1570463100000,19.11,19.11,19.06,19.06,3923
1570464000000,19.07,19.08,19.06,19.08,2100
1570464900000,19.075,19.11,19.05,19.11,8666
1570465800000,19.11,19.11,19.07,19.1,6550
1570466700000,19.11,19.11,19.08,19.11,2137
1570467600000,19.1,19.12,19.06,19.08,2311
1570468500000,19.07,19.08,19.06,19.08,1800
1570469400000,19.1,19.21,19.1,19.21,6559
1570470300000,19.2,19.22,19.19,19.19,4806
1570471200000,19.19,19.19,19.11,19.115,5200
1570472100000,19.13,19.14,19.11,19.125,2000
1570473000000,19.13,19.13,19.05,19.06,6544
1570473900000,19.0452,19.06,19.0,19.035,9313
1570474800000,19.04,19.055,19.02,19.055,3900
1570475700000,19.06,19.06,19.015,19.05,3867
1570476600000,19.05,19.065,19.045,19.055,4249
1570477500000,19.06,19.09,19.025,19.05,31400
1570541400000,19.24,19.52,18.99,19.02,41552
1570542300000,19.02,19.02,18.91,18.93,7848
1570543200000,18.93,18.98,18.8,18.975,12940
1570544100000,18.97,19.02,18.92,18.93,12236
1570545000000,18.945,19.0,18.89,18.96,18208
1570545900000,18.99,19.08,18.97,19.07,10059
1570546800000,19.07,19.13,19.05,19.1,8974
1570547700000,19.095,19.13,19.0,19.005,11186
1570548600000,19.0,19.0,18.95,18.98,8220
1570549500000,18.98,19.05,18.96,19.05,11571
1570550400000,19.05,19.05,18.98,18.98,4613
1570551300000,18.99,19.04,18.985,19.0,12308
1570552200000,19.0,19.0,18.945,18.99,6565
1570553100000,19.0,19.05,18.965,18.965,5418
1570554000000,18.965,18.99,18.96,18.96,4543
1570554900000,18.965,19.005,18.96,19.0,5030
1570555800000,19.01,19.01,18.975,19.0,9893
1570556700000,19.0,19.02,18.98,18.985,6600
1570557600000,18.98,19.03,18.975,19.02,21607
1570558500000,19.015,19.03,18.94,18.94,17589
1570559400000,18.95,19.02,18.94,18.99,15681
1570560300000,18.98,19.05,18.93,18.93,21130
1570561200000,18.95,18.99,18.89,18.89,9797
1570562100000,18.89,18.92,18.87,18.91,9641
1570563000000,18.915,18.95,18.86,18.86,17032
1570563900000,18.87,18.885,18.81,18.82,94564
1570627800000,19.05,19.1,18.9252,18.97,9873
1570628700000,18.94,18.97,18.895,18.93,3930
1570629600000,18.93,18.96,18.915,18.94,4884
1570630500000,18.95,18.98,18.92,18.925,11578
1570631400000,18.92,19.01,18.92,18.96,8530
1570632300000,18.98,19.0,18.88,18.9,12130
1570633200000,18.915,18.92,18.85,18.865,3300
1570634100000,18.88,18.94,18.88,18.94,2900
1570635000000,18.94,18.96,18.92,18.94,4067
1570635900000,18.94,18.96,18.905,18.92,2200
1570636800000,18.91,18.93,18.9,18.9,1600
1570637700000,18.91,18.94,18.91,18.93,3337
1570638600000,18.93,18.94,18.91,18.91,1600
1570639500000,18.9,18.94,18.88,18.92,2604
1570640400000,18.93,18.95,18.91,18.93,2150
1570641300000,18.92,18.92,18.885,18.91,3300
1570642200000,18.9,18.91,18.89,18.91,2100
1570643100000,18.91,18.93,18.895,18.9,3574
1570644000000,18.9,18.95,18.9,18.92,5480
1570644900000,18.92,18.93,18.9,18.93,4662
1570645800000,18.9403,18.9403,18.88,18.92,5113
1570646700000,18.92,18.95,18.92,18.95,4814
1570647600000,18.95,18.99,18.94,18.98,4810
1570648500000,18.98,18.98,18.955,18.98,5600
1570649400000,18.985,19.02,18.92,18.92,21345
1570650300000,18.915,18.97,18.89,18.93,57491
1570714200000,18.96,19.07,18.93,19.05,10968
1570715100000,19.07,19.25,19.07,19.24,7200
1570716000000,19.21,19.24,19.16,19.18,20406
1570716900000,19.18,19.205,19.11,19.14,5750
1570717800000,19.14,19.14,19.09,19.14,3722
1570718700000,19.14,19.19,19.11,19.19,3800
1570719600000,19.18,19.19,19.14,19.145,5958
1570720500000,19.15,19.16,19.09,19.095,2926
1570721400000,19.09,19.145,19.08,19.13,7445
1570722300000,19.13,19.13,19.09,19.11,10457
1570723200000,19.11,19.12,19.06,19.06,4627
1570724100000,19.05,19.05,19.02,19.025,4099
1570725000000,19.02,19.045,18.99,19.04,13734
1570725900000,19.045,19.05,19.03,19.035,4008
1570726800000,19.03,19.03,18.98,18.99,3739
1570727700000,18.99,18.995,18.96,18.97,5841
1570728600000,18.955,18.96,18.94,18.94,2100
1570729500000,18.94,19.01,18.93,18.98,5911
1570730400000,18.99,19.001,18.91,18.97,4726
1570731300000,18.98,19.0,18.97,18.97,2800
1570732200000,18.975,18.99,18.94,18.94,5268
1570733100000,18.945,19.0,18.94,18.98,6136
1570734000000,18.99,19.01,18.97,19.01,5462
1570734900000,19.015,19.055,19.0,19.03,8517
1570735800000,19.04,19.04,18.97,18.97,15974
1570736700000,18.97,19.0,18.93,18.94,72412
1570800600000,19.29,19.46,19.29,19.46,18135
1570801500000,19.47,19.51,19.39,19.41,16826
1570802400000,19.41,19.56,19.4,19.5,27914
1570803300000,19.5,19.51,19.45,19.48,33058
1570804200000,19.49,19.6,19.49,19.6,17192
1570805100000,19.6,19.65,19.565,19.57,17832
1570806000000,19.56,19.61,19.52,19.56,9792
1570806900000,19.55,19.6,19.55,19.58,3100
1570807800000,19.58,19.62,19.57,19.58,12712
1570808700000,19.59,19.59,19.49,19.505,11094
1570809600000,19.51,19.51,19.43,19.47,1907
1570810500000,19.46,19.51,19.43,19.51,4924
1570811400000,19.51,19.53,19.4,19.455,6681
1570812300000,19.46,19.47,19.43,19.46,2820
1570813200000,19.45,19.48,19.445,19.46,4463
1570814100000,19.42,19.53,19.41,19.51,18523
1570815000000,19.49,19.51,19.46,19.49,4024
1570815900000,19.485,19.5,19.48,19.49,3400
1570816800000,19.49,19.49,19.415,19.415,5307
1570817700000,19.415,19.45,19.41,19.44,3045
1570818600000,19.45,19.5,19.45,19.46,6108
1570819500000,19.46,19.47,19.43,19.44,5810
1570820400000,19.44,19.445,19.41,19.41,4874
1570821300000,19.42,19.45,19.41,19.43,7918
1570822200000,19.43,19.44,19.38,19.39,18670
1570823100000,19.37,19.38,19.26,19.26,27998
1571059800000,19.1,19.4,19.04,19.13,25756
1571060700000,19.11,19.14,18.98,19.025,18189
1571061600000,19.02,19.05,19.01,19.03,20324
1571062500000,19.04,19.09,19.02,19.03,8716
1571063400000,19.02,19.06,19.01,19.04,6480
1571064300000,19.04,19.075,19.03,19.075,13046
1571065200000,19.075,19.14,19.06,19.14,7686
1571066100000,19.14,19.17,19.13,19.16,7473
1571067000000,19.16,19.19,19.16,19.165,5700
1571067900000,19.17,19.195,19.16,19.16,11449
1571068800000,19.165,19.245,19.16,19.245,7050
1571069700000,19.24,19.25,19.205,19.22,3725
1571070600000,19.215,19.22,19.21,19.215,3001
1571071500000,19.215,19.23,19.19,19.19,5189
1571072400000,19.19,19.19,19.175,19.19,5950
1571073300000,19.185,19.19,19.16,19.185,5547
1571074200000,19.185,19.2,19.16,19.195,7108
1571075100000,19.19,19.19,19.18,19.19,3204
1571076000000,19.185,19.22,19.18,19.22,10710
1571076900000,19.21,19.21,19.17,19.17,3607
1571077800000,19.17,19.22,19.17,19.2,9243
1571078700000,19.2,19.21,19.185,19.21,8192
1571079600000,19.2,19.21,19.19,19.2,7702
1571080500000,19.205,19.225,19.195,19.2,14262
1571081400000,19.19,19.19,19.15,19.15,20301
1571082300000,19.16,19.185,19.145,19.17,51802
1571146200000,19.19,19.27,19.04,19.26,25750
1571147100000,19.26,19.32,19.23,19.31,3730
1571148000000,19.31,19.45,19.28,19.44,13061
1571148900000,19.43,19.52,19.43,19.52,8778
1571149800000,19.52,19.64,19.52,19.61,7626
1571150700000,19.62,19.64,19.58,19.62,24383
1571151600000,19.64,19.69,19.625,19.63,16149
1571152500000,19.63,19.64,19.57,19.61,8183
1571153400000,19.615,19.65,19.615,19.645,19372
1571154300000,19.645,19.68,19.625,19.675,6893
1571155200000,19.68,19.71,19.66,19.67,5985
1571156100000,19.67,19.69,19.635,19.67,25449
1571157000000,19.68,19.695,19.67,19.695,10467
1571157900000,19.69,19.755,19.69,19.73,11170
1571158800000,19.73,19.73,19.69,19.7,1300
