datetime,open,high,low,close,volume
1569504600000,19.27,19.45,19.25,19.34,9644
1569505500000,19.37,19.38,19.31,19.31,4400
1569506400000,19.335,19.4,19.29,19.33,3400
1569507300000,19.28,19.32,19.24,19.32,4000
1569508200000,19.365,19.4,19.29,19.29,3297
1569509100000,19.3,19.34,19.2,19.23,3863
1569510000000,19.22,19.22,19.12,19.19,2000
1569510900000,19.16,19.18,19.115,19.15,3709
1569511800000,19.16,19.2589,19.16,19.21,4653
1569512700000,19.2,19.2089,19.16,19.19,2200
1569513600000,19.18,19.28,19.17,19.195,7112
1569514500000,19.19,19.2,19.15,19.2,2400
1569515400000,19.1989,19.22,19.18,19.2068,5908
1569516300000,19.215,19.24,19.195,19.24,2900
1569517200000,19.25,19.25,19.13,19.14,4175
1569518100000,19.15,19.15,19.1,19.12,2100
1569519000000,19.125,19.15,19.08,19.11,5000
1569519900000,19.1,19.145,19.05,19.145,5600
1569520800000,19.175,19.23,19.16,19.195,3700
1569521700000,19.195,19.2,19.15,19.16,3100
1569522600000,19.17,19.19,19.14,19.14,2400
1569523500000,19.14,19.15,19.09,19.09,3484
1569524400000,19.1,19.12,19.05,19.05,4971
1569525300000,19.05,19.08,19.03,19.05,7570
1569526200000,19.06,19.08,18.97,18.98,14498
1569527100000,18.98,19.0,18.94,18.98,27570
1569591000000,18.92,18.92,18.82,18.882,3895
1569591900000,18.93,18.93,18.62,18.67,3706
1569592800000,18.68,18.75,18.57,18.7204,5350
1569593700000,18.71,18.76,18.65,18.68,3110
1569594600000,18.66,18.76,18.63,18.68,3097
1569595500000,18.7,18.76,18.65,18.76,2700
1569596400000,18.77,18.78,18.72,18.75,4450
1569597300000,18.76,18.76,18.61,18.64,28285
1569598200000,18.65,18.74,18.44,18.69,23494
1569599100000,18.695,18.71,18.57,18.58,8796
1569600000000,18.61,18.67,18.56,18.67,26492
1569600900000,18.65,18.73,18.59,18.73,4900
1569601800000,18.7,18.745,18.64,18.69,5300
