datetime,open,high,low,close,volume
1591968600000,7.99,8.11,7.84,8.09,537377
1591969500000,8.1,8.11,7.95,8.009,223654
1591970400000,8.01,8.01,7.91,7.93,80620
1591971300000,7.93,8.0,7.915,7.915,112663
1591972200000,7.92,7.92,7.8119,7.89,129582
1591973100000,7.89,7.96,7.88,7.885,98187
1591974000000,7.89,7.925,7.81,7.86,136076
1591974900000,7.86,7.89,7.82,7.835,96078
1591975800000,7.835,7.945,7.835,7.905,82049
1591976700000,7.9083,8.01,7.9019,8.005,74889
1591977600000,8.005,8.01,7.96,7.965,79492
1591978500000,7.965,8.0,7.9506,7.9719,64714
1591979400000,7.975,7.98,7.94,7.975,50026
1591980300000,7.975,8.02,7.95,8.015,80398
1591981200000,8.02,8.02,7.94,7.99,52886
1591982100000,7.99,8.0,7.92,7.92,55061
1591983000000,7.92,7.95,7.9,7.92,54656
1591983900000,7.91,7.9181,7.82,7.83,104522
1591984800000,7.84,7.89,7.84,7.85,131603
1591985700000,7.855,7.87,7.84,7.85,76752
1591986600000,7.86,7.88,7.8381,7.85,61302
1591987500000,7.85,7.87,7.84,7.845,72568
1591988400000,7.85,7.88,7.84,7.85,108574
1591989300000,7.85,7.855,7.82,7.835,85059
1591990200000,7.84,7.865,7.81,7.855,172466
1591991100000,7.86,7.96,7.85,7.95,314892
