datetime,open,high,low,close,volume
1591968600000,22.51,22.62,22.41,22.52,24841
1591969500000,22.47,22.49,22.32,22.44,10229
1591970400000,22.44,22.45,22.22,22.22,45127
1591971300000,22.25,22.4,22.16,22.2,32051
1591972200000,22.185,22.23,22.03,22.08,78931
1591973100000,22.08,22.1374,22.045,22.06,34300
1591974000000,22.0877,22.105,21.96,21.96,64628
1591974900000,21.96,22.17,21.93,22.08,76071
1591975800000,22.0814,22.1789,22.065,22.16,26245
1591976700000,22.17,22.25,22.12,22.22,15556
1591977600000,22.2201,22.45,22.22,22.45,47703
1591978500000,22.45,22.62,22.44,22.54,94861
1591979400000,22.525,22.61,22.4776,22.56,38126
1591980300000,22.55,22.83,22.42,22.78,150247
1591981200000,22.81,23.0506,22.785,22.845,49373
1591982100000,22.84,22.85,22.68,22.71,37534
1591983000000,22.67,22.67,22.41,22.44,25882
1591983900000,22.39,22.47,22.3,22.36,72938
1591984800000,22.37,22.47,22.34,22.445,28685
1591985700000,22.445,22.47,22.38,22.43,21093
1591986600000,22.43,22.51,22.335,22.42,22774
1591987500000,22.43,22.44,22.33,22.365,11538
1591988400000,22.42,22.51,22.42,22.42,23463
1591989300000,22.43,22.45,22.32,22.34,21646
1591990200000,22.35,22.43,22.3,22.39,44210
1591991100000,22.4,22.53,22.395,22.491,128061
