datetime,open,high,low,close,volume
1569504600000,3.48,3.52,3.44,3.5,330326
1569505500000,3.5,3.5,3.43,3.45,119552
1569506400000,3.45,3.46,3.42,3.4279,158687
1569507300000,3.43,3.45,3.41,3.435,113506
1569508200000,3.435,3.45,3.41,3.415,43966
1569509100000,3.42,3.42,3.39,3.4,161305
1569510000000,3.4,3.41,3.37,3.385,85632
1569510900000,3.39,3.4,3.375,3.385,137618
1569511800000,3.385,3.385,3.36,3.365,121306
1569512700000,3.36,3.37,3.33,3.33,120970
1569513600000,3.34,3.345,3.3,3.3247,175616
1569514500000,3.32,3.345,3.32,3.34,53748
1569515400000,3.33,3.355,3.33,3.34,99279
1569516300000,3.34,3.37,3.33,3.36,42402
1569517200000,3.36,3.38,3.35,3.37,64379
1569518100000,3.375,3.39,3.37,3.39,45030
1569519000000,3.39,3.39,3.37,3.37,69373
1569519900000,3.37,3.37,3.3512,3.36,110594
1569520800000,3.36,3.375,3.34,3.34,137227
1569521700000,3.34,3.365,3.34,3.35,71578
1569522600000,3.35,3.37,3.35,3.3635,65830
1569523500000,3.36,3.36,3.34,3.345,76834
1569524400000,3.35,3.36,3.34,3.3455,29096
1569525300000,3.35,3.35,3.33,3.33,80697
1569526200000,3.335,3.34,3.31,3.325,160299
1569527100000,3.32,3.3287,3.3,3.31,305743
1569591000000,3.25,3.26,3.18,3.25,518387
1569591900000,3.245,3.2876,3.22,3.2876,159732
1569592800000,3.28,3.31,3.27,3.29,190303
1569593700000,3.29,3.31,3.28,3.285,96437
1569594600000,3.285,3.29,3.26,3.285,94526
1569595500000,3.285,3.31,3.285,3.3025,47695
1569596400000,3.305,3.31,3.25,3.26,107753
1569597300000,3.265,3.27,3.24,3.24,103306
1569598200000,3.245,3.3,3.21,3.29,171993
1569599100000,3.295,3.305,3.27,3.27,102440
1569600000000,3.27,3.28,3.265,3.28,22823
1569600900000,3.28,3.31,3.28,3.295,46240
1569601800000,3.295,3.315,3.29,3.295,58902
1569602700000,3.295,3.3225,3.295,3.32,82992
1569603600000,3.32,3.33,3.3,3.31,35733
1569604500000,3.3,3.33,3.3,3.31,46131
1569605400000,3.315,3.34,3.31,3.315,96239
1569606300000,3.32,3.34,3.31,3.315,45815
1569607200000,3.31,3.315,3.29,3.295,37004
1569608100000,3.29,3.29,3.27,3.275,34179
1569609000000,3.27,3.29,3.27,3.285,38699
1569609900000,3.29,3.3,3.28,3.29,52237
1569610800000,3.2816,3.29,3.28,3.285,14347
1569611700000,3.28,3.285,3.27,3.28,64448
1569612600000,3.2799,3.28,3.26,3.26,73050
1569613500000,3.265,3.27,3.26,3.27,163947
1569850200000,3.19,3.21,3.13,3.195,277415
1569851100000,3.1928,3.2,3.18,3.185,128877
1569852000000,3.18,3.185,3.13,3.13,241732
