datetime,open,high,low,close,volume
1569504600000,15.3,15.57,15.3,15.48,21120
1569505500000,15.52,15.53,15.37,15.45,21365
1569506400000,15.43,15.46,15.36,15.415,20519
1569507300000,15.43,15.4548,15.4,15.4548,1730
1569508200000,15.4319,15.45,15.4319,15.45,944
1569509100000,15.44,15.45,15.44,15.45,8000
1569510000000,15.47,15.47,15.37,15.405,15566
1569510900000,15.38,15.392,15.28,15.3,11568
1569511800000,15.3192,15.32,15.3192,15.32,300
1569512700000,15.32,15.32,15.29,15.307,1700
1569513600000,15.314,15.32,15.29,15.32,9550
1569514500000,15.31,15.32,15.29,15.32,5000
1569515400000,15.3382,15.35,15.3382,15.35,1100
1569516300000,15.365,15.42,15.365,15.42,14500
1569517200000,15.435,15.435,15.35,15.365,7171
1569518100000,15.35,15.4,15.3,15.4,9503
1569519000000,15.38,15.385,15.36,15.385,300
1569519900000,15.38,15.41,15.38,15.41,2039
1569520800000,15.4,15.4,15.4,15.4,100
1569521700000,15.42,15.42,15.42,15.42,1100
1569522600000,15.414,15.42,15.414,15.42,200
1569523500000,15.4,15.42,15.39,15.4,8571
1569524400000,15.39,15.395,15.39,15.39,3026
1569525300000,15.4,15.4334,15.39,15.4334,4661
1569526200000,15.44,15.44,15.44,15.44,300
1569527100000,15.44,15.44,15.4,15.4,4277
1569591000000,15.33,15.439,15.33,15.36,7718
1569591900000,15.43,15.43,15.38,15.38,3900
1569592800000,15.404,15.408,15.37,15.37,1275
1569593700000,15.365,15.3897,15.36,15.38,4955
1569594600000,15.3654,15.39,15.33,15.35,9311
1569595500000,15.3412,15.3615,15.3304,15.3401,3443
1569596400000,15.34,15.3539,15.33,15.33,3360
1569597300000,15.33,15.36,15.33,15.355,1600
1569598200000,15.34,15.38,15.33,15.38,9982
1569599100000,15.36,15.3608,15.34,15.34,2140
1569600000000,15.34,15.36,15.32,15.36,3700
1569600900000,15.36,15.36,15.33,15.35,9700
1569601800000,15.3564,15.36,15.33,15.345,6500
1569602700000,15.33,15.34,15.32,15.33,245857
1569603600000,15.33,15.4155,15.33,15.38,46258
