datetime,open,high,low,close,volume
1569504600000,6.04,6.04,6.029,6.029,38772
1569505500000,6.03,6.03,6.02,6.02,19122
1569506400000,6.02,6.03,6.02,6.0242,8306
1569507300000,6.02,6.02,6.0,6.0073,44409
1569508200000,6.01,6.01,6.0,6.0,6598
1569509100000,6.0099,6.01,6.0,6.008,14101
1569510000000,6.005,6.01,6.0,6.0026,56458
1569510900000,6.0,6.0072,5.99,5.99,30637
1569511800000,5.99,6.01,5.99,6.0,12343
1569512700000,6.01,6.01,6.0,6.0,17301
1569513600000,6.0,6.0082,6.0,6.0,13394
1569514500000,6.005,6.0095,6.0,6.0,12709
1569515400000,6.0,6.01,6.0,6.0,17656
1569516300000,6.0081,6.0099,6.0,6.0,18966
1569517200000,6.0,6.01,6.0,6.0,10907
1569518100000,6.0,6.005,6.0,6.0,5520
1569519000000,6.0,6.0099,6.0,6.0,4974
1569519900000,6.0,6.0047,6.0,6.0,2756
1569520800000,6.0,6.01,6.0,6.0,18849
1569521700000,6.0,6.0099,6.0,6.0,8015
1569522600000,6.0,6.01,6.0,6.005,6602
1569523500000,6.005,6.01,6.0,6.0,10360
1569524400000,6.005,6.0088,6.0,6.0,6267
1569525300000,6.0,6.0084,6.0,6.0,4150
1569526200000,6.0,6.01,6.0,6.0,28629
1569527100000,6.0,6.01,6.0,6.0,56599
1569591000000,6.0,6.0071,5.97,5.98,146013
1569591900000,5.98,5.99,5.97,5.99,44390
1569592800000,5.98,5.9885,5.96,5.965,63853
1569593700000,5.965,5.97,5.96,5.97,43664
1569594600000,5.965,5.9755,5.96,5.97,58602
1569595500000,5.9795,5.98,5.96,5.9699,53703
1569596400000,5.9652,5.98,5.96,5.975,75132
1569597300000,5.975,5.98,5.96,5.97,23674
1569598200000,5.9682,5.97,5.95,5.955,170847
1569599100000,5.955,5.96,5.95,5.9534,58893
1569600000000,5.95,5.96,5.95,5.96,35157
1569600900000,5.9557,5.9557,5.95,5.95,12300
1569601800000,5.95,5.9582,5.94,5.949,47040
