datetime,open,high,low,close,volume
1569504600000,29.84,29.84,29.55,29.55,3610
1569505500000,29.5,29.61,29.38,29.47,30335
1569506400000,29.48,29.67,29.33,29.3538,22866
1569507300000,29.355,29.38,29.23,29.38,9376
1569508200000,29.43,29.51,29.35,29.51,1900
1569509100000,29.5,29.5498,29.38,29.4,6258
1569510000000,29.42,29.42,29.29,29.35,5377
1569510900000,29.38,29.46,29.27,29.44,8569
1569511800000,29.42,29.43,29.3,29.3397,8418
1569512700000,29.37,29.4,29.37,29.4,2178
1569513600000,29.415,29.52,29.415,29.505,2955
1569514500000,29.5051,29.535,29.48,29.53,4261
1569515400000,29.53,29.62,29.53,29.595,2270
1569516300000,29.595,29.62,29.555,29.555,1400
1569517200000,29.54,29.54,29.4301,29.4578,2403
1569518100000,29.4547,29.4547,29.4,29.44,4129
1569519000000,29.47,29.51,29.47,29.48,1900
1569519900000,29.5,29.5,29.395,29.45,1600
1569520800000,29.45,29.56,29.42,29.56,5141
1569521700000,29.56,29.6,29.5084,29.5084,3660
1569522600000,29.48,29.53,29.48,29.5,2579
1569523500000,29.51,29.51,29.47,29.48,4201
1569524400000,29.5,29.53,29.5,29.5135,3586
1569525300000,29.5,29.5,29.44,29.46,7090
1569526200000,29.48,29.51,29.405,29.42,6323
1569527100000,29.4,29.45,29.34,29.34,18801
1569591000000,29.49,29.49,29.49,29.49,1961
1569591900000,29.99,30.04,29.805,29.855,7054
1569592800000,29.8726,30.04,29.75,29.93,15868
1569593700000,29.93,30.11,29.9241,30.08,15161
1569594600000,30.08,30.26,30.07,30.075,13549
1569595500000,30.075,30.0973,29.96,29.99,13918
1569596400000,29.98,29.98,29.83,29.85,2876
1569597300000,29.83,29.93,29.8,29.93,3600
1569598200000,29.91,29.94,29.6,29.74,6912
1569599100000,29.7,29.92,29.7,29.89,1512
1569600000000,29.85,29.8839,29.76,29.87,4668
1569600900000,29.895,29.9068,29.7763,29.885,4761
1569601800000,29.85,29.9,29.85,29.875,2430
1569602700000,29.875,29.88,29.705,29.74,5306
1569603600000,29.69,29.86,29.69,29.85,1312
1569604500000,29.85,29.9,29.8,29.9,3094
1569605400000,29.89,29.91,29.84,29.86,2581
1569606300000,29.75,29.87,29.73,29.8555,1913
1569607200000,29.845,29.95,29.83,29.95,2647
1569608100000,29.93,29.95,29.89,29.9,4293
1569609000000,29.88,29.89,29.84,29.85,2026
1569609900000,29.855,29.89,29.83,29.855,2741
1569610800000,29.87,29.87,29.8,29.82,4530
1569611700000,29.845,29.89,29.84,29.87,5668
1569612600000,29.85,29.94,29.845,29.94,13022
1569613500000,29.95,29.96,29.87,29.94,22159
1569850200000,30.13,30.19,29.7934,29.91,7346
1569851100000,29.93,30.03,29.8559,29.9279,8989
1569852000000,29.88,29.92,29.7775,29.92,3500
1569852900000,29.96,29.9786,29.865,29.95,15971
1569853800000,29.95,30.1,29.9,30.01,31598
1569854700000,29.95,30.14,29.95,30.04,12600
1569855600000,30.05,30.05,29.89,29.94,14442
1569856500000,29.95,30.05,29.88,29.97,6310
1569857400000,30.0169,30.07,29.97,30.04,2838
1569858300000,30.03,30.03,29.98,29.985,8856
1569859200000,29.96,30.02,29.93,29.93,12088
1569860100000,29.915,30.02,29.88,30.02,4105
1569861000000,30.02,30.08,29.9,30.05,10492
1569861900000,30.11,30.22,30.07,30.21,8181
1569862800000,30.195,30.215,30.13,30.14,5247
1569863700000,30.13,30.13,30.06,30.08,2941
1569864600000,30.06,30.14,30.06,30.14,2649
1569865500000,30.1561,30.2267,30.145,30.145,3040
1569866400000,30.1272,30.21,30.11,30.21,5100
1569867300000,30.177,30.28,30.15,30.23,8425
1569868200000,30.27,30.33,30.24,30.25,29217
1569869100000,30.25,30.28,30.12,30.2,3951
1569870000000,30.22,30.25,30.2,30.22,2035
1569870900000,30.21,30.25,30.16,30.18,3183
1569871800000,30.19,30.23,30.08,30.11,9641
1569872700000,30.09,30.14,30.0,30.1,91729
1569936600000,30.27,30.62,30.27,30.5,18231
1569937500000,30.5,30.85,30.5,30.7572,10059
1569938400000,30.54,30.54,30.055,30.055,12603
1569939300000,30.12,30.14,29.94,30.005,2756
1569940200000,30.005,30.05,29.83,29.85,3303
1569941100000,29.88,29.96,29.7174,29.81,5073
1569942000000,29.74,29.92,29.72,29.85,4360
1569942900000,29.75,29.88,29.75,29.79,6375
1569943800000,29.8,29.87,29.69,29.69,2647
1569944700000,29.67,29.67,29.44,29.46,17764
1569945600000,29.46,29.495,29.2956,29.2956,6836
1569946500000,29.35,29.37,29.22,29.23,4066
1569947400000,29.19,29.41,29.1651,29.35,7378
1569948300000,29.355,29.38,29.04,29.09,4850
1569949200000,29.05,29.05,28.68,28.87,12145
1569950100000,28.875,28.9,28.67,28.7,3669
1569951000000,28.65,28.6531,28.48,28.525,7202
1569951900000,28.51,28.58,28.42,28.45,4052
1569952800000,28.41,28.53,28.34,28.49,10380
1569953700000,28.46,28.67,28.44,28.61,19258
1569954600000,28.64,28.72,28.59,28.59,3600
1569955500000,28.59,28.64,28.51,28.54,14011
1569956400000,28.54,28.6,28.52,28.53,14902
1569957300000,28.51,28.54,28.45,28.51,2802
1569958200000,28.53,28.64,28.5,28.63,10262
1569959100000,28.65,28.73,28.58,28.66,38626
1570023000000,28.3,28.42,28.015,28.21,10015
1570023900000,28.24,28.386,28.15,28.19,2950
1570024800000,28.19,28.77,28.19,28.77,8510
1570025700000,28.74,28.865,28.56,28.6,6329
1570026600000,28.52,28.52,28.24,28.48,6819
1570027500000,28.495,28.62,28.31,28.54,9204
