datetime,open,high,low,close,volume
1569504600000,26.57,26.84,26.57,26.79,25016
1569505500000,26.82,26.83,26.4,26.46,12759
1569506400000,26.4,26.58,26.35,26.455,9999
1569507300000,26.41,26.41,26.15,26.16,25405
1569508200000,26.12,26.14,25.95,25.98,25965
1569509100000,26.0,26.04,25.9,25.9,26384
1569510000000,25.9,25.93,25.76,25.85,12484
1569510900000,25.84,25.985,25.83,25.865,9535
1569511800000,25.855,25.87,25.7,25.81,18854
1569512700000,25.825,25.825,25.68,25.75,11544
1569513600000,25.75,25.8,25.69,25.73,6306
1569514500000,25.74,25.77,25.71,25.73,9832
1569515400000,25.74,25.76,25.705,25.71,17472
1569516300000,25.71,25.75,25.7,25.71,14615
1569517200000,25.725,25.74,25.57,25.63,35916
1569518100000,25.62,25.68,25.61,25.66,7937
1569519000000,25.63,25.7,25.58,25.7,4626
1569519900000,25.7,25.7,25.55,25.55,15445
1569520800000,25.54,25.6,25.54,25.555,14271
1569521700000,25.555,25.59,25.49,25.505,15768
1569522600000,25.495,25.51,25.46,25.46,37240
1569523500000,25.46,25.59,25.45,25.59,73467
1569524400000,25.6,25.68,25.51,25.52,62792
1569525300000,25.51,25.545,25.45,25.51,20293
1569526200000,25.49,25.56,25.42,25.46,35497
1569527100000,25.43,25.52,25.34,25.35,178503
1569591000000,25.43,25.95,25.26,25.77,24773
1569591900000,25.77,25.79,25.48,25.7,31304
1569592800000,25.68,25.79,25.54,25.65,18479
1569593700000,25.595,25.74,25.49,25.68,37613
1569594600000,25.71,25.71,25.56,25.62,28243
1569595500000,25.62,25.67,25.58,25.64,14288
1569596400000,25.62,25.7,25.59,25.64,53060
1569597300000,25.64,25.66,25.53,25.61,20401
1569598200000,25.59,25.64,25.29,25.425,12538
1569599100000,25.425,25.56,25.39,25.53,8104
1569600000000,25.485,25.63,25.42,25.6,19331
1569600900000,25.55,25.59,25.47,25.49,7158
1569601800000,25.45,25.53,25.42,25.43,9292
1569602700000,25.43,25.435,25.15,25.18,15670
1569603600000,25.16,25.34,25.15,25.27,15629
1569604500000,25.29,25.29,25.16,25.17,10178
1569605400000,25.16,25.23,25.14,25.15,10085
1569606300000,25.15,25.21,25.07,25.19,8981
1569607200000,25.18,25.21,25.1,25.21,22741
1569608100000,25.21,25.25,25.16,25.215,10832
1569609000000,25.2,25.22,25.13,25.145,8852
1569609900000,25.15,25.18,25.09,25.135,11482
1569610800000,25.15,25.19,25.12,25.18,9632
1569611700000,25.17,25.27,25.155,25.24,8059
1569612600000,25.235,25.33,25.235,25.305,19750
1569613500000,25.3,25.36,25.22,25.23,73198
1569850200000,25.41,25.55,25.2,25.435,34871
1569851100000,25.47,25.515,25.39,25.46,18217
1569852000000,25.475,25.61,25.38,25.61,11871
1569852900000,25.631,25.6939,25.58,25.62,14476
1569853800000,25.615,25.68,25.465,25.49,14950
1569854700000,25.46,25.57,25.38,25.38,16238
1569855600000,25.4,25.415,25.3,25.38,10301
1569856500000,25.37,25.4,25.295,25.33,8227
1569857400000,25.34,25.435,25.32,25.4,26202
1569858300000,25.38,25.38,25.28,25.31,22957
1569859200000,25.325,25.37,25.26,25.29,13080
1569860100000,25.305,25.36,25.25,25.25,24943
1569861000000,25.25,25.48,25.25,25.44,18972
1569861900000,25.47,25.56,25.38,25.42,45193
1569862800000,25.43,25.54,25.41,25.49,28027
1569863700000,25.49,25.55,25.44,25.54,26891
1569864600000,25.54,25.57,25.44,25.55,47447
1569865500000,25.56,25.58,25.42,25.46,46988
1569866400000,25.46,25.53,25.4,25.47,32854
1569867300000,25.47,25.485,25.42,25.44,13313
1569868200000,25.45,25.48,25.39,25.43,18714
1569869100000,25.425,25.47,25.39,25.4,15309
1569870000000,25.41,25.43,25.39,25.4,7336
1569870900000,25.4025,25.42,25.37,25.39,7002
1569871800000,25.39,25.42,25.35,25.36,22091
1569872700000,25.35,25.365,25.24,25.25,86065
1569936600000,25.36,25.68,25.26,25.51,114700
1569937500000,25.555,25.745,25.28,25.45,83383
1569938400000,25.42,25.57,25.32,25.34,165053
1569939300000,25.315,25.46,25.3,25.42,7630
1569940200000,25.415,25.47,25.36,25.435,35932
1569941100000,25.435,25.46,25.12,25.12,18273
1569942000000,25.12,25.15,25.05,25.05,26044
1569942900000,25.05,25.05,24.84,24.92,13012
1569943800000,24.91,24.94,24.75,24.75,13465
1569944700000,24.78,24.78,24.61,24.6815,12461
1569945600000,24.7,24.7,24.54,24.555,9787
1569946500000,24.55,24.64,24.48,24.485,11404
1569947400000,24.5,24.59,24.47,24.55,7500
1569948300000,24.55,24.6,24.51,24.52,8594
1569949200000,24.515,24.53,24.43,24.47,23702
1569950100000,24.47,24.47,24.37,24.375,9532
1569951000000,24.37,24.4,24.3,24.32,10521
1569951900000,24.32,24.32,24.22,24.26,11100
1569952800000,24.27,24.27,24.19,24.25,4951
1569953700000,24.26,24.28,24.24,24.27,7535
1569954600000,24.3,24.42,24.3,24.395,10689
1569955500000,24.41,24.42,24.38,24.41,5656
1569956400000,24.4,24.64,24.36,24.625,49160
1569957300000,24.61,24.69,24.6,24.64,22819
1569958200000,24.64,24.65,24.595,24.645,25555
1569959100000,24.645,24.73,24.6,24.66,151737
1570023000000,24.53,24.53,24.0701,24.15,12757
1570023900000,24.12,24.12,23.92,23.96,13240
1570024800000,23.98,24.0,23.8,23.97,55095
1570025700000,23.95,24.09,23.91,23.94,14968
1570026600000,23.905,24.08,23.82,23.99,18385
1570027500000,24.0,24.06,23.91,23.99,13193
1570028400000,24.0,24.15,23.97,24.05,13284
1570029300000,24.05,24.15,24.01,24.07,12607
1570030200000,24.08,24.09,23.91,23.945,12949
1570031100000,23.91,23.96,23.89,23.91,6827
1570032000000,23.89,23.9,23.82,23.85,7491
1570032900000,23.86,23.87,23.75,23.78,12789
1570033800000,23.79,23.82,23.65,23.67,12762
1570034700000,23.675,23.69,23.595,23.6,9886
1570035600000,23.595,23.68,23.555,23.57,10834
1570036500000,23.565,23.6,23.54,23.57,9712
1570037400000,23.56,23.56,23.48,23.49,5983
1570038300000,23.48,23.51,23.43,23.51,7613
1570039200000,23.52,23.56,23.4,23.41,74486
1570040100000,23.43,23.55,23.43,23.5,13852
1570041000000,23.5,23.67,23.48,23.58,51159
1570041900000,23.585,23.655,23.55,23.56,19124
1570042800000,23.56,23.56,23.42,23.445,18842
1570043700000,23.45,23.57,23.41,23.48,47381
1570044600000,23.48,23.55,23.4575,23.49,34697
1570045500000,23.5,23.54,23.425,23.5,82786
1570109400000,23.35,23.725,23.35,23.51,16486
1570110300000,23.55,23.61,23.28,23.28,15818
1570111200000,23.24,23.24,22.9,23.03,22315
1570112100000,23.03,23.04,22.87,22.88,24689
1570113000000,22.885,22.9,22.8013,22.82,21970
1570113900000,22.82,22.96,22.7,22.94,33192
1570114800000,22.92,23.07,22.895,23.015,64691
1570115700000,23.02,23.21,23.01,23.1,41236
1570116600000,23.09,23.13,22.94,23.06,18949
1570117500000,23.055,23.055,22.93,22.96,11602
1570118400000,22.97,22.98,22.79,22.88,30896
1570119300000,22.885,22.945,22.84,22.88,40276
1570120200000,22.86,23.02,22.86,22.92,30398
1570121100000,22.9025,23.02,22.87,22.98,34805
1570122000000,23.0,23.145,22.96,23.1244,38285
1570122900000,23.13,23.15,23.06,23.11,14850
1570123800000,23.09,23.15,23.04,23.14,13658
1570124700000,23.15,23.22,23.12,23.13,11298
1570125600000,23.11,23.13,23.07,23.08,14805
1570126500000,23.1,23.1,23.02,23.07,25996
1570127400000,23.06,23.13,23.05,23.11,25345
1570128300000,23.11,23.145,23.06,23.12,21660
1570129200000,23.12,23.12,23.07,23.08,15588
1570130100000,23.08,23.1,22.995,23.0,29345
1570131000000,23.0,23.12,22.985,23.08,38931
1570131900000,23.08,23.24,23.07,23.11,213840
1570195800000,23.3,23.53,23.14,23.445,9158
1570196700000,23.5,23.63,23.37,23.565,14496
1570197600000,23.62,23.68,23.49,23.535,9202
1570198500000,23.56,23.635,23.47,23.51,11276
1570199400000,23.53,23.58,23.44,23.44,16697
1570200300000,23.45,23.54,23.42,23.54,21019
1570201200000,23.54,23.55,23.39,23.55,30791
1570202100000,23.53,23.66,23.53,23.66,6393
1570203000000,23.68,23.85,23.68,23.79,9727
1570203900000,23.81,23.89,23.8,23.83,9344
1570204800000,23.845,23.91,23.84,23.87,9447
1570205700000,23.87,23.97,23.84,23.915,8202
1570206600000,23.92,23.97,23.9,23.94,5093
1570207500000,23.9171,23.97,23.9,23.94,6365
1570208400000,23.93,23.97,23.86,23.97,7300
1570209300000,23.97,23.97,23.91,23.94,6657
1570210200000,23.92,23.95,23.89,23.94,9522
1570211100000,23.945,23.96,23.83,23.86,6613
1570212000000,23.875,24.03,23.87,23.88,53163
1570212900000,23.83,23.91,23.83,23.91,23557
1570213800000,23.915,23.96,23.9,23.95,6984
1570214700000,23.96,23.96,23.89,23.9,7763
1570215600000,23.9,23.9,23.79,23.795,17954
1570216500000,23.795,23.86,23.73,23.82,13073
1570217400000,23.8208,23.8208,23.77,23.8,22174
1570218300000,23.81,23.86,23.72,23.75,123360
1570455000000,23.69,23.82,23.55,23.55,16728
1570455900000,23.55,23.77,23.51,23.68,11043
1570456800000,23.69,23.775,23.67,23.73,8243
1570457700000,23.75,23.79,23.59,23.62,13660
1570458600000,23.6,23.63,23.48,23.48,13792
1570459500000,23.48,23.58,23.45,23.57,9417
1570460400000,23.575,23.65,23.5,23.51,24459
1570461300000,23.52,23.53,23.47,23.485,5160
1570462200000,23.485,23.56,23.47,23.49,16437
1570463100000,23.5,23.5,23.43,23.44,6433
1570464000000,23.445,23.51,23.43,23.47,7026
1570464900000,23.48,23.53,23.46,23.48,11176
1570465800000,23.48,23.51,23.45,23.49,4829
1570466700000,23.48,23.505,23.44,23.505,6065
1570467600000,23.49,23.555,23.4,23.4,8846
1570468500000,23.395,23.41,23.37,23.4,4147
1570469400000,23.4,23.53,23.365,23.475,12791
1570470300000,23.47,23.59,23.4699,23.59,5843
1570471200000,23.585,23.6,23.38,23.4,8214
1570472100000,23.4,23.41,23.36,23.39,9697
1570473000000,23.39,23.39,23.34,23.35,9816
1570473900000,23.36,23.36,23.275,23.335,17004
1570474800000,23.33,23.4,23.31,23.39,6989
1570475700000,23.39,23.4,23.28,23.39,26284
1570476600000,23.4,23.41,23.345,23.35,17831
1570477500000,23.35,23.38,23.3,23.3,75129
1570541400000,22.95,23.04,22.77,22.78,14137
1570542300000,22.8,22.8895,22.72,22.82,54940
1570543200000,22.82,22.87,22.59,22.87,9865
1570544100000,22.87,22.92,22.66,22.66,7375
1570545000000,22.66,22.74,22.61,22.67,3981
1570545900000,22.7,22.82,22.67,22.73,12855
1570546800000,22.7277,22.7277,22.555,22.67,17550
1570547700000,22.665,22.74,22.55,22.56,9957
1570548600000,22.58,22.58,22.47,22.52,15332
