datetime,open,high,low,close,volume
1591968600000,9.39,9.468,9.11,9.28,180621
1591969500000,9.2918,9.3,9.0,9.02,100004
1591970400000,9.05,9.1985,9.0362,9.085,55876
1591971300000,9.085,9.165,9.06,9.09,70072
1591972200000,9.085,9.1299,8.92,9.0,89532
1591973100000,9.01,9.07,8.91,8.915,23007
1591974000000,8.92,9.03,8.88,8.88,72522
1591974900000,8.89,8.93,8.81,8.89,78981
1591975800000,8.88,8.96,8.81,8.84,93747
1591976700000,8.85,8.93,8.8,8.9277,71589
1591977600000,8.92,9.1099,8.91,9.07,161667
1591978500000,9.06,9.18,9.06,9.18,50307
1591979400000,9.17,9.3061,9.14,9.3061,39888
1591980300000,9.3,9.33,9.24,9.305,29489
1591981200000,9.3,9.3001,9.19,9.275,35781
1591982100000,9.275,9.29,9.185,9.23,25170
1591983000000,9.225,9.23,9.06,9.065,26328
1591983900000,9.07,9.08,8.94,8.94,30852
1591984800000,8.95,9.12,8.945,9.09,32165
1591985700000,9.09,9.23,9.08,9.215,50325
1591986600000,9.2181,9.34,9.2181,9.3,65374
1591987500000,9.31,9.36,9.31,9.315,53025
1591988400000,9.32,9.57,9.32,9.57,79637
1591989300000,9.56,9.57,9.4201,9.465,139789
1591990200000,9.465,9.72,9.46,9.685,119198
1591991100000,9.685,9.7801,9.6842,9.78,229224
