datetime,open,high,low,close,volume
1569504600000,6.13,6.13,6.11,6.13,29527
1569505500000,6.1254,6.1393,6.1254,6.1393,4929
1569506400000,6.135,6.135,6.135,6.135,800
1569507300000,6.13,6.14,6.13,6.1393,15317
1569508200000,6.1393,6.1393,6.138,6.1393,883
1569509100000,6.1393,6.14,6.135,6.1393,1008
1569510000000,6.1393,6.14,6.1319,6.14,7900
1569510900000,6.14,6.14,6.1304,6.1304,2100
1569511800000,6.135,6.14,6.131,6.14,3794
1569512700000,6.14,6.14,6.1313,6.14,4524
1569513600000,6.14,6.15,6.1393,6.1458,6504
1569514500000,6.1433,6.15,6.1433,6.15,15476
1569515400000,6.15,6.15,6.1493,6.1493,800
1569516300000,6.15,6.15,6.1493,6.1493,1900
1569517200000,6.15,6.16,6.1425,6.15,7815
1569518100000,6.1593,6.16,6.155,6.16,6140
1569519000000,6.16,6.161,6.1584,6.16,5700
1569519900000,6.16,6.1695,6.16,6.16,10420
1569520800000,6.16,6.16,6.16,6.16,2300
1569521700000,6.16,6.17,6.155,6.1693,9089
1569522600000,6.17,6.17,6.16,6.16,3565
1569523500000,6.16,6.17,6.1571,6.17,1921
1569524400000,6.17,6.17,6.15,6.1646,6364
1569525300000,6.156,6.17,6.156,6.1686,2947
1569526200000,6.1582,6.16,6.1582,6.16,1849
1569527100000,6.17,6.18,6.165,6.18,22917
1569591000000,6.17,6.17,6.15,6.15,11118
1569591900000,6.15,6.16,6.14,6.14,13421
1569592800000,6.14,6.15,6.14,6.14,4673
1569593700000,6.14,6.14,6.13,6.135,30180
1569594600000,6.135,6.15,6.1334,6.15,14547
1569595500000,6.14,6.1434,6.13,6.135,29385
1569596400000,6.135,6.1371,6.13,6.135,2919
1569597300000,6.135,6.14,6.13,6.135,4315
1569598200000,6.135,6.14,6.13,6.135,8390
1569599100000,6.14,6.1458,6.13,6.1458,5579
1569600000000,6.14,6.1499,6.14,6.1499,2631
1569600900000,6.14,6.1445,6.14,6.14,2422
1569601800000,6.14,6.1437,6.14,6.14,1893
1569602700000,6.14,6.1468,6.14,6.1468,1065
1569603600000,6.14,6.1467,6.14,6.1467,1400
