datetime,open,high,low,close,volume
1569504600000,67.91,68.165,67.38,67.51,2692
1569505500000,67.47,67.47,67.15,67.25,3802
1569506400000,67.165,67.44,66.59,66.59,7371
1569507300000,66.69,66.69,66.3,66.54,11902
1569508200000,66.83,67.13,66.75,66.96,8045
1569509100000,66.965,67.2,66.69,66.805,5067
1569510000000,66.93,66.93,66.48,66.5,1600
1569510900000,66.34,66.34,65.89,65.92,2480
1569511800000,66.045,66.18,65.49,65.585,10673
1569512700000,65.51,65.79,65.5,65.74,6364
1569513600000,65.73,66.05,65.73,66.04,8818
1569514500000,65.99,66.12,65.85,65.85,10598
1569515400000,65.92,66.08,65.69,66.08,3900
1569516300000,66.03,66.03,65.77,65.88,4081
1569517200000,65.97,66.0,65.74,65.74,12306
1569518100000,65.805,65.88,65.71,65.8,5490
1569519000000,65.79,65.94,65.79,65.83,3300
1569519900000,65.84,65.935,65.82,65.935,2399
1569520800000,65.94,66.0,65.66,65.7,11554
1569521700000,65.76,65.76,65.46,65.565,14980
1569522600000,65.56,65.57,65.34,65.43,6403
1569523500000,65.385,65.47,65.18,65.27,6505
1569524400000,65.35,65.59,65.23,65.565,15694
1569525300000,65.53,66.1,65.48,65.98,15523
1569526200000,65.99,66.41,65.91,66.41,11269
1569527100000,66.32,66.49,66.2506,66.38,31239
1569591000000,66.05,66.86,63.51,64.305,55173
1569591900000,64.45,65.08,63.15,63.71,81249
1569592800000,63.66,63.8,62.79,63.33,59834
1569593700000,63.37,63.37,62.32,62.4,27752
1569594600000,62.54,62.54,61.58,62.015,24053
1569595500000,62.08,63.26,62.055,62.71,39344
1569596400000,62.79,62.92,62.15,62.23,39263
1569597300000,62.24,62.3,61.94,61.966,7452
1569598200000,61.93,62.58,61.71,62.0,47395
1569599100000,62.14,62.37,61.86,61.93,15253
1569600000000,61.93,62.31,61.7,62.18,14907
1569600900000,62.3,62.34,62.11,62.25,1800
1569601800000,62.17,62.17,61.71,61.71,8137
1569602700000,61.7596,61.7596,61.3,61.3,4680
