datetime,open,high,low,close,volume
1569504600000,10.18,10.18,9.96,9.96,21767
1569505500000,9.95,10.0,9.91,10.0,26590
1569506400000,10.005,10.03,9.99,10.0,54838
1569507300000,9.99,10.01,9.99,10.0,4705
1569508200000,10.0,10.01,9.96,9.97,4201
1569509100000,9.97,9.98,9.95,9.97,8070
1569510000000,9.98,9.99,9.96,9.98,4200
1569510900000,9.98,9.98,9.96,9.9603,5335
1569511800000,9.98,10.005,9.9772,9.99,5008
1569512700000,9.98,9.99,9.98,9.98,4823
1569513600000,9.97,10.01,9.97,9.98,28908
1569514500000,10.0,10.0,9.97,9.99,1600
1569515400000,9.98,9.99,9.98,9.98,3300
1569516300000,9.99,10.01,9.98,10.0,35877
1569517200000,9.99,10.02,9.9864,10.02,10911
1569518100000,10.02,10.03,10.01,10.0101,4414
1569519000000,10.02,10.05,10.01,10.05,3400
1569519900000,10.05,10.05,10.0,10.01,6600
1569520800000,10.02,10.03,10.0,10.01,7925
1569521700000,10.015,10.015,9.99,9.99,8347
1569522600000,9.99,10.01,9.99,10.01,60783
1569523500000,10.005,10.01,9.99,9.99,10310
1569524400000,9.995,10.01,9.98,10.005,6894
1569525300000,10.005,10.005,9.98,9.9931,8123
1569526200000,9.995,9.995,9.96,9.97,9600
1569527100000,9.97,9.98,9.95,9.96,32052
1569591000000,9.95,10.05,9.95,10.03,55220
1569591900000,10.03,10.05,9.9875,10.03,243077
1569592800000,10.03,10.17,10.01,10.15,16952
1569593700000,10.17,10.22,10.17,10.17,12328
1569594600000,10.19,10.2,10.19,10.19,700
1569595500000,10.2,10.24,10.2,10.21,1400
1569596400000,10.23,10.23,10.1842,10.2,2436
1569597300000,10.19,10.22,10.18,10.22,2840
1569598200000,10.21,10.24,10.185,10.19,6300
1569599100000,10.21,10.23,10.19,10.23,2205
1569600000000,10.21,10.21,10.1901,10.21,1100
1569600900000,10.22,10.23,10.19,10.22,3272
1569601800000,10.21,10.22,10.1901,10.1901,3254
1569602700000,10.2,10.21,10.175,10.18,3205
1569603600000,10.17,10.22,10.16,10.22,2725
1569604500000,10.21,10.23,10.205,10.215,4113
1569605400000,10.22,10.26,10.22,10.2582,8944
1569606300000,10.25,10.295,10.24,10.285,13051
1569607200000,10.29,10.29,10.27,10.29,4716
1569608100000,10.28,10.285,10.2525,10.2525,5906
1569609000000,10.25,10.25,10.22,10.24,2836
1569609900000,10.23,10.23,10.18,10.19,5686
1569610800000,10.19,10.21,10.16,10.19,9612
1569611700000,10.19,10.225,10.19,10.205,7833
1569612600000,10.205,10.27,10.2,10.27,8749
1569613500000,10.265,10.28,10.24,10.2698,49998
1569850200000,10.23,10.33,10.22,10.27,18087
1569851100000,10.33,10.33,10.25,10.315,2800
1569852000000,10.3175,10.3854,10.31,10.34,12084
1569852900000,10.35,10.39,10.33,10.38,8032
1569853800000,10.37,10.4199,10.37,10.37,11598
1569854700000,10.37,10.45,10.37,10.44,2451
1569855600000,10.44,10.44,10.4,10.42,7984
1569856500000,10.42,10.42,10.39,10.41,5230
1569857400000,10.42,10.45,10.41,10.45,3277
1569858300000,10.45,10.46,10.4,10.41,8422
1569859200000,10.41,10.42,10.39,10.4,5303
1569860100000,10.41,10.43,10.395,10.41,6539
1569861000000,10.41,10.45,10.41,10.45,5230
1569861900000,10.46,10.49,10.44,10.45,25319
1569862800000,10.44,10.45,10.435,10.44,2052
1569863700000,10.45,10.46,10.43,10.435,5650
1569864600000,10.44,10.45,10.43,10.45,3510
1569865500000,10.45,10.48,10.445,10.45,6250
1569866400000,10.45,10.47,10.45,10.47,5450
1569867300000,10.47,10.47,10.45,10.465,5850
1569868200000,10.465,10.47,10.44,10.46,6930
1569869100000,10.445,10.47,10.4446,10.46,8189
1569870000000,10.47,10.47,10.45,10.46,11866
1569870900000,10.46,10.46,10.45,10.455,11748
1569871800000,10.45,10.47,10.45,10.46,15808
1569872700000,10.47,10.48,10.44,10.45,89922
1569936600000,10.45,10.61,10.45,10.61,10621
1569937500000,10.595,10.65,10.56,10.63,24525
1569938400000,10.61,10.615,10.46,10.48,14272
1569939300000,10.48,10.52,10.46,10.5,10235
1569940200000,10.51,10.52,10.49,10.5,4300
1569941100000,10.51,10.55,10.49,10.52,9599
