datetime,open,high,low,close,volume
1569504600000,5.09,5.105,4.99,5.0715,178337
1569505500000,5.075,5.08,5.03,5.04,92661
1569506400000,5.04,5.07,5.03,5.045,24156
1569507300000,5.045,5.045,4.98,4.985,69961
1569508200000,4.985,5.02,4.96,5.0,74411
1569509100000,4.995,5.035,4.98,4.985,56630
1569510000000,4.99,4.99,4.96,4.965,30001
1569510900000,4.965,4.97,4.925,4.945,43423
1569511800000,4.945,4.97,4.945,4.97,43562
1569512700000,4.965,4.965,4.92,4.92,23720
1569513600000,4.925,4.98,4.92,4.975,31987
1569514500000,4.97,4.995,4.96,4.98,15558
1569515400000,4.98,4.99,4.97,4.97,18933
1569516300000,4.975,4.98,4.96,4.97,8164
1569517200000,4.96,4.97,4.9438,4.97,31469
1569518100000,4.975,4.99,4.965,4.985,31204
1569519000000,4.985,5.02,4.9824,5.02,45712
1569519900000,5.015,5.035,5.005,5.035,17390
1569520800000,5.035,5.045,5.0199,5.03,25024
1569521700000,5.02,5.05,5.02,5.035,30318
1569522600000,5.04,5.085,5.03,5.07,40938
1569523500000,5.07,5.07,5.035,5.0499,39588
1569524400000,5.04,5.085,5.04,5.07,102118
1569525300000,5.075,5.09,5.07,5.08,93786
1569526200000,5.085,5.105,5.06,5.07,124833
1569527100000,5.07,5.08,5.07,5.07,151053
1569591000000,5.06,5.095,5.0,5.005,77107
1569591900000,5.005,5.005,4.87,4.91,185909
1569592800000,4.905,4.905,4.85,4.8522,100952
1569593700000,4.855,4.94,4.825,4.925,107096
1569594600000,4.925,4.935,4.89,4.905,50375
1569595500000,4.905,4.93,4.87,4.925,81967
1569596400000,4.925,4.93,4.86,4.86,64317
1569597300000,4.86,4.89,4.8326,4.875,69757
1569598200000,4.875,4.875,4.77,4.82,111364
1569599100000,4.81,4.84,4.785,4.825,58847
1569600000000,4.83,4.8493,4.82,4.8493,31469
1569600900000,4.845,4.85,4.82,4.8274,24536
1569601800000,4.825,4.825,4.765,4.77,57933
1569602700000,4.775,4.7764,4.715,4.7213,80863
1569603600000,4.72,4.755,4.7,4.74,37475
1569604500000,4.7492,4.75,4.73,4.745,34079
1569605400000,4.75,4.83,4.74,4.8104,78879
1569606300000,4.815,4.86,4.795,4.835,53643
1569607200000,4.835,4.835,4.805,4.835,30357
1569608100000,4.835,4.835,4.81,4.8137,36370
1569609000000,4.815,4.82,4.8,4.82,33932
1569609900000,4.815,4.835,4.81,4.82,42124
1569610800000,4.825,4.84,4.805,4.825,55420
1569611700000,4.8245,4.87,4.8245,4.87,46021
1569612600000,4.865,4.9,4.86,4.89,91673
1569613500000,4.885,4.92,4.88,4.91,209325
1569850200000,4.9,4.95,4.85,4.9,57252
1569851100000,4.905,4.97,4.9,4.93,59211
1569852000000,4.92,5.0,4.915,4.985,62900
1569852900000,4.99,5.01,4.94,4.965,80102
1569853800000,4.97,4.98,4.94,4.97,57094
1569854700000,4.96,4.97,4.95,4.955,37287
1569855600000,4.955,4.9645,4.94,4.945,34604
1569856500000,4.945,4.97,4.93,4.97,42522
1569857400000,4.9601,4.995,4.96,4.99,53509
1569858300000,4.985,5.01,4.975,4.995,66369
1569859200000,5.0,5.02,4.96,4.965,136347
1569860100000,4.965,4.985,4.96,4.965,39515
1569861000000,4.965,4.98,4.955,4.975,48146
1569861900000,4.97,5.01,4.97,4.985,86479
1569862800000,4.985,4.99,4.97,4.97,18804
1569863700000,4.975,4.98,4.965,4.97,38863
1569864600000,4.975,4.98,4.965,4.975,33006
1569865500000,4.97,5.03,4.97,5.03,36053
1569866400000,5.025,5.03,5.0,5.003,75125
1569867300000,5.0,5.005,4.99,4.995,23698
1569868200000,4.995,5.0176,4.99,5.0176,58605
1569869100000,5.015,5.015,4.99,5.0,27182
1569870000000,4.995,5.04,4.99,5.005,89335
1569870900000,5.0,5.0068,4.985,4.99,110014
1569871800000,4.99,5.015,4.99,4.995,105776
1569872700000,4.995,5.02,4.97,5.0,368468
1569936600000,5.04,5.12,5.0101,5.12,92373
1569937500000,5.12,5.14,5.1029,5.12,68020
1569938400000,5.11,5.12,5.0601,5.075,71119
1569939300000,5.075,5.11,5.075,5.105,59781
1569940200000,5.105,5.205,5.105,5.19,287607
1569941100000,5.185,5.315,5.185,5.265,265668
1569942000000,5.26,5.31,5.215,5.225,128859
1569942900000,5.225,5.25,5.2,5.225,54248
1569943800000,5.225,5.23,5.2,5.205,44875
1569944700000,5.2047,5.215,5.195,5.205,38193
1569945600000,5.205,5.21,5.195,5.205,57448
1569946500000,5.205,5.225,5.2,5.215,66225
1569947400000,5.215,5.2597,5.215,5.25,50886
1569948300000,5.25,5.26,5.22,5.245,72900
1569949200000,5.24,5.32,5.225,5.305,216883
1569950100000,5.3,5.34,5.27,5.305,199827
1569951000000,5.3035,5.33,5.2801,5.3,118349
1569951900000,5.305,5.32,5.27,5.295,127000
1569952800000,5.29,5.295,5.22,5.235,81586
1569953700000,5.235,5.24,5.21,5.235,34841
1569954600000,5.235,5.255,5.22,5.225,100016
1569955500000,5.225,5.28,5.22,5.28,117886
1569956400000,5.275,5.29,5.245,5.255,78485
1569957300000,5.255,5.3,5.25,5.2806,175928
1569958200000,5.28,5.285,5.24,5.245,361844
1569959100000,5.245,5.27,5.24,5.27,296309
1570023000000,5.24,5.2795,5.07,5.15,173399
1570023900000,5.15,5.165,5.08,5.1,147701
1570024800000,5.09,5.125,5.025,5.115,148754
1570025700000,5.115,5.185,5.105,5.135,122154
1570026600000,5.125,5.175,5.105,5.17,90720
1570027500000,5.18,5.26,5.18,5.2433,151291
1570028400000,5.245,5.295,5.24,5.28,108425
1570029300000,5.285,5.3065,5.255,5.305,120376
1570030200000,5.305,5.32,5.25,5.265,102471
1570031100000,5.265,5.3,5.245,5.28,83222
1570032000000,5.29,5.29,5.245,5.245,76078
1570032900000,5.245,5.29,5.245,5.27,83912
1570033800000,5.26,5.265,5.2,5.205,63527
1570034700000,5.205,5.26,5.2,5.26,122005
1570035600000,5.255,5.275,5.22,5.255,65856
1570036500000,5.255,5.27,5.245,5.265,57742
1570037400000,5.265,5.29,5.25,5.275,67802
1570038300000,5.28,5.28,5.25,5.265,53675
1570039200000,5.26,5.265,5.23,5.26,79650
1570040100000,5.255,5.32,5.255,5.27,106263
1570041000000,5.27,5.27,5.24,5.2505,54883
1570041900000,5.25,5.27,5.23,5.245,57412
1570042800000,5.25,5.265,5.21,5.25,106737
1570043700000,5.255,5.26,5.23,5.245,52486
1570044600000,5.245,5.26,5.24,5.255,104297
1570045500000,5.26,5.26,5.22,5.245,403306
1570109400000,5.22,5.275,5.13,5.13,95767
1570110300000,5.13,5.24,5.13,5.18,105207
1570111200000,5.18,5.24,5.16,5.2308,102499
1570112100000,5.24,5.25,5.165,5.2345,194240
1570113000000,5.23,5.26,5.205,5.205,33228
1570113900000,5.2,5.25,5.2,5.24,79124
1570114800000,5.23,5.32,5.23,5.315,164684
1570115700000,5.315,5.35,5.295,5.3488,100345
1570116600000,5.345,5.3654,5.33,5.34,86740
1570117500000,5.34,5.34,5.31,5.325,44359
1570118400000,5.325,5.33,5.3,5.3133,42856
1570119300000,5.31,5.345,5.295,5.345,239469
1570120200000,5.345,5.41,5.34,5.37,133939
1570121100000,5.375,5.42,5.375,5.405,75859
1570122000000,5.405,5.45,5.395,5.415,134425
1570122900000,5.415,5.46,5.41,5.45,101346
1570123800000,5.45,5.465,5.42,5.43,169726
1570124700000,5.425,5.45,5.425,5.444,87743
1570125600000,5.445,5.46,5.4,5.44,114864
1570126500000,5.45,5.46,5.37,5.405,60406
1570127400000,5.405,5.41,5.38,5.4,206574
1570128300000,5.4,5.42,5.39,5.4,54576
1570129200000,5.41,5.42,5.38,5.383,172597
1570130100000,5.38,5.39,5.33,5.37,254169
1570131000000,5.37,5.375,5.33,5.33,212545
1570131900000,5.34,5.36,5.31,5.34,269808
1570195800000,5.35,5.4,5.26,5.265,125762
1570196700000,5.256,5.2881,5.2031,5.255,77872
1570197600000,5.255,5.28,5.22,5.245,162769
1570198500000,5.245,5.305,5.235,5.2961,63957
1570199400000,5.29,5.33,5.28,5.305,62039
1570200300000,5.305,5.325,5.28,5.295,41006
1570201200000,5.295,5.385,5.265,5.385,134565
1570202100000,5.385,5.41,5.36,5.385,61223
1570203000000,5.38,5.399,5.37,5.375,40871
1570203900000,5.375,5.4,5.37,5.37,28485
1570204800000,5.375,5.41,5.36,5.395,150502
1570205700000,5.395,5.45,5.39,5.445,49416
1570206600000,5.45,5.48,5.4439,5.4703,82823
1570207500000,5.47,5.505,5.46,5.465,112979
1570208400000,5.46,5.49,5.435,5.485,89646
1570209300000,5.489,5.5,5.47,5.5,41505
1570210200000,5.5,5.5,5.44,5.445,63353
1570211100000,5.4465,5.46,5.44,5.4566,27549
1570212000000,5.455,5.505,5.455,5.485,71919
1570212900000,5.49,5.505,5.4605,5.5,51618
1570213800000,5.495,5.507,5.47,5.485,40550
1570214700000,5.485,5.49,5.4616,5.4864,38801
1570215600000,5.485,5.5,5.45,5.455,46493
1570216500000,5.455,5.47,5.43,5.465,166023
1570217400000,5.47,5.51,5.44,5.505,147417
1570218300000,5.51,5.51,5.475,5.51,232459
1570455000000,5.5,5.5,5.33,5.3499,120187
1570455900000,5.35,5.38,5.2,5.2,296370
1570456800000,5.205,5.33,5.195,5.3,143365
1570457700000,5.305,5.45,5.3,5.43,107480
1570458600000,5.42,5.49,5.4,5.45,162374
1570459500000,5.4425,5.48,5.43,5.4503,63301
1570460400000,5.46,5.4768,5.45,5.45,37584
1570461300000,5.45,5.45,5.4,5.405,48167
1570462200000,5.405,5.46,5.405,5.45,53162
1570463100000,5.456,5.46,5.42,5.42,13284
1570464000000,5.43,5.445,5.4,5.43,32703
1570464900000,5.44,5.45,5.43,5.435,6694
1570465800000,5.43,5.455,5.41,5.45,25387
1570466700000,5.45,5.46,5.43,5.455,16601
1570467600000,5.45,5.455,5.415,5.415,9148
1570468500000,5.415,5.45,5.415,5.43,15731
1570469400000,5.435,5.485,5.43,5.465,51441
1570470300000,5.4638,5.47,5.43,5.43,52553
1570471200000,5.43,5.44,5.365,5.38,55253
1570472100000,5.37,5.395,5.34,5.345,84384
1570473000000,5.345,5.36,5.32,5.3437,47673
1570473900000,5.34,5.355,5.33,5.355,27852
1570474800000,5.35,5.36,5.34,5.3401,68318
1570475700000,5.34,5.42,5.33,5.41,47452
1570476600000,5.415,5.43,5.41,5.43,63330
1570477500000,5.425,5.43,5.38,5.39,258905
1570541400000,5.35,5.35,5.2407,5.27,109745
1570542300000,5.2899,5.29,5.21,5.235,80635
1570543200000,5.23,5.25,5.19,5.237,191934
1570544100000,5.24,5.3,5.2296,5.27,52898
1570545000000,5.27,5.3,5.26,5.285,31392
1570545900000,5.29,5.36,5.285,5.3234,91740
1570546800000,5.32,5.35,5.31,5.33,73179
1570547700000,5.33,5.3439,5.29,5.29,41999
1570548600000,5.29,5.33,5.255,5.31,76060
1570549500000,5.31,5.31,5.2733,5.2733,11078
1570550400000,5.2799,5.28,5.25,5.26,36472
1570551300000,5.255,5.29,5.24,5.285,37715
1570552200000,5.2835,5.3,5.26,5.3,59300
1570553100000,5.3,5.33,5.285,5.29,55458
1570554000000,5.295,5.3,5.28,5.29,22797
1570554900000,5.29,5.29,5.27,5.27,29786
1570555800000,5.28,5.31,5.265,5.3091,25763
1570556700000,5.305,5.31,5.285,5.3,73086
1570557600000,5.29,5.33,5.28,5.3,81446
1570558500000,5.3,5.305,5.27,5.28,16383
1570559400000,5.29,5.34,5.29,5.3168,67965
1570560300000,5.32,5.35,5.3,5.305,41228
1570561200000,5.305,5.33,5.28,5.28,26970
1570562100000,5.28,5.345,5.27,5.335,84476
1570563000000,5.3339,5.36,5.32,5.34,99318
1570563900000,5.34,5.355,5.32,5.33,355960
1570627800000,5.38,5.39,5.26,5.32,103379
1570628700000,5.3233,5.35,5.27,5.3,72874
1570629600000,5.3,5.31,5.26,5.295,102795
1570630500000,5.3,5.31,5.295,5.3,29122
1570631400000,5.305,5.32,5.28,5.3,37927
1570632300000,5.3,5.3,5.27,5.295,38970
1570633200000,5.3,5.3,5.24,5.255,55925
1570634100000,5.255,5.26,5.23,5.235,44771
1570635000000,5.2338,5.28,5.22,5.26,57944
1570635900000,5.27,5.31,5.26,5.2899,50619
1570636800000,5.29,5.315,5.29,5.313,31128
1570637700000,5.3165,5.32,5.3,5.305,35305
1570638600000,5.3,5.32,5.26,5.285,58689
1570639500000,5.285,5.295,5.27,5.29,25465
1570640400000,5.29,5.3,5.27,5.27,39824
1570641300000,5.27,5.335,5.27,5.3,155330
1570642200000,5.3,5.3,5.24,5.245,61064
1570643100000,5.245,5.25,5.215,5.23,57230
1570644000000,5.22,5.273,5.22,5.26,44816
1570644900000,5.265,5.28,5.26,5.27,32811
1570645800000,5.265,5.3,5.265,5.28,46829
1570646700000,5.29,5.31,5.285,5.29,42325
1570647600000,5.295,5.315,5.28,5.305,31794
1570648500000,5.3,5.3075,5.285,5.3,43218
1570649400000,5.3,5.31,5.26,5.26,69515
1570650300000,5.26,5.27,5.235,5.27,237152
1570714200000,5.28,5.31,5.24,5.265,47218
1570715100000,5.265,5.3,5.245,5.2865,43038
1570716000000,5.28,5.31,5.26,5.26,26453
1570716900000,5.27,5.3112,5.265,5.29,70341
1570717800000,5.295,5.315,5.28,5.31,22026
1570718700000,5.3041,5.345,5.3041,5.33,66421
1570719600000,5.34,5.37,5.3329,5.345,42330
1570720500000,5.3399,5.36,5.3321,5.36,22115
1570721400000,5.355,5.385,5.355,5.37,30642
1570722300000,5.365,5.37,5.36,5.37,22976
1570723200000,5.37,5.38,5.3501,5.37,17115
1570724100000,5.37,5.4,5.37,5.38,50833
1570725000000,5.38,5.405,5.36,5.395,56411
1570725900000,5.395,5.4,5.365,5.375,21255
1570726800000,5.375,5.375,5.35,5.355,26783
1570727700000,5.355,5.375,5.35,5.365,18248
1570728600000,5.36,5.3656,5.35,5.355,21687
1570729500000,5.35,5.38,5.35,5.365,16771
1570730400000,5.365,5.375,5.32,5.325,52141
1570731300000,5.325,5.33,5.3,5.315,41172
1570732200000,5.31,5.3401,5.31,5.335,27928
1570733100000,5.334,5.355,5.33,5.3435,23912
1570734000000,5.345,5.355,5.34,5.355,11190
1570734900000,5.35,5.37,5.35,5.3664,25230
1570735800000,5.37,5.385,5.36,5.375,44455
1570736700000,5.375,5.375,5.3318,5.35,238653
1570800600000,5.39,5.5393,5.39,5.53,113684
1570801500000,5.53,5.58,5.51,5.56,165817
1570802400000,5.56,5.66,5.56,5.6268,205135
1570803300000,5.6211,5.63,5.58,5.6065,96610
1570804200000,5.61,5.65,5.59,5.605,103730
1570805100000,5.605,5.605,5.565,5.59,52233
1570806000000,5.587,5.6,5.56,5.6,22482
1570806900000,5.5933,5.6,5.495,5.505,133536
1570807800000,5.505,5.52,5.48,5.48,51400
1570808700000,5.4834,5.4834,5.45,5.455,59695
1570809600000,5.46,5.4762,5.45,5.465,30904
1570810500000,5.465,5.48,5.46,5.48,40805
1570811400000,5.49,5.5,5.46,5.49,42492
1570812300000,5.5,5.5,5.48,5.49,22357
1570813200000,5.4946,5.505,5.485,5.5,24218
1570814100000,5.4951,5.5,5.48,5.49,11862
1570815000000,5.49,5.5,5.49,5.4975,3193
1570815900000,5.49,5.51,5.485,5.5033,14143
1570816800000,5.503,5.51,5.4903,5.4951,16905
1570817700000,5.494,5.52,5.49,5.51,24208
1570818600000,5.5157,5.54,5.51,5.535,33107
1570819500000,5.53,5.54,5.52,5.52,12688
1570820400000,5.52,5.5297,5.51,5.52,8947
1570821300000,5.52,5.53,5.515,5.525,22024
1570822200000,5.53,5.54,5.51,5.51,133190
1570823100000,5.5,5.51,5.47,5.49,109841
1571059800000,5.46,5.51,5.39,5.42,100348
1571060700000,5.42,5.45,5.4065,5.44,23346
1571061600000,5.4455,5.46,5.43,5.435,23215
1571062500000,5.435,5.44,5.36,5.37,85014
1571063400000,5.363,5.4,5.36,5.39,30181
1571064300000,5.39,5.39,5.37,5.3736,26342
1571065200000,5.38,5.4,5.37,5.395,27998
1571066100000,5.4,5.4,5.38,5.395,12977
1571067000000,5.395,5.41,5.39,5.4,14556
1571067900000,5.4,5.48,5.4,5.48,43140
1571068800000,5.475,5.48,5.45,5.47,74450
1571069700000,5.465,5.485,5.46,5.485,33214
1571070600000,5.48,5.495,5.47,5.48,27565
1571071500000,5.48,5.54,5.46,5.46,132624
1571072400000,5.46,5.475,5.45,5.46,15823
1571073300000,5.46,5.46,5.43,5.4329,14337
1571074200000,5.43,5.45,5.43,5.45,10229
1571075100000,5.44,5.45,5.44,5.443,10915
1571076000000,5.445,5.48,5.445,5.475,29475
1571076900000,5.475,5.5,5.47,5.49,25346
1571077800000,5.4913,5.53,5.49,5.51,54335
1571078700000,5.515,5.52,5.48,5.495,93493
1571079600000,5.495,5.51,5.48,5.505,42348
1571080500000,5.505,5.53,5.5,5.51,57605
1571081400000,5.51,5.52,5.49,5.49,61657
1571082300000,5.49,5.51,5.49,5.5,150965
1571146200000,6.0,6.0,5.83,5.945,2025812
1571147100000,5.95,6.04,5.92,5.995,1428042
1571148000000,5.995,6.02,5.9269,5.9605,921656
1571148900000,5.965,6.06,5.93,5.955,508975
1571149800000,5.96,6.01,5.95,6.0,315251
1571150700000,5.995,6.08,5.995,6.08,406764
1571151600000,6.09,6.155,6.07,6.08,404535
1571152500000,6.075,6.105,6.065,6.075,294627
1571153400000,6.075,6.09,6.03,6.0568,316697
1571154300000,6.055,6.075,6.0,6.025,361158
1571155200000,6.03,6.05,6.02,6.05,328127
1571156100000,6.045,6.14,6.04,6.08,410176
1571157000000,6.085,6.095,6.06,6.065,197541
1571157900000,6.065,6.095,6.05,6.09,244605
1571158800000,6.09,6.15,6.06,6.115,292420
1571159700000,6.11,6.15,6.085,6.1299,163934
1571160600000,6.125,6.21,6.125,6.145,361036
1571161500000,6.145,6.18,6.11,6.115,171110
1571162400000,6.115,6.18,6.11,6.165,229315
1571163300000,6.165,6.18,6.12,6.165,207244
1571164200000,6.165,6.17,6.1,6.155,268709
1571165100000,6.155,6.16,6.05,6.065,539758
1571166000000,6.06,6.07,5.97,5.995,629884
1571166900000,5.995,6.03,5.9836,6.0,476104
1571167800000,5.995,6.025,5.995,6.02,544915
1571168700000,6.015,6.04,5.99,6.0,1643285
